ago	前 [まえ]
aid	世話 [せわ]
aid	応援 [おうえん]
aid	扶助 [ふじょ]
aid	援助 [えんじょ]
aid	支援 [しえん]
aid	救い [すくい]
aid	救助 [きゅうじょ]
aid	救済 [きゅうさい]
aid	救護 [きゅうご]
aid	補佐 [ほさ]
aid	補助 [ほじょ]
aid	輔佐 [ほさ]
aid	輔翼 [ほよく]
aide	人手 [ひとで]
aide	副官 [ふくかん]
aide	副官 [ふっかん]
aide	補佐官 [ほさかん]
aide-de-camp	副官 [ふくかん]
aide-de-camp	副官 [ふっかん]
aileron	補助翼 [ほじょよく]
ailment	疾患 [しっかん]
aim	主意 [しゅい]
aim	当って [あって]
aim	当て [あて]
aim	当て所 [あてど]
aim	心掛け [こころがけ]
aim	志向 [しこう]
aim	意図 [いと]
aim	準 [じゅん]
aim	狙い [ねらい]
aim	目処 [めど]
aim	目安 [めやす]
aim	目的 [もくてき]
aim	見当 [けんとう]
aim	趣意 [しゅい]
aimless	当てのない [あてのない]
aimless	漫然 [まんぜん]
aimlessly	のらくら
aimlessly	ふらっと
aimlessly	ふらり
aimlessly	ぶらぶら
aimlessly	ぶらり
aimlessly	ぶらりと
aimlessly	何処とも無く [どこともなく]
aimlessly	当ても無く [あてもなく]
aimlessly	徒に [いたずらに]
aimlessly	徒らに [いたずらに]
aimlessly	漂然 [ひょうぜん]
aimlessly	飄然 [ひょうぜん]
air	エア
air	エアー
air	乾す [ほす]
air	体 [てい]
air	天空 [てんくう]
air	宙 [ちゅう]
air	干す [ほす]
air	晒す [さらす]
air	曝す [さらす]
air	空中 [くうちゅう]
air	空気 [くうき]
air	風情 [ふぜい]
air	風采 [ふうさい]
air-conditioner	エアコン
air-to-air	空対空 [くうたいくう]
air-to-surface	空対地 [くうたいち]
airborne	エアボーン
airborne	空挺 [くうてい]
airbrush	エアブラシ
aircraft	航空機 [こうくうき]
airfare	航空運賃 [こうくううんちん]
airflow	通気 [つうき]
airily	漂々 [ひょうひょう]
airily	漂漂 [ひょうひょう]
airline	エアライン
airmail	航空郵便 [こうくうゆうびん]
airmail	飛行便 [ひこうびん]
airplane	飛行機 [ひこうき]
airport	エアポート
airport	空港 [くうこう]
airport	飛行場 [ひこうじょう]
airship	飛行船 [ひこうせん]
airspace	空域 [くういき]
airspace	空間 [くうかん]
airtight	密閉 [みっぺい]
airtight	気密 [きみつ]
airway	エアウェー
airy	フワフワ
aisle	アイル
akin	同系 [どうけい]
alacrity	敏活 [びんかつ]
alarm	アラーム
alarm	報知機 [ほうちき]
alarm	警報 [けいほう]
alarm	警報機 [けいほうき]
alarm	警笛 [けいてき]
alarm	非常信号 [ひじょうしんごう]
alarming	只ならぬ [ただならぬ]
alarming	寒心 [かんしん]
alarming	寒心すべき [かんしんすべき]
alarming	由々しい [ゆゆしい]
alarming	由由しい [ゆゆしい]
albatross	アルバトロス
albatross	信天翁 [あほうどり]
albatross	信天翁 [しんてんおう]
albatross	阿房鳥 [あほうどり]
albino	アルビノ
albino	白化個体 [はくかこたい]
albino	白子 [しろこ]
album	アルバム
albumin	アルブミン
albumin	卵白 [らんぱく]
albuminuria	蛋白尿 [たんぱくにょう]
alchemist	錬金術師 [れんきんじゅつし]
alchemy	煉丹術 [れんたんじゅつ]
alchemy	錬金術 [れんきんじゅつ]
alchemy	黄金術 [おうごんじゅつ]
alcohol	お酒 [おさけ]
alcohol	アルコール
alcohol	酒 [さけ]
alcoholism	アルコール中毒 [アルコールちゅうどく]
alcoholism	アルコール依存症 [アルコールいぞんしょう]
alcoholism	アル中 [アルちゅう]
