控除額 こうじょがく	1-1414-B
損じ そんじ	104-5108-B,113-3029-B,277-3904-B
損じる そんじる	74-29-B,141-413-B,149-1902-B,158-5304-B
損する そんする	178-4159-B
損なう そこなう	74-61-B,141-443-B,149-1932-B,158-5336-B
損ねる そこねる	141-473-B,149-1962-B,158-5368-B
損亡 そんぼう	178-4514-B
損傷 そんしょう	74-93-B,158-5736-B
損壊 そんかい	74-125-B,82-1569-B
損害 そんがい	74-154-B,158-5768-B,178-4541-B
損害賠償 そんがいばいしょう	253-212-B
損気 そんき	85-4432-B
損耗 そんもう	178-4568-B
損耗人員 そんもうじんいん	43-4859-B
搏動 はくどう	236-2074-B
搗ち合う かちあう	50-4088-B
搦み がらみ	1-5881-B,59-2457-B
搦め捕る からめとる	18-4969-B
搬送 はんそう	43-1121-B,65-1431-B,312-6879-B
搭乗 とうじょう	99-2844-B
搭乗橋 とうじょうきょう	129-3856-B
搭乗者 とうじょうしゃ	213-4903-B
搭載 とうさい	99-2881-B
携わる たずさわる	213-1304-B
搾り しぼり	286-1068-B
搾り取る しぼりとる	110-5112-B
搾る しぼる	229-3143-B,286-910-B
搾取 さくしゅ	110-5227-B,286-1097-B,299-5599-B
搾取工場 さくしゅこうじょう	299-5688-B
摂取 せっしゅ	2-2787-B,6-4866-B
摂政 せっしょう	246-4263-B
摂生 せっせい	149-3831-B
摂食 せっしょく	116-5446-B
摘まみ つまみ	169-2695-B
摘まむ つまむ	146-492-B,220-4077-B
摘み取る つまみとる	219-6788-B,223-2255-B
摘み取る つみとる	219-6824-B,223-2292-B
摘む つまむ	146-519-B,220-4105-B
摘む つむ	219-6857-B,223-2326-B,314-3443-B
摘取 てきしゅ	220-175-B
摘要 てきよう	208-6392-B,296-3570-B
摘記 てっき	104-369-B
摘録 てきろく	296-3600-B
摩する さする	136-1362-B,137-823-B,224-2258-B,263-5537-B,292-2832-B
摩する まする	229-3168-B,264-1963-B
摩る さする	136-1390-B,137-851-B,224-2287-B,263-5566-B,292-2861-B
摩る する	45-4031-B,118-3825-B,258-4628-B
摩れる すれる	45-4053-B,258-4648-B,330-4063-B
摩天楼 まてんろう	276-4118-B
摩損 まそん	1-6403-B
摩擦 まさつ	45-4081-B,127-53-B,258-4875-B,258-5241-B
摩滅 まめつ	1-6431-B,77-2191-B
摩羅 まら	216-1306-B
摩耗 まもう	2-0-B,330-4090-B
摩訶不思議 まかふしぎ	196-1028-B
摸 も	65-5695-B,151-2711-B
摸倣 もほう	65-5960-B,151-3132-B
摸写 もしゃ	65-5987-B,250-6093-B,311-789-B
摸擬 もぎ	151-3161-B,191-6107-B,270-2512-B
摸造 もぞう	67-4421-B,151-3187-B
撃ち合い うちあい	138-4591-B
撃ち合う うちあう	118-2516-B,240-2290-B
撃ち止める うちとめる	168-3413-B,277-1026-B
撃ち破る うちやぶる	71-2708-B,77-3171-B
撃つ うつ	21-4678-B,77-3209-B,82-1106-B
撃剣 げきけん	117-2386-B
撃滅 げきめつ	82-1603-B
撃破 げきは	71-2943-B
撃退 げきたい	251-0-B
撒き散らす まきちらす	262-4658-B,285-2636-B
撒く まく	262-4700-B,282-2196-B,285-3796-B
撒布 さっぷ	262-5076-B,285-2119-B
撒布 さんぷ	262-5106-B,285-2147-B
撓む たわむ	29-626-B,329-1444-B
撓垂れる しなだれる	94-1075-B
撞球 どうきゅう	30-2519-B
撞着 どうちゃく	64-989-B
撞着語法 どうちゃくごほう	210-4064-B
撤去 てっきょ	249-5248-B,255-923-B,334-1860-B
撤収 てっしゅう	334-1893-B
撤回 てっかい	249-5277-B,255-956-B,334-1929-B
撤廃 てっぱい	1-4937-B,306-5041-B
撤退 てったい	106-2204-B,249-5306-B,254-394-B,255-989-B,334-1962-B
撥 ばち	220-0-B,223-583-B
撥ねかす はねかす	284-2418-B,284-2616-B
撥ねつける はねつける	249-6470-B,285-4539-B
撥ねる はねる	99-388-B,121-3443-B,247-3528-B
撥ね上げる はねあげる	240-1271-B,284-2453-B
撥ね付ける はねつける	249-6510-B,285-4579-B
撥ね除ける はねのける	249-989-B
撫でる なでる	292-2887-B
撫で回す なでまわす	258-4674-B,292-2916-B
撫育 ぶいく	42-2690-B,304-4354-B
播種 はしゅ	222-2178-B
撮み物 つまみもの	248-2709-B
撮む つまむ	146-543-B,220-4130-B
撮影者 さつえいしゃ	219-4353-B
撮要 さつよう	57-1100-B,208-6422-B,296-3630-B
撰ぶ えらぶ	49-2089-B,266-2423-B
撰修 せんしゅう	97-3037-B,336-1955-B
撰者 せんじゃ	22-6307-B,57-3190-B,97-3408-B
撰述 せんじゅつ	97-3070-B,336-1988-B
撰録 せんろく	97-3103-B,336-2021-B
撲滅 ぼくめつ	111-4335-B
撹拌 かくはん	8-5937-B,289-5955-B
擁する ようする	141-5066-B,225-5234-B
擁立 ようりつ	24-2004-B,298-348-B
擁護 ようご	202-351-B,234-5599-B
擂り潰す すりつぶす	77-2082-B,183-5628-B
擅 ほしいまま	17-2560-B,266-5066-B,267-42-B
操 みさお	47-2470-B,113-5643-B,118-800-B,147-29-B
操り あやつり	182-4328-B,236-5134-B
操り人形 あやつりにんぎょう	183-3104-B,236-5163-B
操る あやつる	182-4216-B,205-5435-B
操作 そうさ	182-1884-B,205-5683-B,231-3741-B
操作盤 そうさばん	62-4421-B
操守 そうしゅ	62-6128-B,118-825-B
操業 そうぎょう	205-5712-B
操縦 そうじゅう	64-3830-B,139-5848-B,182-4363-B
操縦士 そうじゅうし	220-3463-B
操縦席 そうじゅうせき	53-2176-B
操縦桿 そうじゅうかん	167-454-B
操舵手 そうだしゅ	68-5399-B,143-3796-B
操行 そうこう	60-1412-B,80-2208-B
擡げる もたげる	175-1243-B,240-1311-B
擦り傷 すりきず	2-28-B,136-1415-B,263-5781-B
擦り剥く すりむく	136-1446-B
擦り剥ける すりむける	1-6280-B
擦り替える すりかえる	294-6027-B
擦り減らす すりへらす	1-6321-B
擦る こする	258-4709-B,264-1991-B
擦る する	45-4106-B,118-3846-B,258-4732-B
擦れる すれる	45-4128-B,258-4752-B,330-4114-B
擦れ合う すれあう	45-4156-B,238-898-B
擦れ違う すれちがう	85-4602-B
擦傷 すりきず	2-62-B,136-1480-B,263-5814-B
擦過傷 さっかしょう	2-93-B,263-5844-B
擬い まがい	151-3216-B,270-2533-B
擬い物 まがいもの	114-604-B
擬える なぞらえる	151-2729-B
擬人 ぎじん	218-3045-B
擬人化 ぎじんか	218-3080-B
擬人法 ぎしんほう	218-3121-B
擬人法 ぎじんほう	218-3165-B
擬似 ぎじ	114-2117-B,191-6128-B,235-4494-B,238-2004-B,270-2557-B
擬勢 ぎせい	32-1353-B
擬古主義 ぎこしゅぎ	17-3567-B
擬態 ぎたい	189-4385-B
擬装 ぎそう	40-5904-B,87-4021-B
擬製 ぎせい	65-5710-B,124-1725-B,151-3245-B
擯斥 ひんせき	208-3382-B,247-4778-B
擲弾 てきだん	136-4925-B
擽ぐったい くすぐったい	308-469-B
擽ぐる くすぐる	308-383-B
擽ったい くすぐったい	308-515-B
擽る くすぐる	308-415-B
擾乱 じょうらん	90-2485-B
攀じ登る よじのぼる	51-5665-B,262-1830-B
攪乱 かくらん	90-2522-B
攪拌 かくはん	8-5585-B,27-2561-B,289-5746-B,332-1538-B
攫う さらう	1-2746-B,168-3016-B
支え ささえ	233-4079-B,288-1020-B,298-378-B
支える ささえる	233-4103-B,298-405-B
支える つかえる	49-1610-B
支える つっかえる	49-1641-B
支出 ししゅつ	110-1904-B
支度 したく	228-4817-B
支弁 しべん	86-1320-B,215-554-B
支払 しはらい	215-581-B
支払い しはらい	215-611-B
支払い人 しはらいにん	215-201-B
支払い日 しはらいび	215-122-B
支払い済み しはらいずみ	211-355-B
支払い能力 しはらいのうりょく	280-5373-B
支払う しはらう	214-5939-B
支払不能 しはらいふのう	160-1943-B
支持 しじ	181-2231-B,298-438-B
支援 しえん	9-2587-B,24-3573-B,298-462-B
支援者 しえんしゃ	298-1322-B
支族 しぞく	314-1103-B
支柱 しちゅう	34-5846-B,127-5653-B,233-4133-B
支流 しりゅう	35-1139-B,314-1396-B
支点 してん	127-5683-B
支索 しさく	288-1044-B
支給 しきゅう	11-308-B,135-3744-B,215-644-B,235-1869-B,297-6152-B
支給額 しきゅうがく	11-340-B
支署 ししょ	294-5370-B
支脈 しみゃく	35-1168-B,285-4487-B
支部 しぶ	35-1197-B,293-5658-B
支配 しはい	64-3863-B,85-2336-B,259-1804-B
支配人 しはいにん	109-1053-B,182-2538-B
支配権 しはいけん	64-3890-B,298-2925-B
支配的 しはいてき	91-4998-B,259-2615-B
支配者 しはいしゃ	134-4349-B
支障 ししょう	84-1611-B,145-2351-B,152-1900-B,203-777-B
支離滅裂 しりめつれつ	150-5919-B,154-4818-B,155-470-B
改ざん かいざん	114-2843-B
改まった あらたまった	45-2167-B,124-4206-B
改めて あらためて	8-1713-B,13-1883-B,124-4901-B
改める あらためる	11-3187-B,46-1709-B,246-482-B,254-6064-B
改修 かいしゅう	153-3963-B,249-4232-B
改善 かいぜん	29-4613-B,153-4000-B
改変 かいへん	46-1744-B,159-1726-B,312-3507-B
改宗 かいしゅう	65-656-B
改定 かいてい	246-517-B
改廃 かいはい	46-1773-B,249-3642-B
改心 かいしん	65-692-B,246-546-B
改悛 かいしゅん	64-2774-B,249-6876-B
改悟 かいご	250-0-B
改悪 かいあく	82-4347-B
改新 かいしん	246-798-B
改札口 かいさつぐち	332-5323-B
改正 かいせい	11-3478-B,12-2497-B,254-6288-B
改版 かいはん	254-6319-B
改竄 かいざん	11-3538-B
改築 かいちく	244-4759-B
改組 かいそ	249-3679-B
改編 かいへん	249-3713-B
改良 かいりょう	153-4034-B,246-575-B
改葬 かいそう	243-55-B
改装 かいそう	249-3750-B
改訂 かいてい	254-6350-B
改訳 かいやく	254-6381-B
改進 かいしん	232-3361-B
改革 かいかく	159-1759-B,246-607-B,246-832-B
改革派 かいかくは	246-989-B
改革者 かいかくしゃ	246-949-B
攻め せめ	21-4701-B,204-132-B
攻める せめる	20-342-B,21-4724-B
攻め入る せめいる	164-439-B
攻め手 せめて	204-677-B
攻め苛む せめさいなむ	310-2796-B
攻め落とす せめおとす	20-372-B
攻め込む せめこむ	21-4753-B,164-474-B
攻勢 こうせい	8-4896-B
攻囲 こうい	273-3813-B
攻城 こうじょう	273-3838-B
攻撃 こうげき	21-4788-B,45-399-B,70-2292-B,204-843-B,292-1681-B
攻撃的 こうげきてき	8-5166-B,204-875-B
攻撃精神 こうげきせいしん	8-5208-B
攻略 こうりゃく	42-1147-B
攻究 こうきゅう	164-3452-B,251-3576-B,293-1123-B
攻防戦 こうぼうせん	26-4786-B
放し飼い はなしがい	136-1535-B
放す はなす	268-1205-B
放ったらかす ほったらかす	198-225-B
放っておく ほうっておく	150-4772-B
放って置く ほうっておく	198-273-B
放つ はなつ	119-2735-B,126-2328-B,248-453-B
放り出す ほうりだす	1-391-B,110-1833-B,119-2759-B,198-318-B
放る ほうる	1-430-B,310-3104-B
放れる はなれる	173-65-B
放免 ほうめん	4-4945-B
放出 ほうしゅつ	99-5999-B,248-480-B
放列 ほうれつ	26-700-B
放埒 ほうらつ	174-4723-B,232-1758-B
放射 ほうしゃ	99-5968-B,239-3587-B
放射性 ほうしゃせい	239-4278-B
放射性同位体 ほうしゃせいどういたい	239-4542-B
放射線 ほうしゃせん	239-3619-B
放射線医学 ほうしゃせんいがく	239-4665-B
放射線学 ほうしゃせんがく	239-4721-B
放射線科医 ほうしゃせんかい	239-4610-B
放射能 ほうしゃのう	239-4321-B
放尿 ほうにょう	321-5588-B
放屁 ほうひ	115-1644-B
放念 ほうねん	96-2906-B,248-30-B
放恣 ほうし	174-4756-B,266-5103-B
放散 ほうさん	84-2308-B,239-3660-B
放棄 ほうき	1-808-B,249-3366-B
放水 ほうすい	92-5661-B
放水管 ほうすいかん	92-5820-B
放水路 ほうすいろ	92-5350-B
放流 ほうりゅう	86-2413-B,174-3553-B
放浪 ほうろう	328-3932-B
放浪癖 ほうろうへき	328-4296-B
放浪者 ほうろうしゃ	322-5524-B
放漫 ほうまん	156-2714-B,172-170-B,178-3586-B,332-1381-B
放火 ほうか	19-73-B
放火魔 ほうかま	237-4479-B
放熱 ほうねつ	239-3692-B
放牧 ほうぼく	136-1574-B,214-1084-B
放牧地 ほうぼくち	214-1116-B
放物線 ほうぶつせん	212-994-B
放縦 ほうじゅう	89-2612-B,174-4375-B,178-3618-B,266-4987-B
放置 ほうち	198-357-B
放肆 ほうし	174-4786-B,266-5137-B
放胆 ほうたん	33-380-B,116-3666-B
放蕩 ほうとう	89-2339-B,231-4725-B
放送 ほうそう	36-6571-B,36-6644-B
放逐 ほうちく	88-484-B,98-2302-B,111-1556-B,208-3414-B
放逸 ほういつ	178-3653-B,266-5028-B
放鷹 ほうよう	114-875-B
政 まつりごと	134-3910-B,259-1828-B
政体 せいたい	62-7318-B
政変 せいへん	67-6009-B
政府 せいふ	6-1310-B,134-3943-B
政治 せいじ	134-3973-B,224-3148-B
政治家 せいじか	224-3009-B,287-5807-B
政治屋 せいじや	224-3045-B
政治的 せいじてき	224-2938-B
政略 せいりゃく	224-3176-B
政策 せいさく	224-1983-B
政道 せいどう	224-3210-B
故 ゆえ	44-2592-B,242-2645-B
故に ゆえに	62-372-B,306-364-B
故事 こじ	207-5280-B,311-2693-B
故意 こい	161-6373-B,237-2159-B
故殺 こさつ	182-6266-B
故老 ころう	204-4931-B
故郷 こきょう	30-5063-B
故郷 ふるさと	30-5096-B
故障 こしょう	3-2534-B,113-3056-B
敏感 びんかん	267-4789-B,299-2256-B
敏捷 びんしょう	8-5307-B,199-3094-B,233-2566-B,238-4033-B,273-187-B,278-2784-B
敏捷い はしこい	51-3788-B,199-3126-B,238-4064-B
敏捷い はしっこい	51-3820-B,199-3158-B,238-4095-B
敏活 びんかつ	9-4947-B,238-4975-B
敏腕 びんわん	1-3994-B
敏速 びんそく	5-284-B,8-5488-B,238-5007-B
救い すくい	9-2610-B,143-4402-B,248-1986-B
