ordinal	207-1205-B
ornament	208-1216-B,208-1244-B,208-1278-B,208-1312-B,208-1343-B,208-1374-B,208-1408-B,208-1451-B,208-1488-B
ornithology	208-1516-B
orotund	208-1562-B
orphan	208-1604-B,208-1639-B,208-1665-B,208-1688-B,208-1717-B,208-1755-B,208-1778-B
orphanage	208-1801-B,208-1836-B
orris	208-1874-B
orthodox	208-1917-B,208-1948-B,208-1979-B
orthodoxy	208-2010-B,208-2045-B
orthogonal	208-2098-B,208-2134-B
oscillation	208-2179-B,208-2213-B,208-2247-B
oscillator	208-2281-B,208-2320-B,208-2359-B
oscillograph	208-2398-B
oscilloscope	208-2430-B
osmosis	208-2465-B,208-2495-B
ossification	208-2534-B,208-2566-B
ostensible	208-2598-B,208-2637-B
ostensibly	208-2685-B
ostentation	208-2730-B,208-2767-B,208-2798-B
ostentatious	208-2826-B,208-2876-B,208-2923-B
ostentatiously	208-2970-B
osteoarthritis	208-3031-B
osteomalacia	208-3089-B
osteopath	208-3142-B,208-3180-B
osteoporosis	208-3218-B
osteosarcoma	208-3274-B
ostracism	208-3318-B,208-3350-B,208-3382-B,208-3414-B,208-3446-B,208-3484-B,208-3522-B
ostrich	208-3572-B,208-3599-B,208-3629-B,208-3659-B
other	208-3689-B,208-3714-B,208-3742-B
otherwise	208-3770-B,208-3805-B,208-3834-B,208-3878-B,208-3922-B,208-3972-B,208-4016-B,208-4060-B,208-4110-B
otolaryngology	208-4148-B
otter	208-4185-B,208-4213-B
ottoman	208-4238-B,208-4271-B
ounce	208-4304-B
our	208-4320-B,208-4340-B,208-4357-B,208-4377-B
out	10-3004-S,92-3258-S,93-1987-S,93-2019-S,115-94-S,208-4394-B,280-1300-S,335-2746-S,335-2768-S,335-2790-S,335-2812-S
out of bounds	208-4408-B
out of date	208-4435-B
outback	208-4472-B
outbreak	208-4499-B,208-4530-B
outburst	208-4561-B,208-4592-B
outcast	208-4623-B,208-4656-B,208-4686-B,208-4722-B
outcome	208-4749-B,208-4773-B,208-4809-B,208-4836-B
outcry	208-4869-B,208-4895-B
outdistance	208-4930-B,208-4970-B,208-5007-B,208-5047-B
outdo	208-5087-B
outdoor	208-5112-B,208-5136-B
outer	208-5178-B,208-5197-B
outerwear	208-5216-B
outfield	208-5248-B
outfielder	208-5276-B
outfit	208-5315-B,208-5350-B,208-5379-B,208-5408-B,208-5437-B,208-5469-B
outflow	208-5495-B
outhouse	208-5513-B,208-5544-B
outing	208-5569-B,208-5601-B,208-5627-B,208-5656-B
outlaw	208-5682-B,208-5705-B,208-5734-B,208-5763-B,208-5795-B,208-5824-B,208-5856-B,208-5891-B
outlawry	208-5926-B
outlay	208-5954-B
outlet	208-5980-B,208-6006-B,208-6038-B,208-6073-B,208-6105-B
outline	208-6131-B,208-6158-B,208-6179-B,208-6209-B,208-6242-B,208-6272-B,208-6302-B,208-6332-B,208-6362-B,208-6392-B,208-6422-B,208-6452-B,208-6482-B,208-6515-B,208-6545-B,208-6575-B,208-6605-B,208-6635-B,209-0-B,209-33-B,209-66-B,209-102-B,209-135-B,209-165-B,209-195-B,209-222-B,209-255-B,209-285-B,209-318-B
outlive	209-357-B,209-402-B
outlook	209-447-B,209-483-B,209-510-B,209-540-B,209-573-B,209-606-B,209-630-B,209-654-B,209-681-B,209-708-B,209-741-B,209-771-B,209-804-B,209-828-B
outpost	209-852-B,209-882-B,209-915-B
output	209-954-B,209-980-B,209-1024-B,209-1062-B
outrage	209-1094-B,209-1127-B,209-1157-B
outrageous	209-1187-B,209-1226-B,209-1256-B,209-1280-B,209-1322-B,209-1352-B,209-1385-B,209-1430-B,209-1460-B,209-1493-B,209-1523-B,209-1571-B
outrider	209-1619-B,209-1647-B
outrun	209-1684-B
outset	209-1722-B,209-1751-B,209-1777-B,209-1803-B,209-1832-B,209-1864-B,209-1899-B,209-1931-B,209-1960-B,209-1989-B
outside	209-2024-B,209-2051-B,209-2081-B,209-2111-B,209-2141-B,209-2165-B
outsider	209-2198-B,209-2229-B,209-2260-B,209-2288-B,209-2322-B,209-2356-B,209-2384-B,209-2427-B,209-2461-B,209-2501-B,209-2538-B
outspoken	209-2578-B,209-2628-B,209-2678-B,209-2728-B,209-2766-B,209-2804-B,209-2836-B,209-2868-B
outstanding	209-2897-B,209-2940-B,209-2971-B,209-3008-B,209-3039-B,209-3073-B
outstrip	209-3110-B,209-3144-B,209-3178-B,209-3215-B
outward	209-3252-B
outwit	209-3291-B,209-3326-B
oval	209-3364-B,209-3391-B,209-3421-B,209-3448-B,209-3472-B,209-3505-B,209-3526-B
ovary	209-3556-B
ovation	209-3584-B
oven	209-3614-B,209-3632-B
over	209-3656-B,209-3671-B,209-3689-B,209-3716-B,209-3731-B
overactivity	209-3752-B
overall	209-3799-B,209-3829-B,209-3850-B,209-3898-B
overbearingly	209-3937-B
overcast	209-3994-B
overcharge	209-4025-B,209-4061-B,209-4100-B,209-4145-B,209-4190-B
overcoat	209-4220-B,209-4248-B,209-4279-B
overcome	209-4310-B,209-4347-B,209-4384-B,209-4421-B,209-4458-B
overconfidence	209-4501-B
overconfident	209-4547-B
overdo	209-4598-B,209-4633-B
overdone	209-4674-B,209-4717-B
overdose	209-4760-B
overdraft	209-4791-B,209-4826-B,209-4864-B,209-4911-B,209-4949-B
overdraw	209-4981-B
overdrive	209-5018-B
overdue	209-5053-B
overeat	209-5086-B
overestimate	209-5128-B,209-5175-B
overestimation	209-5219-B,209-5259-B,209-5299-B,209-5339-B
overflow	209-5391-B,209-5422-B,209-5456-B,209-5490-B,209-5521-B,209-5549-B,209-5583-B,209-5614-B,209-5648-B
overgrowth	209-5682-B
overhand	209-5724-B
overhang	209-5755-B,209-5786-B
overhaul	209-5823-B
overhead	209-5854-B,209-5882-B,209-5913-B,209-5941-B,209-5978-B
overhear	209-6009-B,209-6037-B,209-6086-B
overheat	209-6123-B
overkill	209-6154-B,209-6191-B,209-6219-B
overlap	209-6256-B,209-6286-B,209-6316-B,209-6352-B,209-6397-B,209-6448-B
overlapping	209-6493-B,209-6530-B,209-6567-B
overlay	209-6604-B,209-6628-B,209-6655-B
overleaf	209-6682-B
overload	209-6722-B,209-6753-B
overlook	209-6796-B,210-0-B,210-46-B,210-74-B,210-108-B,210-151-B,210-188-B,210-219-B,210-253-B,210-287-B,210-324-B,210-361-B,210-395-B,210-432-B,210-469-B,210-503-B,210-531-B
overlooking	210-559-B
overnight	210-596-B,210-631-B,210-663-B,210-692-B,210-721-B,210-750-B,210-782-B
overpayment	210-811-B
overpower	210-854-B,210-886-B,210-918-B
overproduction	210-950-B,210-987-B,210-1024-B,210-1061-B,210-1098-B,210-1153-B
override	210-1208-B
overrun	210-1239-B
oversensitive	210-1266-B
oversight	210-1317-B,210-1349-B,210-1387-B,210-1419-B,210-1451-B,210-1477-B,210-1512-B,210-1544-B
overstate	210-1582-B,210-1626-B
overstep	210-1670-B
overstock	210-1704-B
oversupply	210-1739-B
overt	210-1790-B,210-1830-B,210-1861-B
overtake	210-1889-B,210-1926-B,210-1963-B,210-2000-B
overthrow	210-2037-B,210-2072-B,210-2101-B,210-2130-B,210-2165-B,210-2200-B
overtime	210-2232-B,210-2263-B
overtly	210-2300-B
overtone	210-2336-B
overture	210-2367-B,210-2398-B,210-2429-B,210-2472-B,210-2506-B,210-2546-B,210-2580-B
overturn	210-2617-B,210-2669-B,210-2721-B,210-2755-B
overuse	210-2786-B
overweight	210-2813-B,210-2849-B,210-2891-B
overwhelm	210-2924-B,210-2959-B
overwhelming	210-2991-B,210-3026-B,210-3070-B
overwork	210-3102-B,210-3133-B,210-3176-B,210-3225-B,210-3253-B
overwrite	210-3281-B,210-3313-B
oviduct	210-3354-B,210-3384-B
ovulation	210-3420-B
ovum	210-3452-B,210-3476-B
owe	210-3512-B
owl	210-3532-B,210-3546-B
own	210-3569-B,210-3598-B
owner	210-3618-B,210-3634-B,210-3653-B,210-3672-B,210-3706-B,210-3743-B,210-3774-B
ownership	210-3802-B,210-3834-B
ox	210-3875-B
oxidant	210-3897-B
oxidation	210-3924-B
oxide	210-3953-B,210-3975-B
oxtail	210-4009-B
oxygen	210-4038-B
oxymoron	210-4064-B,210-4113-B
oyster	210-4159-B,210-4182-B,210-4205-B,210-4228-B
ozone	210-4254-B
pa	210-4270-B
pace	210-4277-B,210-4292-B,210-4316-B,210-4343-B,210-4361-B,210-4385-B,210-4415-B,210-4442-B
pacemaker	210-4466-B
pacification	210-4498-B,210-4527-B,210-4559-B
pacifier	210-4594-B
pacifism	210-4619-B,210-4665-B,210-4708-B
pacifist	210-4745-B,210-4800-B,210-4852-B,210-4898-B
pacify	210-4944-B
pack	210-4976-B,210-4991-B,210-5021-B,210-5054-B,210-5078-B,210-5102-B,210-5123-B,210-5150-B
package	210-5183-B,210-5207-B,210-5234-B,210-5270-B,210-5300-B,210-5330-B,210-5363-B
packaging	210-5396-B
packet	210-5428-B
packhorse	210-5448-B
packing	210-5474-B,210-5498-B,210-5528-B,210-5558-B,210-5591-B,210-5627-B,210-5660-B,210-5684-B
pact	210-5714-B,210-5744-B,210-5774-B,210-5804-B
pad	210-5831-B
paddle	210-5845-B,210-5862-B,210-5882-B,210-5905-B,210-5925-B,210-5945-B
paddock	210-5968-B,210-5989-B
padlock	210-6031-B,210-6073-B,210-6109-B,210-6142-B
paean	210-6166-B,210-6191-B
paediatrician	210-6216-B
paedophile	210-6264-B
pagan	210-6288-B
paganism	210-6322-B,210-6353-B
page	210-6387-B,211-0-B,211-27-B,211-45-B,211-63-B
pageant	211-84-B,211-111-B
pager	211-147-B,211-166-B
pagination	211-185-B,211-224-B
pagoda	211-263-B,211-280-B,211-309-B,211-329-B
paid	211-355-B
pail	211-397-B,211-412-B
pain	211-436-B,211-460-B,211-487-B,211-511-B,211-541-B,211-565-B
painful	211-589-B,211-622-B,211-667-B,211-715-B,211-742-B,211-775-B
painkiller	211-802-B,211-844-B,211-886-B
painless	211-928-B
painstakingly	211-956-B,211-1013-B
paint	211-1070-B,211-1089-B,211-1111-B,211-1139-B,211-1164-B,211-1186-B,211-1211-B,211-1248-B
paintbrush	211-1279-B
painter	211-1309-B,211-1336-B,211-1363-B,211-1393-B,211-1417-B,211-1447-B,211-1474-B,211-1498-B,211-1522-B,211-1549-B,211-1573-B
painting	211-1603-B,211-1634-B,211-1668-B,211-1699-B,211-1727-B,211-1758-B,211-1792-B,211-1823-B,211-1851-B,211-1882-B,211-1901-B
pair	211-1929-B,211-1941-B,211-1971-B,211-2001-B,211-2025-B,211-2049-B,211-2067-B,211-2091-B,211-2118-B,211-2142-B,211-2160-B
pal	211-2187-B,211-2225-B,211-2242-B,211-2271-B,211-2297-B
palace	211-2323-B,211-2349-B,211-2366-B,211-2398-B,211-2430-B,211-2462-B,211-2494-B,211-2520-B,211-2540-B,211-2569-B,211-2598-B,211-2627-B
palanquin	211-2659-B,211-2682-B,211-2705-B,211-2731-B
palate	211-2757-B,211-2786-B,211-2818-B,211-2847-B
pale	211-2873-B,211-2897-B,211-2930-B,211-2966-B,211-2993-B,211-3017-B,211-3041-B,211-3068-B,211-3107-B,211-3131-B
paleolithic	211-3164-B
paleontologist	211-3222-B
paleontology	211-3283-B,211-3324-B
palette	211-3374-B,211-3395-B,211-3422-B
palimpsest	211-3467-B
palindrome	211-3539-B,211-3572-B
palisade	211-3605-B,211-3636-B
pallet	211-3667-B
pallid	211-3687-B,211-3716-B
palm	211-3751-B,211-3769-B,211-3793-B,211-3823-B,211-3853-B
palmar	211-3871-B
palmist	211-3903-B,211-3939-B,211-3972-B
palmistry	211-4008-B
palpation	211-4055-B
palsy	211-4090-B,211-4115-B,211-4143-B,211-4171-B,211-4202-B,211-4230-B,211-4261-B,211-4283-B
paltry	211-4305-B,211-4328-B
pampas	211-4357-B,211-4377-B
pamper	211-4397-B,211-4417-B,211-4437-B
pamphlet	211-4475-B,211-4494-B,211-4522-B,211-4550-B,211-4584-B,211-4624-B
pan	211-4667-B,211-4684-B
panacea	211-4710-B,211-4749-B,211-4788-B
pancake	211-4818-B
panchromatic	211-4842-B
pancreas	211-4868-B
pancreatitis	211-4899-B,211-4937-B
panda	211-4972-B
pandemonium	211-4988-B,211-5028-B
pander	211-5077-B
pane	211-5112-B,211-5127-B
panel	211-5151-B,211-5167-B,211-5189-B
pangolin	211-5220-B
panic	211-5260-B,211-5279-B,211-5310-B
panorama	211-5359-B,211-5381-B
pansy	211-5403-B,211-5422-B,211-5462-B
pant	211-5505-B,211-5523-B,211-5574-B
pantheism	211-5616-B,211-5669-B
pantheon	211-5710-B
panther	211-5735-B
pantograph	211-5759-B
pantomime	211-5789-B,211-5818-B,211-5856-B,211-5894-B,211-5926-B
pantry	212-0-B,212-23-B
panty	212-61-B,212-80-B
pantyhose	212-102-B
pap	212-146-B
papaya	212-160-B,212-180-B
paper	212-200-B,212-219-B,212-238-B,212-257-B,212-285-B,212-304-B
paperback	212-332-B,212-364-B
paperweight	212-405-B,212-439-B
paperwork	212-473-B,212-505-B,212-546-B,212-578-B,212-610-B,212-654-B
papier mache	212-701-B,212-742-B
paprika	212-783-B
papyrus	212-804-B
par	212-825-B,212-836-B,212-859-B,212-882-B
parable	212-908-B
parabola	212-932-B,212-954-B,212-994-B
parachute	212-1034-B,212-1063-B
parade	212-1101-B,212-1121-B,212-1150-B,212-1188-B,212-1217-B,212-1243-B
paradigm	212-1272-B
paradise	212-1297-B,212-1322-B,212-1371-B,212-1402-B,212-1433-B,212-1464-B,212-1513-B,212-1544-B
paradox	212-1572-B,212-1599-B
paradoxical	212-1632-B,212-1666-B
paraffin	212-1712-B,212-1737-B
paragon	212-1768-B,212-1795-B,212-1825-B
paragraph	212-1858-B,212-1884-B,212-1916-B,212-1948-B,212-1968-B,212-2000-B,212-2032-B,212-2064-B,212-2087-B
parakeet	212-2134-B
parallax	212-2162-B,212-2190-B
parallel	212-2215-B,212-2237-B,212-2268-B,212-2299-B,212-2330-B,212-2355-B,212-2377-B,212-2408-B,212-2436-B
parallelism	212-2464-B,212-2498-B
parallelogram	212-2532-B
paralysis	212-2592-B,212-2621-B,212-2653-B,212-2685-B,212-2720-B,212-2752-B,212-2787-B,212-2813-B
paramecium	212-2839-B
paramedic	212-2878-B,212-2934-B
paramedical	212-3023-B
parameter	212-3057-B,212-3080-B,212-3106-B,212-3135-B
parametric	212-3185-B
paramour	212-3218-B
paranoia	212-3246-B,212-3271-B,212-3317-B
paranoid	212-3360-B
parapet	212-3421-B
paraphrase	212-3454-B
parapsychology	212-3484-B
paraquat	212-3524-B
parasite	212-3549-B,212-3589-B,212-3617-B,212-3663-B,212-3703-B,212-3737-B
parasitism	212-3783-B,212-3813-B
parasol	212-3846-B,212-3867-B,212-3888-B,212-3915-B
paratroops	212-3945-B,212-3987-B
parboil	212-4041-B,212-4071-B
parcel	212-4101-B,212-4127-B,212-4156-B,212-4188-B,212-4220-B
parch	212-4267-B,212-4301-B,212-4335-B,212-4357-B,212-4376-B,212-4416-B,212-4456-B,212-4478-B
parchment	212-4500-B
pardon	212-4535-B,212-4564-B,212-4593-B,212-4622-B,212-4651-B,212-4680-B,212-4709-B,212-4735-B,212-4761-B,212-4790-B
pare	212-4825-B,212-4843-B,212-4867-B
parent	212-4888-B,212-4911-B
parentage	212-4940-B,212-4972-B
parenthesis	212-5004-B,212-5029-B
parentless	212-5060-B
parfait	212-5096-B
parietal	212-5114-B,212-5148-B
parish	212-5188-B
parishioner	212-5217-B,212-5248-B,212-5279-B,212-5322-B,212-5353-B
parity	212-5384-B,212-5404-B,212-5430-B
park	212-5453-B,212-5468-B,212-5486-B,212-5504-B,212-5531-B,212-5549-B
parking	212-5567-B
parliament	212-5591-B,212-5621-B,212-5654-B
parlor	212-5684-B,212-5704-B,212-5733-B
parochial	212-5771-B
parody	212-5866-B,212-5886-B,212-5909-B,212-5953-B,212-5997-B,212-6023-B
parole	212-6049-B,212-6090-B,212-6131-B
parquetry	212-6163-B,212-6195-B
parricide	212-6242-B
parrot	213-0-B
parry	213-26-B,213-51-B,213-79-B
parse	213-122-B
parsec	213-138-B
parsley	213-158-B
parsonage	213-176-B
part	213-214-B,213-229-B,213-256-B,213-283-B,213-307-B,213-325-B,213-343-B,213-358-B,213-385-B,213-412-B,213-442-B,213-475-B,213-502-B,213-526-B,213-541-B,213-562-B,213-586-B,213-613-B
part timer	213-637-B
parthenogenesis	213-670-B
partial	213-726-B,213-750-B,213-777-B
partiality	213-816-B,213-855-B,213-897-B,213-924-B,213-966-B,213-999-B,213-1032-B,213-1065-B,213-1095-B,213-1125-B
partially	213-1158-B
participant	213-1181-B,213-1224-B,213-1264-B
participate	213-1304-B
participation	213-1344-B,213-1389-B,213-1431-B,213-1464-B,213-1497-B,213-1530-B,213-1566-B,213-1599-B,213-1632-B,213-1665-B
participle	213-1698-B
particle	213-1728-B,213-1759-B,213-1787-B,213-1818-B
particular	213-1849-B,213-1873-B,213-1912-B,213-1957-B
particularly	213-1990-B,213-2025-B,213-2060-B,213-2098-B,213-2130-B,213-2165-B,213-2203-B,213-2235-B
parting	213-2270-B,213-2300-B,213-2327-B,213-2354-B
partisan	213-2384-B
partition	213-2409-B,213-2441-B,213-2479-B,213-2511-B,213-2543-B,213-2575-B,213-2607-B,213-2636-B,213-2665-B
partly	213-2697-B,213-2723-B
partner	213-2749-B,213-2773-B,213-2800-B,213-2830-B,213-2860-B,213-2887-B,213-2923-B,213-2953-B
partnership	213-2983-B,213-3020-B
partridge	213-3075-B,213-3110-B,213-3139-B
parturition	213-3174-B,213-3223-B
party	213-3257-B,213-3273-B,213-3292-B,213-3314-B,213-3342-B,213-3385-B,213-3413-B,213-3438-B,213-3469-B,213-3497-B,213-3525-B,213-3544-B,213-3572-B,213-3591-B,213-3613-B,213-3641-B,213-3657-B,213-3688-B,213-3707-B,213-3726-B
parvenu	213-3745-B,213-3787-B
pass	213-3838-B,213-3853-B,213-3886-B,213-3916-B,213-3943-B,213-3964-B,213-3985-B,213-4006-B,213-4027-B,213-4069-B,213-4096-B,213-4129-B,213-4162-B,213-4195-B
passable	213-4222-B
passage	213-4241-B,213-4265-B,213-4295-B,213-4325-B,213-4352-B,213-4370-B,213-4397-B,213-4439-B,213-4469-B,213-4496-B,213-4523-B,213-4553-B,213-4580-B,213-4616-B,213-4646-B
passageway	213-4673-B
passbook	213-4703-B
passenger	213-4737-B,213-4769-B,213-4801-B,213-4836-B,213-4874-B,213-4903-B,213-4947-B,213-4985-B,213-5017-B,213-5049-B
passer by	213-5084-B
passing	213-5116-B,213-5140-B,213-5176-B,213-5215-B,213-5251-B,213-5287-B,213-5323-B,213-5368-B,213-5398-B,213-5425-B
passion	213-5458-B,213-5482-B,213-5512-B,213-5551-B,213-5581-B,213-5605-B,213-5638-B,213-5671-B,213-5704-B,213-5734-B,213-5764-B,213-5794-B,213-5827-B
passionate	213-5860-B,213-5893-B
passive	213-5926-B,213-5947-B,213-5977-B,213-6007-B,213-6046-B,213-6073-B
passivity	214-0-B
passport	214-47-B,214-72-B
password	214-103-B,214-143-B,214-180-B,214-217-B,214-248-B,214-288-B,214-319-B
past	214-350-B,214-374-B,214-398-B,214-422-B
pasta	214-443-B
paste	214-459-B,214-496-B,214-515-B,214-555-B,214-595-B,214-617-B,214-636-B,214-676-B,214-716-B,214-738-B,214-766-B
pastel	214-791-B,214-811-B
pasteurization	214-852-B
pastime	214-907-B,214-943-B
pastor	214-973-B
pastoral	214-999-B,214-1024-B
pastry	214-1061-B
pasturage	214-1084-B
pasture	214-1116-B,214-1152-B,214-1182-B
pat	214-1218-B
patch	214-1232-B
patchwork	214-1248-B,214-1277-B,214-1315-B
patella	214-1353-B
patent	214-1392-B,214-1412-B
patentee	214-1441-B
paternalism	214-1481-B
paternity	214-1533-B
path	214-1562-B,214-1574-B,214-1604-B,214-1628-B,214-1652-B,214-1685-B
pathetic	214-1712-B,214-1737-B,214-1765-B,214-1808-B,214-1851-B,214-1888-B,214-1925-B,214-1956-B,214-1984-B,214-2012-B,214-2055-B
pathfinder	214-2098-B
pathogen	214-2134-B
pathology	214-2177-B,214-2209-B
pathos	214-2250-B,214-2267-B,214-2287-B,214-2313-B,214-2345-B,214-2374-B
pathway	214-2400-B
patience	214-2427-B,214-2467-B,214-2495-B,214-2523-B,214-2554-B
patient	214-2585-B,214-2630-B,214-2672-B,214-2699-B,214-2732-B
patiently	214-2777-B
patio	214-2797-B
patriarch	214-2816-B,214-2848-B
patriot	214-2883-B,214-2910-B,214-2934-B,214-2982-B,214-3021-B
patriotism	214-3048-B,214-3084-B,214-3117-B,214-3150-B,214-3198-B,214-3240-B,214-3273-B
patrol	214-3312-B,214-3335-B,214-3358-B,214-3396-B,214-3428-B,214-3460-B,214-3489-B,214-3521-B,214-3547-B,214-3576-B
patron	214-3602-B,214-3634-B,214-3654-B,214-3686-B,214-3721-B,214-3759-B,214-3788-B,214-3814-B,214-3843-B,214-3872-B,214-3898-B
patronage	214-3927-B,214-3953-B,214-3991-B,214-4017-B,214-4055-B,214-4084-B,214-4113-B,214-4148-B,214-4180-B
pattern	214-4209-B,214-4227-B,214-4248-B,214-4275-B,214-4302-B,214-4329-B,214-4356-B,214-4386-B,214-4416-B,214-4443-B,214-4473-B,214-4500-B,214-4530-B,214-4557-B,214-4578-B,214-4608-B,214-4635-B,214-4665-B,214-4692-B,214-4719-B,214-4746-B,214-4770-B,214-4800-B
paunch	214-4830-B
paunchy	214-4865-B,214-4907-B
pauper	214-4949-B
pause	214-4984-B,214-5000-B,214-5031-B,214-5059-B,214-5096-B,214-5124-B,214-5146-B,214-5174-B,214-5199-B,214-5227-B,214-5252-B,214-5286-B,214-5320-B
pavement	214-5336-B,214-5364-B,214-5395-B,214-5423-B,214-5451-B
pavilion	214-5479-B,214-5504-B,214-5535-B
pawn	214-5566-B
pawnshop	214-5608-B,214-5657-B,214-5691-B
pay	214-5719-B,214-5730-B,214-5756-B,214-5785-B,214-5814-B,214-5840-B,214-5872-B,214-5901-B,214-5939-B,214-5968-B,214-5991-B,214-6011-B,214-6040-B,214-6066-B,215-0-B
paycheck	215-26-B
payday	215-102-B,215-122-B,215-160-B
payer	215-201-B,215-241-B
paying	215-275-B
paymaster	215-313-B,215-345-B
payment	215-377-B,215-401-B,215-431-B,215-464-B,215-497-B,215-527-B,215-554-B,215-581-B,215-611-B,215-644-B,215-674-B,215-701-B,215-734-B,215-764-B
peace	215-803-B,215-819-B,215-847-B,215-866-B,215-885-B,215-913-B,215-929-B,215-954-B,215-979-B,215-1007-B,215-1032-B,215-1063-B,215-1091-B,215-1119-B,215-1144-B,215-1175-B,215-1203-B,215-1225-B
peaceable	215-1250-B
peaceful	215-1282-B,215-1313-B,215-1344-B,215-1372-B,215-1406-B,215-1440-B,215-1477-B,215-1508-B,215-1539-B
peacefully	215-1567-B,215-1618-B,215-1663-B,215-1708-B
peacefulness	215-1741-B,215-1779-B,215-1814-B,215-1849-B
peacemaker	215-1884-B
peach	215-1923-B,215-1939-B
peacock	215-1958-B,215-1982-B
peahen	215-2012-B
peak	215-2032-B,215-2047-B,215-2065-B,215-2089-B,215-2119-B
peal	215-2152-B
peanut	215-2179-B,215-2199-B,215-2237-B
pear	215-2272-B,215-2284-B
pearl	194-1795-S,194-1842-S,194-1886-S,194-1933-S,215-2314-B,215-2330-B
peasant	215-2358-B,215-2400-B,215-2427-B,215-2463-B
peat	215-2490-B
pebble	215-2517-B,215-2543-B,215-2572-B,215-2604-B,215-2633-B,215-2662-B
peculiar	215-2691-B,215-2743-B,215-2771-B,215-2793-B,215-2830-B
peculiarity	215-2858-B,215-2892-B,215-2935-B,215-2975-B,215-3009-B,215-3046-B
pedagogy	215-3071-B,215-3114-B
pedal	215-3157-B,215-3173-B,215-3195-B,215-3226-B
pedant	215-3257-B,215-3292-B,215-3318-B
pedantic	215-3356-B,215-3384-B
pedantry	215-3424-B,215-3452-B
peddle	215-3483-B
peddler	215-3521-B,215-3572-B,215-3611-B,215-3653-B,215-3689-B
pedestal	215-3734-B,215-3759-B
pedestrian	215-3787-B,215-3820-B
pedicab	215-3859-B
pedicure	215-3892-B
pedigree	215-3920-B,215-3951-B,215-3982-B,215-4007-B,215-4038-B,215-4066-B,215-4094-B,215-4122-B,215-4153-B
pedlar	215-4184-B
pedometer	215-4228-B,215-4257-B
peduncle	215-4295-B
pee	215-4323-B,215-4349-B,215-4378-B,215-4410-B,215-4439-B
peek	215-4468-B
peel	215-4483-B,215-4504-B
peep	215-4537-B
peer	215-4582-B,215-4606-B
peerage	215-4630-B,215-4663-B
peerless	215-4693-B,215-4739-B,215-4764-B,215-4786-B,215-4814-B,215-4860-B,215-4903-B,215-4943-B,215-4989-B,215-5014-B,215-5042-B,215-5067-B,215-5098-B
pelican	215-5129-B,215-5150-B
pellet	215-5189-B
pelt	215-5209-B,215-5233-B
pelvis	215-5251-B
pen	215-5280-B,215-5291-B,215-5308-B
pen friend	215-5343-B
penal	215-5373-B
penalize	215-5410-B
