人 と	218-1417-B
人 にん	6-5989-B,46-3731-B,182-356-B,182-4563-B,188-971-B,216-2665-B,218-1434-B,218-2423-B,327-406-B
人 ひと	6-6008-B,46-3754-B,182-373-B,182-4584-B,188-994-B,216-2685-B,218-1454-B,218-2448-B,327-427-B
人々 にんにん	106-5561-B,148-3171-B,187-2079-B,216-2705-B
人々 ひとびと	106-5593-B,148-3199-B,187-2105-B,216-2734-B
人たち ひとたち	216-2763-B
人だかり ひとだかり	70-6052-B,307-4474-B
人っ子 ひとっこ	15-699-B
人づて ひとづて	142-3324-B,188-690-B
人で無し ひとでなし	37-3953-B,190-3680-B
人らしい ひとらしい	148-3227-B
人を使う ひとをつかう	100-788-B
人一倍 ひといちばい	320-7314-B
人世 じんせい	174-5620-B
人並 ひとなみ	207-2048-B
人並み ひとなみ	207-2079-B
人並み外れた ひとなみはずれた	112-402-B,317-5524-B
人中 ひとなか	56-4200-B,279-5393-B
人事不省 じんじふせい	317-6376-B
人事異動 じんじいどう	251-5516-B
人人 にんにん	106-5625-B,148-3264-B,187-2131-B,216-2795-B
人人 ひとびと	106-5657-B,148-3292-B,187-2157-B,216-2824-B
人付 ひとづき	251-421-B
人伝 ひとづて	142-3357-B,188-723-B
人倫 じんりん	148-4113-B
人傑 じんけつ	144-2664-B
人出 ひとで	70-6089-B,316-1543-B
人前 ひとまえ	56-4230-B
人力車 じんりきしゃ	255-4379-B
人参 にんじん	43-906-B,132-1611-B
人受け ひとうけ	225-459-B
人口に膾炙する じんこうにかいしゃする	114-4728-B,331-3928-B
人口学 じんこうがく	79-2732-B
人口調査 じんこうちょうさ	45-507-B
人名簿 じんめいぼ	85-3401-B
人名録 じんめいろく	85-3439-B
人君 じんくん	259-2265-B,282-1853-B
人品 じんぴん	46-3777-B,218-2473-B
人員 じんいん	218-3209-B
人士 じんし	216-2853-B
人声 ひとごえ	71-3400-B
人外 にんがい	208-4656-B,208-5705-B
人夫 にんぷ	43-543-B,65-3485-B,169-5475-B
人好き ひとずき	12-2740-B,22-2988-B,47-74-B
人屋 ひとや	165-6200-B,230-5542-B
人工 じんこう	19-1362-B,19-1509-B
人工妊娠中絶 じんこうにんしんちゅうぜつ	1-5426-B
人工流産 じんこうりゅうざん	1-5496-B
人工的 じんこうてき	19-1395-B,320-2026-B
人工透析 じんこうとうせき	83-3682-B
人工避妊法 じんこうひにんほう	63-6899-B
人形 にんぎょう	91-3981-B,118-2877-B,236-5018-B
人形使い にんぎょうつかい	236-5236-B
人形使い にんぎょうづかい	236-5286-B
人形遣い にんぎょうつかい	236-5336-B
人形遣い にんぎょうづかい	236-5386-B
人影 じんえい	281-4887-B
人影 ひとかげ	281-4914-B
人心 じんしん	168-5081-B,300-5987-B
人心 ひとごころ	168-5112-B,300-6018-B
人心地 ひとごこち	61-5582-B
人性 じんせい	148-3572-B,148-4144-B,160-6330-B
人情 にんじょう	100-0-B,168-5146-B,300-6052-B
人情味 にんじょうみ	168-5180-B
人懐こい ひとなつこい	7-3847-B,12-2776-B,127-763-B,279-4682-B
人懐っこい ひとなつっこい	7-3889-B,12-2818-B,127-806-B,279-4725-B
人手 ひとで	9-2803-B
人擦れ ひとずれ	281-2978-B
人攫い ひとさらい	168-3080-B
人文 じんぶん	50-2091-B,72-358-B,148-4175-B
人文 じんもん	50-2126-B,72-388-B,148-4206-B
人文主義 じんぶんしゅぎ	148-3603-B
人斬り ひときり	20-0-B
人智 じんち	169-3943-B
人望 じんぼう	225-495-B
人本主義 じんぽんしゅぎ	148-3649-B,148-3924-B
人柄 ひとがら	46-3809-B,131-1863-B,218-2507-B
人格 じんかく	46-3841-B,156-4622-B,218-2541-B
人格化 じんかくか	152-2949-B,218-2928-B
人格者 じんかくしゃ	218-1474-B
人様 ひとさま	14-1851-B
人死に ひとじに	43-4702-B,75-2681-B
人殺し ひとごろし	195-3536-B,195-3768-B
人民 じんみん	216-2879-B,235-6415-B
人民主義 じんみんしゅぎ	225-1359-B
人民投票 じんみんとうひょう	223-529-B,245-5104-B
人気 にんき	225-264-B
人気役者 にんきやくしゃ	287-2209-B
人気者 にんきもの	116-1666-B
人波 ひとなみ	286-5790-B
人泣かせ ひとなかせ	14-245-B,201-4722-B
人混み ひとごみ	70-6114-B
人為 じんい	19-165-B,19-1545-B
人為的 じんいてき	19-1437-B,320-2067-B
人物 じんぶつ	46-3873-B,182-390-B,218-1512-B,218-1639-B,218-2575-B
人物像 じんぶつぞう	220-555-B,288-477-B
人的 じんてき	148-3320-B,218-1798-B
人相 にんそう	67-3347-B,219-5758-B
人相学 にんそうがく	219-5792-B
人真似 ひとまね	151-2923-B,189-4511-B
人知 じんち	169-3972-B
人知れず ひとしれず	144-5710-B,164-6274-B,265-1352-B,320-5754-B
人知れぬ ひとしれぬ	144-5748-B,164-6312-B,265-1390-B,320-5792-B
人祖 じんそ	232-2361-B
人称 にんしょう	218-1829-B
人種学 じんしゅがく	106-594-B
人種差別主義者 じんしゅさべつしゅぎしゃ	239-2995-B
人種的 じんしゅてき	239-2864-B
人種隔離 じんしゅかくり	15-2323-B
人笑わせ ひとわらわせ	171-3757-B,255-5092-B
人絹 じんけん	241-2991-B
人聞き ひとぎき	251-454-B,252-3687-B
人見知り ひとみしり	273-2550-B
人質 ひとじち	147-4498-B,230-5780-B
人足 にんそく	43-570-B,65-3511-B
人身御供 ひとみごくう	325-3853-B
人車 じんしゃ	255-4419-B
人造 じんぞう	19-1476-B,182-563-B,301-2317-B
人造人間 じんぞうにんげん	73-3570-B,257-2166-B
人造絹糸 じんぞうけんし	241-3019-B
人道 じんどう	148-4237-B,273-3704-B
人道主義 じんどうしゅぎ	148-3695-B,148-3977-B
人道的 じんどうてき	148-3431-B
人達 ひとたち	216-2908-B
人間 にんげん	182-416-B,218-1541-B
人間らしい にんげんらしい	148-3348-B,148-3469-B
人間以上 にんげんいじょう	297-1702-B
人間嫌い にんげんぎらい	190-2055-B
人間学 にんげんがく	14-3689-B
人間性 にんげんせい	148-4268-B
人間手作り にんげんてづくり	182-594-B
人間疎外 にんげんそがい	78-2002-B
人間的 にんげんてき	148-3394-B
人間離れ にんげんばなれ	297-1753-B
人集り ひとだかり	70-6145-B,307-4512-B
人頭 じんとう	225-1128-B
人頭 にんとう	225-1161-B
人頭 ひとがしら	69-1003-B
人類 じんるい	148-4308-B,182-4605-B
人類学 じんるいがく	14-3733-B
人類学者 じんるいがくしゃ	14-3634-B,106-461-B
人類愛 じんるいあい	148-3741-B
人食い ひとくい	41-2813-B
人馴れ ひとなれ	302-2919-B
人魚 にんぎょ	188-170-B
什 じゅう	304-2595-B,306-3164-B,322-3132-B
什一 じゅういち	309-628-B
什器 じゅうき	16-2033-B,128-3734-B,322-3156-B
什物 じゅうもつ	128-3766-B,313-2941-B,322-3186-B
仁 じん	29-1846-B,46-5639-B,148-4339-B,182-442-B,326-3787-B
仁 にん	168-1202-B
仁人 じんじん	148-3854-B
仁徳 じんとく	29-1871-B,134-996-B
仁心 じんしん	29-1905-B,148-4361-B
仁恕 じんじょ	29-1939-B,180-4030-B
仁恵 じんけい	46-5660-B,134-5407-B,187-4616-B
仁愛 じんあい	29-1973-B,46-5690-B,179-156-B
仁慈 じんじ	29-2007-B
仁義 じんぎ	95-2920-B
仁者 じんしゃ	148-3889-B
仁輪加狂言 にわかきょうげん	112-1669-B,115-275-B
仄々 ほのぼの	84-6104-B,113-3933-B
仄々と ほのぼのと	84-6132-B,113-3963-B
仄か ほのか	113-3477-B,117-5021-B,156-3661-B,293-2605-B
仄めかし ほのめかし	145-2783-B,163-3595-B
仄めかす ほのめかす	163-3207-B,295-6219-B
仄めく ほのめく	132-4412-B
仄仄 ほのぼの	84-6166-B,113-3999-B
仄仄と ほのぼのと	85-0-B,113-4029-B
仄暗い ほのぐらい	133-157-B,202-5348-B
仇 あた	101-4745-B,102-3129-B,107-2526-B,117-4595-B,122-2910-B,137-4150-B,141-203-B,164-1094-B,254-2854-B,259-1071-B
仇 あだ	101-4764-B,102-3149-B,107-2544-B,117-4613-B,122-2927-B,137-4170-B,141-221-B,164-1116-B,254-2875-B,259-1089-B
仇 かたき	101-4783-B,102-3169-B,107-2562-B,117-4631-B,122-2944-B,137-4190-B,141-239-B,164-1138-B,254-2896-B,259-1107-B
仇同氏 かたきどうし	101-4805-B
仇名 あだな	199-1306-B
仇討ち あだうち	253-4811-B,254-2920-B,324-3149-B
仇討ち かたきうち	253-4848-B,254-2953-B,324-3184-B
仇讎 きゅうしゅう	254-2989-B
今 いま	151-4452-B,201-2857-B,281-2147-B
今 こん	201-2874-B,306-3865-B
今では いまでは	201-2891-B,201-3371-B
今でも いまでも	289-2643-B
今どき いまどき	201-3405-B,243-2520-B,309-1517-B
今にも いまにも	281-2165-B
今めかしい いまめかしい	115-2485-B
今めかす いまめかす	192-1945-B
今や いまや	201-2920-B
