恐竜 きょうりゅう	85-662-B
惜しい おしい	75-2391-B,85-6296-B,323-2379-B
惜しくも おしくも	246-6394-B
惜しげもなく おしげもなく	126-2629-B,131-469-B,174-3445-B,319-2067-B
惜しみ無く おしみなく	126-2676-B
惜しむべき おしむべき	170-2691-B,246-6203-B
惜し気 おしげ	246-5791-B
惜し気無く おしげなく	131-520-B,171-4947-B,320-6259-B
惣領 そうりょう	134-3874-B
惨い むごい	21-2974-B,37-3697-B,71-1281-B,158-3905-B,187-4525-B
惨め みじめ	190-4432-B
惨事 さんじ	86-1108-B
惨劇 さんげき	311-3432-B
惨害 さんがい	141-5117-B
惨憺 さんたん	221-1078-B,311-3546-B
惨憺たる さんたんたる	190-4461-B
惨殺 ざんさつ	184-745-B,277-412-B
惨澹 さんたん	147-2719-B,221-1108-B
惨烈 さんれつ	21-3003-B,71-1306-B,147-2750-B
惨禍 さんか	40-992-B
惨落 さんらく	278-1560-B
惨酷 ざんこく	21-3198-B,37-3787-B,71-1560-B
惰力 だりょく	157-296-B
惰弱 だじゃく	97-5484-B,97-5517-B
惰性 だせい	138-5992-B,157-326-B,192-4933-B
惰気 だき	156-5366-B,176-3432-B
惰眠 だみん	153-6234-B,156-5392-B
想 そう	59-1157-B,150-312-B,307-114-B
想い おもい	7-5116-B,81-2332-B,99-6385-B,110-768-B,110-2438-B,142-3977-B,147-1381-B,151-1608-B,179-558-B,189-5165-B,268-198-B,307-135-B,334-364-B
想い出 おもいで	248-6111-B
想う おもう	116-5542-B,306-3352-B
想像 そうぞう	138-1009-B,151-1639-B
想定 そうてい	20-6379-B,149-5498-B,298-1734-B
想念 そうねん	59-1181-B,150-330-B,307-162-B
想望 そうぼう	178-1655-B
想起 そうき	243-652-B,244-2128-B,248-5762-B
惹きつける ひきつける	22-2118-B,47-288-B
惹き付ける ひきつける	22-2160-B,47-328-B
惹く ひく	22-2202-B,42-188-B
惹起 じゃっき	44-2489-B,235-2463-B
惻隠の情 そくいんのじょう	56-6567-B,221-1991-B
愁い うれい	133-192-B,260-1381-B,319-2508-B
愁える うれえる	137-26-B,170-2563-B
愁傷 しゅうしょう	136-5661-B,281-4246-B
愁嘆 しゅうたん	170-2962-B
愁歎 しゅうたん	170-2999-B
愁然 しゅうぜん	281-4492-B
愁訴 しゅうそ	57-4139-B
愈 ゆ	155-2539-B
愈々 いよいよ	155-2562-B
愈愈 いよいよ	155-2597-B
愉しい たのしい	102-1453-B,128-1253-B
愉しげ たのしげ	47-6093-B,140-3214-B,222-5604-B
愉しみ たのしみ	12-5042-B,90-4033-B,102-1660-B,145-5671-B,223-149-B
愉快 ゆかい	140-3245-B,222-5638-B
愉悦 ゆえつ	166-5617-B
愉楽 ゆらく	223-183-B
愍然 びんぜん	221-746-B
意中の人 いちゅうのひと	300-72-B
意中の女 いちゅうのおんな	132-1975-B,300-120-B
意力 いりょく	333-1742-B
意匠 いしょう	81-1415-B
意向 いこう	150-357-B,154-3499-B,161-6231-B
意味 いみ	185-3464-B,274-332-B
意味合い いみあい	152-5027-B,201-3965-B
意嚮 いこう	150-381-B,154-3530-B,161-6260-B
意図 いと	9-3197-B,81-1444-B,161-6289-B
意図的 いとてき	162-0-B
意固地 いこじ	218-4948-B
意地 いじ	16-1680-B,24-2388-B,88-5287-B,203-1528-B,284-632-B,333-2425-B
意地っ張り いじっぱり	203-1554-B
意地尽く いじずく	203-1932-B,292-5682-B
意地悪 いじわる	181-5389-B,320-852-B
意地汚い いじきたない	133-3065-B,136-3835-B
意地汚ない いじきたない	133-3110-B,136-3876-B
意地穢い いじきたない	133-3158-B,136-3920-B
意外 いがい	298-6202-B
意外と いがいと	298-6277-B,318-6787-B
意字 いじ	150-1942-B
意志 いし	327-3667-B,333-1769-B
意思 いし	161-6315-B,237-2135-B
意慾 いよく	12-1789-B,81-2358-B,333-1790-B
意欲 いよく	12-1817-B,81-2384-B,333-1814-B
意気 いき	88-5315-B,142-4002-B,284-655-B
意気地 いきじ	24-2413-B,266-3696-B,266-5913-B
意気地 いくじ	24-2444-B,266-3734-B,266-5948-B
意気地なし いくじなし	68-4314-B
意気地のない いくじのない	68-4768-B,283-5847-B,308-3974-B
意気投合 いきとうごう	301-303-B
意気揚々 いきようよう	112-3334-B,314-4514-B
意気揚揚 いきようよう	112-3377-B,314-4559-B
意気消沈 いきしょうちん	247-4360-B
意気込み いきごみ	17-4529-B,103-426-B
意気銷沈 いきしょうちん	247-4407-B
意気阻喪 いきそそう	80-4364-B,247-4454-B
意義 いぎ	185-3488-B,274-361-B
意義深い いぎぶかい	152-5967-B,274-575-B
意表 いひょう	298-5944-B
意見 いけん	206-471-B,325-4756-B
意見書 いけんしょ	17-5468-B
意識 いしき	61-5624-B
意識下 いしきか	293-5040-B
意識不明 いしきふめい	267-4661-B,317-6207-B
意識的 いしきてき	61-5542-B,78-4087-B
意趣 いしゅ	137-4507-B,181-5287-B,284-2153-B
意趣晴らし いしゅばらし	254-3262-B
意趣返し いしゅがえし	254-3307-B
愕然 がくぜん	21-639-B
愚 ぐ	123-1297-B,274-2311-B,293-2657-B
愚か おろか	123-1315-B,293-2674-B
愚かしい おろかしい	123-1342-B,293-2700-B
愚か者 おろかもの	123-438-B
愚人 ぐじん	123-471-B
愚作 ぐさく	258-5067-B
愚劣 ぐれつ	123-1497-B,274-2064-B,293-3063-B
愚図 ぐず	94-5117-B
愚図る ぐずる	137-4998-B
愚図付く ぐずつく	74-5215-B,126-6176-B
愚図愚図 ぐずぐず	57-3852-B,144-4296-B,176-723-B,278-658-B,302-4271-B
愚弄 ぐろう	80-5523-B,191-6305-B,255-5005-B
愚昧 ぐまい	293-2738-B
愚物 ぐぶつ	123-495-B
愚痴 ぐち	137-5028-B
愚痴る ぐちる	57-3439-B,137-5052-B
愚者 ぐしゃ	123-519-B,199-3887-B
愚行 ぐこう	122-5416-B
愚鈍 ぐどん	274-2093-B,293-3092-B
愛 あい	179-582-B
愛くるしい あいくるしい	73-2246-B,179-1241-B
愛しい いとしい	74-3985-B,75-2418-B,179-1285-B
愛しがる いとしがる	48-1727-B,221-2036-B
愛すべき あいすべき	179-93-B
愛する あいする	179-600-B
愛でたい めでたい	22-5279-B
愛でたし めでたし	334-4269-B
愛でる めでる	6-3205-B,179-630-B
愛の結晶 あいのけっしょう	48-4813-B
愛ぶ あいぶ	42-5495-B
愛らしい あいらしい	47-1136-B,179-1317-B,229-5711-B
愛人 あいじん	179-1654-B,191-2854-B
愛他主義 あいたしゅぎ	11-5521-B
愛他主義者 あいたしゅぎしゃ	11-5613-B
愛国 あいこく	214-3117-B
愛国の志士 あいこくのしし	214-2934-B
愛国主義 あいこくしゅぎ	214-3150-B
愛国心 あいこくしん	214-3198-B
愛国者 あいこくしゃ	214-2982-B
愛執 あいしゅう	21-4142-B
愛好 あいこう	6-5102-B,179-657-B
愛好家 あいこうか	179-1682-B
愛好者 あいこうしゃ	83-1186-B,103-774-B,114-4914-B
愛妾 あいしょう	234-4417-B
愛嬌 あいきょう	22-3065-B,47-368-B,68-2010-B
愛情 あいじょう	7-5145-B,179-684-B
愛想 あいそ	50-1994-B,68-2044-B,279-4531-B
愛想 あいそう	50-2022-B,68-2072-B,279-4562-B
愛想のいい あいそのいい	7-3937-B,9-541-B,12-2899-B,279-4774-B
愛慕 あいぼ	6-5134-B,21-4178-B,179-714-B
愛慾 あいよく	179-738-B,180-526-B,213-5704-B
愛憎併存 あいぞうへいそん	12-2016-B
愛憐 あいれん	301-346-B
愛撫 あいぶ	42-5521-B
愛敬 あいきょう	22-3105-B,47-399-B,68-2103-B
愛敬のある あいきょうのある	22-2709-B,47-1176-B
愛書家 あいしょか	30-327-B
愛楽 あいぎょう	179-1769-B
愛欲 あいよく	179-765-B,180-553-B,213-5734-B
愛液 あいえき	72-880-B,267-1633-B
愛用 あいよう	116-1783-B
愛着 あいじゃく	21-4208-B,179-792-B
愛着 あいちゃく	21-4244-B,179-822-B
愛読者 あいどくしゃ	6-3519-B,241-3847-B,294-3233-B
愛護 あいご	234-5509-B
愛顧 あいこ	116-2218-B,214-4084-B
愛餐 あいさん	8-1914-B
愛餐会 あいさんかい	8-1942-B
感 かん	6-2260-B,99-6412-B,117-129-B,153-1311-B,267-3710-B
感じ かんじ	117-150-B,153-1335-B,267-4395-B
感じる かんじる	110-2468-B,116-5566-B,267-4420-B
感じ取る かんじとる	116-5596-B
感ずる かんずる	267-4451-B
感づく かんづく	16-5147-B
感付く かんづく	16-5182-B
感傷 かんしょう	268-227-B,268-536-B
感傷主義者 かんしょうしゅぎしゃ	268-472-B
感傷的 かんしょうてき	268-331-B
感光 かんこう	110-6433-B,267-5893-B
感光性 かんこうせい	219-4766-B
感冒 かんぼう	53-5648-B
感動 かんどう	108-5266-B,153-1365-B
感動詞 かんどうし	162-4269-B
感化 かんか	66-4312-B,157-6387-B,160-3328-B,246-456-B
感化院 かんかいん	246-866-B
感受 かんじゅ	267-5717-B,299-2219-B
感受性 かんじゅせい	267-5751-B
感嘆 かんたん	6-2284-B,334-3979-B
