警句 けいく	15-2829-B
谷地 やち	299-4652-B
谷水 たにみず	256-1330-B
谷間 たにあい	47-1952-B,79-386-B,241-2714-B,323-1882-B
谷間 たにま	47-1980-B,79-413-B,241-2743-B,323-1911-B
豁然 かつぜん	36-6365-B
豆 まめ	308-5148-B
豆料 まめりょう	173-3562-B
豆知識 まめちしき	314-5006-B
豆粒 まめつぶ	283-848-B
豆腐 とうふ	309-1749-B
豊か ゆたか	2-5342-B,223-1025-B,255-4084-B,330-3697-B
豊富 ほうふ	2-5207-B,34-3953-B,223-1170-B,330-3616-B
豊沃 ほうよく	117-3576-B
豊満 ほうまん	66-3788-B,223-3550-B,290-4584-B,327-4945-B
豊潤 ほうじゅん	2-5370-B,180-1104-B
豊穰 ほうじょう	117-3608-B,127-4950-B,231-6224-B
豊艶 ほうえん	27-3443-B,115-1985-B,327-4978-B
豊饒 ほうじょう	117-3643-B,127-4988-B
豊麗 ほうれい	27-3475-B,284-3366-B
豎子 じゅし	170-852-B,285-4342-B
豚 ぶた	220-1960-B
豚の膏 ぶたのあぶら	171-618-B
豚小屋 ぶたごや	220-2085-B
豚肉 ぶたにく	225-1855-B
豚舎 とんしゃ	220-2117-B
象 しょう	219-2014-B
象 ぞう	98-5884-B
象さん ぞうさん	98-5906-B
象る かたどる	151-2861-B,250-4105-B,300-5017-B
象形文字 しょうけいもじ	145-415-B
象徴 しょうちょう	300-4838-B
象徴主義 しょうちょうしゅぎ	300-5136-B
象徴的 しょうちょうてき	300-4901-B
象牙 ぞうげ	165-5614-B
象皮病 ぞうひびょう	98-5940-B
象虫 ぞうむし	331-1310-B
象限 しょうげん	237-4924-B
豪い えらい	23-5889-B,99-5825-B,108-2056-B,114-4851-B,136-2603-B,248-4996-B,305-694-B
豪の者 ごうのもの	325-2082-B
豪傑 ごうけつ	144-2949-B
豪儀 ごうぎ	135-2271-B,292-5821-B
豪勇 ごうゆう	35-2730-B,235-2825-B
豪勢 ごうせい	112-1232-B,180-1336-B,180-4973-B
豪壮 ごうそう	135-2572-B,180-5008-B,284-3869-B
豪奢 ごうしゃ	112-1267-B,180-1365-B,180-5043-B
豪快 ごうかい	108-5399-B,142-5254-B,144-3255-B,176-5743-B,284-3397-B,289-5986-B
豪放 ごうほう	126-456-B
豪気 ごうぎ	135-2296-B,292-5849-B
豪盛 ごうせい	112-1302-B,180-1394-B,180-5078-B
豪胆 ごうたん	33-411-B,68-530-B,140-4952-B,323-2099-B
豪腹 ごうふく	203-1691-B,293-190-B
豪華 ごうか	112-1337-B,134-1891-B,224-4557-B,284-3687-B,334-4383-B
豪語 ごうご	33-692-B
豪邁 ごうまい	163-4889-B
豪雨 ごうう	52-4302-B,92-3633-B
豪飲 ごういん	93-6020-B
豹 ひょう	173-5303-B,211-5735-B
貘 ばく	302-4062-B
貝 かい	271-1693-B,271-1836-B
貝殻 かいがら	271-1712-B
貝殻追放 かいがらついほう	208-3522-B
貝殼 かいがら	271-1740-B
貝類 かいるい	271-1859-B
貞操 ていそう	47-2560-B,118-983-B,326-4306-B
貞操蹂躪 ていそうじゅうりん	240-3985-B
貞淑 ていしゅく	47-2591-B,118-1014-B,326-4335-B
貞潔 ていけつ	47-2625-B,237-2000-B
貞節 ていせつ	47-2656-B,118-1048-B,326-4367-B
負 ふ	190-925-B,198-37-B
負い目 おいめ	93-1290-B,155-3602-B
負う おう	27-1449-B,210-3512-B
負かす まかす	77-3435-B
負け まけ	77-3464-B,178-4676-B
負ける まける	178-4273-B
負け犬 まけいぬ	178-4399-B,318-347-B
負債 ふさい	75-4266-B,174-2430-B
負債者 ふさいしゃ	75-4459-B
負傷 ふしょう	158-5898-B,335-5540-B
負傷者 ふしょうしゃ	43-4936-B
負担 ふたん	38-3888-B,46-5454-B,252-5645-B
負極 ふきょく	44-1567-B
負荷 ふか	38-3914-B
財 ざい	125-1085-B,255-4134-B
財団 ざいだん	125-2843-B
財宝 ざいほう	313-3183-B
財布 さいふ	237-2617-B,328-3152-B
財政 ざいせい	97-1713-B
財物 ざいぶつ	233-5773-B
財産 ざいさん	125-1106-B,233-5804-B
財界人 ざいかいじん	119-405-B
財貨 ざいか	55-6030-B,233-5835-B
貢ぎ みつぎ	314-1458-B
貢ぎ物 みつぎもの	314-1485-B
貢ぐ みつぐ	119-228-B,298-876-B
貢物 みつぎもの	314-1521-B
貢献 こうけん	64-2541-B
貢租 こうそ	314-1554-B
貧 ひん	226-4601-B
貧 びん	226-4622-B
貧しい まずしい	197-5623-B,224-5613-B
貧乏 びんぼう	82-571-B,224-5643-B,226-4643-B
貧乏鬮 びんぼうくじ	31-2747-B
貧困 ひんこん	170-426-B,226-4673-B
貧寒 ひんかん	82-706-B
貧弱 ひんじゃく	161-1295-B,185-2602-B,224-5670-B
貧棒 びんぼう	82-603-B,224-5700-B,226-4703-B
貧相 ひんそう	306-3090-B
貧窮化 ひんきゅうか	153-592-B
貧苦 ひんく	140-5429-B
貨幣 かへい	53-4930-B,72-3194-B,192-5852-B
貨物 かぶつ	126-3977-B
貨物 かもつ	126-4004-B
貨物便 かもつびん	126-4031-B
貨物室 かもつしつ	146-567-B
貨物自動車 かもつじどうしゃ	315-1714-B
貨物船 かもつせん	126-4096-B
貨物輸送 かもつゆそう	271-4047-B
貨財 かざい	330-3642-B
貨車 かしゃ	323-3210-B
販売 はんばい	183-4202-B,260-5006-B,267-1349-B
販売人 はんばいにん	267-1192-B
販売店 はんばいてん	272-997-B,290-3621-B
販売者 はんばいしゃ	267-1230-B
販路 はんろ	183-4115-B,205-4882-B,208-6105-B
貪る むさぼる	68-3663-B
貪婪 たんらん	68-3907-B,136-3571-B
貪婪 どんらん	68-3942-B,136-3599-B
貪慾 どんよく	23-3887-B,68-3977-B,136-3627-B
貪欲 どんよく	23-3917-B,68-4012-B,136-3655-B
貪汚 たんお	67-422-B,136-3683-B
貪食 どんしょく	327-5256-B
貫入 かんにゅう	216-985-B
貫徹 かんてつ	3-5829-B,216-1022-B,242-375-B
貫木 かんぬき	25-3802-B,171-2105-B
貫禄 かんろく	84-3465-B,228-6848-B
貫通 かんつう	216-557-B,220-1832-B
責め せめ	31-2505-B,217-6670-B,252-5679-B
責める せめる	31-2527-B,59-5974-B,70-2789-B
責め立てる せめたてる	321-4390-B
責め苛む せめさいなむ	310-2949-B
責め苦 せめく	310-2991-B
責任 せきにん	95-3316-B,252-5710-B
責務 せきむ	95-3343-B,202-4318-B
貯え たくわえ	251-5121-B,290-259-B,290-3658-B
貯える たくわえる	290-3686-B
貯水池 ちょすいち	251-5419-B
貯蔵 ちょぞう	229-2164-B,290-3259-B
貯蔵品 ちょぞうひん	290-287-B,297-5971-B
貯蔵室 ちょぞうしつ	290-629-B,290-3977-B
貯蔵庫 ちょぞうこ	290-3817-B
貯金箱 ちょきんばこ	25-2595-B
貰い手 もらいて	243-2332-B,243-5017-B
貰い物 もらいもの	132-678-B
貰う もらう	3-1152-B,302-673-B
貴い たっとい	199-4391-B,227-4316-B,230-961-B,323-2447-B
貴い とうとい	199-4419-B,227-4347-B,230-993-B,323-2478-B
貴ぶ たっとぶ	105-3697-B,231-1565-B,323-2971-B
貴ぶ とうとぶ	105-3726-B,231-1593-B,323-2999-B
貴人 きじん	17-6360-B,199-4584-B
貴女 あなた	170-1531-B
貴女 きじょ	170-1555-B
貴婦人 きふじん	170-1579-B
貴族 きぞく	17-6390-B,199-4447-B
貴族政治 きぞくせいじ	17-6278-B
貴族的 きぞくてき	18-0-B
貴様 きさま	336-5483-B
貴紳 きしん	199-4472-B
貴重 きちょう	227-4378-B,323-2509-B
買い かい	39-3328-B,39-3530-B,236-5527-B
買いかぶる かいかぶる	209-5128-B
買いつけ かいつけ	39-3553-B,236-6169-B
買い上げ かいあげ	39-3588-B,236-6208-B
買い上げる かいあげる	39-3097-B
買い主 かいぬし	39-3350-B,236-5990-B
買い付け かいつけ	39-3623-B,236-6247-B
買い付ける かいつける	236-5552-B
買い入れ かいいれ	39-3658-B,236-6286-B
買い入れる かいいれる	236-5595-B
買い出し かいだし	236-5638-B
買い取る かいとる	39-3135-B,236-5675-B
買い受ける かいうける	236-5712-B
買い得 かいどく	25-5118-B
買い戻し かいもどし	245-1735-B,251-295-B
買い戻す かいもどす	245-1461-B
買い手 かいて	39-3381-B
買い方 かいかた	39-3409-B,236-6025-B
買い求める かいもとめる	39-3167-B
買い物 かいもの	272-1365-B
買い被る かいかぶる	209-5175-B
買い込む かいこむ	236-5755-B
買う かう	39-3208-B
買って出る かってでる	327-4719-B
買主 かいぬし	39-3440-B,236-6060-B
買付 かいつけ	39-3693-B,236-6325-B
買付け かいつけ	39-3722-B,236-6358-B
買収 ばいしゅう	36-984-B,39-3754-B,67-452-B,236-5792-B
買取 かいとり	236-5826-B
買取り かいとり	236-5857-B
買手 かいて	39-3468-B
買春 ばいしゅん	234-4977-B
買物 かいもの	272-1399-B
貸し かし	173-4517-B,177-1476-B
貸しつける かしつける	173-4243-B,177-1497-B
貸し下げる かしさげる	173-4282-B,177-1536-B
貸し主 かしぬし	69-4077-B,170-4693-B,173-4456-B
貸し付け かしつけ	177-1575-B
貸し付ける かしつける	173-4321-B,177-1608-B
貸し元 かしもと	119-446-B
貸し出し かしだし	173-4541-B
貸し出す かしだす	173-4360-B
貸し切り かしきり	251-4624-B
貸し切る かしきる	47-1816-B,251-5151-B
貸し座敷 かしざしき	37-2070-B
貸し手 かして	173-4488-B
貸し料 かしりょう	249-3016-B
貸し方 かしかた	69-4111-B
貸し越し かしこし	209-4911-B
貸し金 かしきん	177-1647-B
貸す かす	173-4393-B
貸与 たいよ	173-4577-B,177-1677-B
貸付 かしつけ	177-1701-B
貸付金 かしつけきん	177-1728-B
貸借 たいしゃく	177-1764-B
貸出し かしだし	173-4604-B
貸切り かしきり	251-4664-B
貸方 かしかた	69-4145-B
貸賃 かしちん	249-3049-B
貸金 かしきん	177-1794-B
費 ひ	67-1701-B,110-2059-B
費える ついえる	54-1338-B
費やす ついやす	83-1046-B,283-3795-B,329-3622-B
費消 ひしょう	283-3854-B
費用 ひよう	67-1716-B,110-2077-B
貼りつける はりつける	8-0-B,214-636-B,289-1006-B
貼り付ける はりつける	8-40-B,214-676-B,289-1046-B
貼り出す はりだす	88-4131-B
貼り札 はりふだ	201-67-B,226-362-B
貼り紙 はりがみ	169-4678-B,226-394-B,289-1190-B
貼る はる	214-716-B,289-1086-B
貼付 ちょうふ	214-738-B
貼付 てんぷ	214-766-B
貿易商 ぼうえきしょう	311-2017-B
賀する がする	61-1959-B
賀宴 がえん	25-3231-B
賀慶 がけい	61-2148-B
賃仕事 ちんしごと	220-1214-B
賃借人 ちんしゃくにん	145-3785-B,172-5481-B,173-5664-B
賃料 ちんりょう	249-3076-B,249-3243-B
賃貸 ちんたい	172-5381-B
賃貸し ちんがし	145-3566-B,172-5409-B,249-3106-B
賃貸人 ちんたいにん	173-5911-B
賃貸料 ちんたいりょう	249-3136-B,249-3275-B
賃貸料金 ちんたいりょうきん	249-3175-B,249-3316-B
賃銀 ちんぎん	214-6040-B
賃銭 ちんせん	214-6066-B
賄い まかない	32-2970-B,32-3257-B,44-1081-B,65-2294-B
賄い方 まかないかた	48-1024-B,65-2321-B
賄う まかなう	215-0-B
賄賂 わいろ	36-895-B
資する しする	119-255-B
資力 しりょく	330-3668-B
資料 しりょう	74-4293-B
資本 しほん	41-5079-B
資本主義 しほんしゅぎ	41-5217-B
資本家 しほんか	41-5295-B
資産 しさん	125-1136-B,233-5863-B
資財 しざい	125-1163-B,233-5891-B
資質 ししつ	88-5866-B,197-1983-B
資金 しきん	41-5106-B
資金繰り しきんぐり	119-577-B
賊 ぞく	38-4770-B,161-2499-B,242-4784-B,306-2674-B
賊子 ぞくし	242-4803-B,311-6325-B
賊害 ぞくがい	141-527-B,168-3838-B
賊徒 ぞくと	25-2051-B,257-1872-B
賑やか にぎやか	39-2176-B
賑やかさ にぎやかさ	39-1352-B,176-5355-B
賑わい にぎわい	5-445-B,39-1886-B,71-211-B,234-3466-B,316-1633-B
賑わう にぎわう	121-5677-B,234-2695-B
賑わす にぎわす	102-3096-B
賓客 ひんかく	327-928-B
賓客 ひんきゃく	327-958-B
賛 さん	42-81-B,173-3033-B
賛助 さんじょ	214-4148-B,298-903-B
賛同 さんどう	17-617-B,101-3709-B
賛嘆 さんたん	6-2929-B,227-1914-B
賛意 さんい	17-648-B,20-1454-B
賛成 さんせい	9-1953-B,17-676-B,116-2299-B,298-933-B
賛成者 さんせいしゃ	298-1360-B
賛歌 さんか	6-2962-B,227-1943-B
賛美 さんび	6-5445-B,133-1154-B,227-1969-B
賛美歌 さんびか	149-4131-B,149-4225-B
賛辞 さんじ	58-1816-B,106-1542-B
賜う たまう	23-5413-B,29-3603-B,135-3868-B
賜り物 たまわりもの	33-4011-B,132-711-B
賜暇 しか	128-3427-B
賜物 たまもの	33-4047-B,127-4847-B,132-747-B,253-3307-B
賞 しょう	23-5438-B,231-1621-B
賞与 しょうよ	33-2072-B,231-1643-B,255-2418-B
賞味 しょうみ	16-4928-B,138-5342-B,248-2819-B
賞品 しょうひん	231-1671-B,314-5421-B
賞揚 しょうよう	6-2992-B
賞杯 しょうはい	314-5453-B
賞牌 しょうはい	185-5630-B
賞玩 しょうがん	6-3028-B,16-4963-B,102-1800-B
賞美 しょうび	6-3064-B,16-5001-B,227-1995-B
賞詞 しょうし	106-1568-B
賞賛 しょうさん	6-3097-B,55-3407-B,227-2024-B
賞賛して措かない しょうさんしておかない	111-5426-B
賞金 しょうきん	231-1702-B
賠償 ばいしょう	57-1804-B,155-5412-B
賢い かしこい	51-4003-B,278-2914-B,334-215-B
賢察 けんさつ	86-2071-B
賢明 けんめい	161-4678-B,235-3812-B,333-5793-B
賢者 けんじゃ	260-3200-B
賤しむべき いやしむべき	81-4947-B
賤業婦 せんぎょうふ	234-4564-B
賦与 ふよ	90-939-B
賦存 ふそん	109-4588-B
賦存量 ふそんりょう	2-5236-B
賦性 ふせい	197-2009-B
賦税 ふぜい	303-1449-B
賦詠 ふえい	223-5364-B
賦課 ふか	152-7124-B,174-1831-B
質 しつ	237-5952-B
質 たち	237-5973-B
質す ただす	19-3578-B,324-5341-B
質に入れる しちにいれる	214-5566-B,223-932-B
質問 しつもん	159-3027-B,238-3329-B
質問用紙 しつもんようし	238-3624-B
質問者 しつもんしゃ	163-241-B
質実 しつじつ	221-5041-B,274-5137-B
質屋 しちや	214-5691-B
質料 しつりょう	185-433-B
質朴 しつぼく	274-5170-B
質樸 しつぼく	274-5203-B
質点 しつてん	213-1818-B
質疑 しつぎ	238-3360-B
質的 しつてき	237-5492-B
質素 しっそ	127-4531-B,192-2461-B,274-5236-B
質量 しつりょう	184-627-B
賭 かけ	29-4646-B,129-2826-B
賭け かけ	29-4667-B,129-2848-B
賭ける かける	29-3643-B,129-2249-B,256-4646-B,286-4321-B,328-1338-B
賭け事 かけごと	29-4691-B,129-2873-B
賭け金 かけきん	29-3669-B
賭する とする	29-3698-B,256-4673-B,286-4349-B,328-1366-B
賭事 かけごと	29-4724-B,129-2907-B
賭博 とばく	129-2938-B
購う あがなう	57-1133-B
購入 こうにゅう	39-3228-B,236-5891-B
購入先 こうにゅうさき	253-4356-B
購入者 こうにゅうしゃ	236-6092-B
購求 こうきゅう	236-5925-B
購読者 こうどくしゃ	294-3275-B
購買 こうばい	39-3257-B,236-5959-B
購買者 こうばいしゃ	39-3493-B
購買部 こうばいぶ	290-3720-B
贅沢 ぜいたく	112-1369-B,180-1423-B
贅肉 ぜいにく	120-2740-B
贅言 ぜいげん	245-3646-B,324-4607-B
贈り物 おくりもの	132-774-B,229-609-B
贈る おくる	267-2517-B
贈与 ぞうよ	92-87-B,229-1669-B
贈与者 ぞうよしゃ	92-432-B
贈与証書 ぞうよしょうしょ	305-2282-B
贈収賄 ぞうしゅうわい	36-1017-B,67-488-B
贈呈 ぞうてい	229-1701-B
贈呈品 ぞうていひん	132-807-B,229-645-B
贈呈者 ぞうていしゃ	92-466-B
贈物 おくりもの	132-843-B,229-684-B
贈答品 ぞうとうひん	132-873-B,229-717-B
贈賄 ぞうわい	36-1059-B,67-533-B,135-1209-B
贋 にせ	32-4681-B,76-1257-B,114-2692-B,151-3422-B,174-5466-B,270-2683-B
贋作 がんさく	67-4495-B,114-673-B,270-2701-B
贋作 にせさく	67-4529-B,114-700-B,270-2728-B
贋物 がんぶつ	67-4563-B,124-1752-B,151-3445-B,270-2755-B
贋物 にせもの	67-4597-B,124-1782-B,151-3477-B,270-2782-B
贋者 にせもの	153-253-B,174-2739-B
贋造 がんぞう	112-4976-B,124-1812-B
贏 えい	298-5889-B,325-4528-B,335-5669-B
贏余 えいよ	248-4318-B
贔屓 ひいき	116-2328-B,213-1095-B,214-4180-B
贔屓にする ひいきにする	116-1409-B
贖う あがなう	57-1166-B
赤 あか	70-765-B,262-4359-B
赤々 あかあか	36-2899-B
赤々と あかあかと	36-5226-B,51-2589-B
赤えい あかえい	289-4829-B
赤ちゃん あかちゃん	24-1541-B,157-2724-B
赤らむ あからむ	32-2601-B,245-1159-B
赤らめる あからめる	32-2632-B,245-1191-B
赤らんだ あからんだ	121-5058-B,258-5473-B
赤ん坊 あかんぼう	24-1577-B
赤味を帯びた あかみをおびた	245-1229-B
赤子 あかご	24-1610-B
赤字 あかじ	77-5212-B
赤帽 あかぼう	225-2600-B
赤心 せきしん	275-1379-B
赤恥 あかはじ	270-3081-B
赤毛 あかげ	245-1870-B
赤痢 せきり	95-5080-B
赤腹 あかはら	95-5109-B,199-344-B
赤茄子 あかなす	309-3830-B
赤虫 あかむし	32-103-B
赤裸 あかはだか	196-2614-B,201-4523-B
赤裸 せきら	196-2649-B,201-4555-B
赤裸々 せきらら	201-4581-B
赤裸裸 せきらら	201-4613-B
赤誠 せきせい	275-1411-B
赤赤 あかあか	36-2928-B
赤赤と あかあかと	36-5266-B,51-2625-B
赤道 せきどう	104-1580-B
赤金 あかがね	65-5196-B
赤鉄鉱 せきてっこう	143-5748-B
赤銅色 しゃくどういろ	37-2508-B
赤錆 あかさび	259-4627-B
赤面 せきめん	32-2669-B
赦免 しゃめん	248-6298-B
赫々 かくかく	36-3165-B,36-5306-B,133-1307-B
赫々 かっかく	36-3196-B,36-5340-B,133-1338-B
赫々たる かっかくたる	36-4899-B,133-1369-B,284-3428-B
赫怒 かくど	128-3248-B
赫赫 かくかく	36-3227-B,36-5374-B,133-1412-B
赫赫 かっかく	36-3258-B,36-5408-B,133-1443-B
赫赫たる かっかくたる	36-4943-B,133-1474-B,284-3471-B
走り抜く はしりぬく	209-1684-B
走る はしる	259-3545-B
走狗 そうく	95-730-B,147-5297-B
走者 そうしゃ	259-3798-B
走行可能 そうこうかのう	194-5024-B
走行距離 そうこうきょり	189-2392-B
走路 そうろ	68-1082-B
赴く おもむく	27-4552-B,133-3789-B
起きあがる おきあがる	104-4165-B,256-3982-B
