demobilization	79-2233-B
depot	80-3229-B,80-3245-B,80-3300-B,80-3340-B
depravity	80-3374-B,80-3403-B,80-3432-B,80-3461-B
deprecate	80-3496-B
depreciation	80-3537-B,80-3569-B,80-3604-B,80-3636-B,266-4326-S
depress	80-3692-B,80-3725-B,80-3764-B
depressing	80-3806-B,80-3842-B,80-3875-B
depression	80-3920-B,80-3959-B,80-3992-B,80-4022-B,80-4058-B,80-4091-B,80-4121-B,80-4151-B,80-4175-B,80-4205-B,80-4235-B,80-4265-B,80-4298-B,80-4331-B,80-4364-B,80-4406-B,80-4439-B,80-4472-B,80-4505-B,80-4547-B,80-4580-B,80-4610-B
deprivation	80-4646-B
deprive	80-4680-B,80-4722-B
depth	80-4761-B,80-4789-B,80-4817-B,80-4851-B,80-4879-B,80-4910-B,80-4935-B,80-4960-B,80-4985-B,80-5010-B
deputy	80-5038-B,80-5064-B,80-5093-B,80-5122-B,80-5148-B,80-5183-B,80-5218-B
derailment	80-5238-B
derangement	80-5271-B
derby	80-5305-B
deregulation	80-5348-B,80-5392-B,80-5439-B
derision	80-5489-B,80-5523-B,80-5551-B,80-5579-B
derisive	80-5607-B
derivation	80-5650-B,80-5686-B,80-5716-B
derivative	80-5746-B,80-5785-B
derive	80-5821-B
dermatologist	80-5862-B
dermatology	80-5904-B,80-5938-B
derrick	80-5981-B
descend	80-6017-B,80-6044-B,80-6077-B
descendant	80-6104-B,80-6137-B,80-6170-B,80-6203-B,80-6233-B
descending	80-6269-B
descent	80-6299-B,80-6335-B,80-6362-B,80-6398-B,80-6425-B
describe	80-6455-B,80-6486-B,80-6508-B,80-6536-B,80-6564-B,80-6589-B,80-6617-B
description	81-0-B,81-37-B,81-71-B,81-96-B,81-127-B,81-167-B,81-201-B,81-238-B,81-275-B,81-309-B,81-343-B,81-380-B,81-420-B,81-451-B,81-485-B
desecrate	81-519-B
desecration	81-548-B,81-585-B
desert	81-619-B,81-645-B,81-671-B,81-697-B,81-726-B,81-752-B,81-778-B,81-804-B,81-830-B,81-865-B
deserter	81-897-B
desertion	81-937-B,81-963-B,81-1001-B,81-1033-B,81-1065-B
deserve	81-1091-B,81-1127-B
design	81-1163-B,81-1183-B,81-1209-B,81-1241-B,81-1273-B,81-1308-B,81-1337-B,81-1363-B,81-1389-B,81-1415-B,81-1444-B,81-1467-B,81-1496-B,81-1522-B,81-1554-B,81-1574-B,81-1600-B,81-1629-B,81-1655-B,81-1684-B,81-1719-B,81-1748-B
designate	81-1774-B
designation	81-1803-B,81-1837-B,81-1868-B
designer	81-1902-B,81-1927-B,81-1961-B
desirable	81-2001-B,81-2042-B,81-2083-B,81-2124-B
desire	81-2165-B,81-2185-B,81-2208-B,81-2234-B,81-2260-B,81-2286-B,81-2306-B,81-2332-B,81-2358-B,81-2384-B,81-2410-B,81-2430-B,81-2459-B,81-2488-B,81-2514-B,81-2540-B,81-2575-B,81-2607-B,81-2636-B,81-2665-B,81-2697-B,81-2723-B,81-2749-B,81-2775-B,81-2804-B
desk	81-2833-B,81-2848-B,81-2872-B,81-2890-B
desolate	81-2911-B,81-2945-B,81-2979-B,81-3025-B,81-3059-B,81-3090-B,81-3133-B,81-3164-B,81-3195-B,81-3229-B,81-3263-B,81-3306-B,81-3337-B,81-3380-B,81-3423-B,81-3457-B,81-3503-B,81-3537-B,81-3583-B,81-3626-B,81-3657-B
desolation	81-3700-B
despair	81-3733-B,81-3760-B,81-3790-B,81-3829-B,81-3859-B,81-3886-B,81-3925-B,81-3949-B
desperate	81-3973-B,81-4002-B,81-4040-B,81-4090-B
desperately	81-4131-B,81-4150-B,81-4202-B,81-4239-B,81-4294-B,81-4337-B
desperation	81-4380-B,81-4411-B,81-4442-B,81-4479-B,81-4513-B,81-4547-B,81-4581-B,81-4612-B,81-4655-B,81-4683-B,81-4711-B,81-4748-B
despicable	81-4779-B,81-4827-B,81-4854-B,81-4896-B,81-4947-B
despise	81-4995-B,81-5013-B,81-5043-B,81-5073-B,81-5106-B,81-5145-B,81-5175-B,81-5211-B,81-5259-B,81-5292-B,81-5325-B,81-5364-B
despondency	81-5391-B,81-5425-B
despondent	81-5468-B
despot	81-5501-B,81-5548-B,81-5577-B
despotic	81-5615-B
despotism	81-5655-B,81-5687-B,81-5719-B,81-5751-B,81-5783-B,81-5815-B,81-5847-B,81-5894-B,81-5923-B
dessert	81-5958-B
destination	81-5979-B,81-6022-B,81-6062-B,81-6096-B,81-6127-B,81-6173-B,81-6225-B,81-6262-B,81-6296-B,81-6336-B,81-6370-B,81-6413-B,81-6447-B,81-6478-B
destiny	81-6521-B,81-6545-B,82-0-B,82-30-B,82-60-B,82-90-B,82-120-B,82-150-B,82-180-B,82-210-B,82-237-B,82-267-B,82-294-B,82-327-B,82-360-B,82-393-B,82-420-B,82-441-B,82-471-B
destitute	82-501-B,82-536-B,82-571-B,82-603-B
destitution	82-635-B,82-672-B,82-706-B
destroy	82-740-B,82-773-B,82-815-B,82-839-B,82-860-B,82-884-B,82-905-B,82-956-B,82-983-B,82-1022-B,82-1061-B,82-1106-B,82-1130-B,82-1157-B,82-1184-B,82-1217-B,82-1244-B,82-1271-B
destroyer	82-1316-B,82-1348-B,82-1386-B
destruction	82-1424-B,82-1458-B,82-1492-B,82-1535-B,82-1569-B,82-1603-B,82-1637-B,82-1668-B,82-1702-B,82-1736-B,82-1773-B,82-1807-B,82-1838-B,82-1869-B,82-1903-B,82-1937-B,82-1968-B,266-4360-S
destructive	82-1999-B
desultory	82-2039-B,82-2071-B
detach	82-2115-B,82-2153-B,82-2191-B,82-2229-B,82-2267-B,82-2296-B,82-2322-B
detachment	82-2360-B,82-2393-B,82-2435-B,82-2465-B,82-2504-B,82-2546-B,82-2582-B
detail	82-2618-B,82-2641-B,82-2661-B,82-2696-B,82-2725-B,82-2754-B,82-2783-B
detain	82-2815-B,82-2856-B,82-2897-B,82-2935-B,82-2964-B
detainee	82-2999-B
detect	82-3042-B,82-3077-B,82-3121-B,82-3156-B,82-3191-B
detecting	82-3223-B
detection	82-3252-B,82-3281-B,82-3316-B,82-3348-B,82-3380-B,82-3409-B
detective	82-3438-B,82-3479-B,82-3514-B,82-3546-B
detector	82-3578-B,82-3603-B,82-3631-B,82-3656-B,82-3690-B,82-3724-B
detente	82-3764-B,82-3785-B
detention	82-3833-B,82-3865-B,82-3900-B,82-3935-B,82-3970-B,82-4005-B,82-4034-B
detergent	82-4072-B,82-4125-B,82-4157-B,82-4207-B
deterioration	82-4245-B,82-4278-B,82-4311-B,82-4347-B,82-4383-B,82-4419-B,82-4455-B
determinant	82-4491-B
determination	82-4537-B,82-4570-B,82-4612-B,82-4642-B,82-4678-B,82-4714-B,82-4747-B,266-4396-S
determine	82-4783-B,82-4818-B
determinedly	82-4853-B
determiner	82-4879-B
determinism	82-4918-B
detest	82-4961-B,82-4987-B,82-5025-B,82-5048-B
detestable	82-5074-B,82-5098-B,82-5125-B,82-5170-B,82-5212-B,82-5236-B,82-5278-B,82-5317-B,82-5347-B,82-5377-B
detestation	82-5422-B
dethronement	82-5453-B
detonation	82-5485-B
detonator	82-5518-B,82-5559-B,82-5603-B
detour	82-5635-B,82-5670-B,82-5705-B,82-5731-B,82-5754-B,82-5789-B
deuce	82-5815-B
deuterium	82-5834-B
devaluation	82-5875-B,82-5915-B,82-5970-B
devastate	82-6022-B,82-6066-B,82-6095-B,82-6127-B
develop	82-6171-B,82-6201-B,82-6234-B,82-6279-B
developer	82-6312-B,82-6344-B
developing	82-6373-B
development	82-6406-B,82-6443-B,82-6474-B,82-6508-B,82-6548-B,82-6585-B,82-6619-B,82-6653-B,82-6687-B,82-6721-B,82-6755-B,83-0-B,83-31-B,83-65-B
deviate	83-99-B
deviation	83-132-B,83-164-B,83-193-B,83-225-B,83-254-B
device	83-286-B,83-309-B,83-329-B,83-355-B,83-384-B,83-410-B,83-439-B,83-462-B,83-494-B,83-523-B
devil	83-549-B,83-565-B,83-590-B,83-615-B,83-640-B,83-665-B,83-690-B,83-706-B,83-731-B,83-756-B,271-843-S
devious	83-781-B
devise	83-808-B,83-837-B,83-863-B,83-889-B,83-930-B,83-959-B
devote	83-985-B,83-1014-B,83-1046-B
devotee	83-1078-B,83-1117-B,83-1156-B,83-1186-B,83-1225-B
devotion	83-1258-B,83-1280-B,83-1305-B,83-1336-B,83-1370-B,83-1404-B,83-1429-B,83-1454-B,83-1488-B,83-1522-B,83-1553-B,83-1584-B,83-1615-B,83-1646-B,83-1677-B,83-1708-B,83-1742-B,83-1770-B
devour	83-1795-B,83-1833-B
devout	83-1874-B,83-1918-B,83-1962-B
devoutness	83-1991-B
dew	83-2024-B,83-2047-B
dewdrop	83-2064-B
dewy	83-2091-B
dexterity	83-2133-B,83-2168-B,83-2203-B,83-2238-B,83-2270-B,83-2302-B,83-2334-B,83-2369-B,83-2401-B
dextrose	83-2442-B
dextrous	83-2479-B,83-2510-B
diabetes	83-2541-B
diadem	83-2587-B,83-2607-B,83-2633-B,83-2662-B,83-2691-B
diagnosis	83-2720-B,83-2749-B,83-2781-B,83-2813-B
diagonal	83-2848-B,83-2879-B,83-2910-B,83-2944-B
diagonally	83-2978-B
diagram	83-3014-B,83-3041-B,83-3068-B,83-3098-B,83-3125-B,83-3152-B
dial	83-3191-B,83-3209-B
dialect	83-3227-B,83-3254-B,83-3278-B,83-3311-B,83-3335-B,83-3356-B,83-3386-B,83-3407-B,83-3434-B
dialectic	83-3470-B,83-3514-B
dialogue	83-3567-B,83-3592-B,83-3623-B,83-3651-B
dialysis	83-3682-B,83-3731-B
diameter	83-3783-B,83-3814-B,83-3854-B,83-3879-B,83-3913-B
diamond	83-3947-B,83-3968-B,83-3995-B,83-4022-B,83-4049-B,83-4079-B
diaper	83-4118-B,83-4147-B,83-4176-B,83-4202-B
diaphragm	83-4228-B
diarrhoea	83-4260-B,83-4286-B,83-4321-B
diary	83-4341-B,83-4363-B,83-4388-B,83-4425-B
diatom	83-4450-B
diatomic	83-4479-B
diatonic	83-4513-B
dice	83-4544-B
dicey	83-4571-B
dichotomy	83-4599-B
dictation	83-4637-B,83-4660-B,83-4710-B,83-4748-B
dictator	83-4780-B
dictatorial	83-4820-B,83-4866-B
dictatorship	83-4909-B,83-4944-B,83-4994-B,83-5047-B
diction	83-5097-B,83-5124-B,83-5148-B
dictionary	83-5175-B,83-5208-B,83-5244-B,83-5274-B,83-5307-B,83-5337-B,83-5364-B,83-5394-B,83-5424-B
die	83-5454-B,83-5471-B,83-5506-B,83-5538-B,83-5564-B,83-5593-B,83-5622-B,83-5645-B,83-5683-B,83-5739-B,83-5765-B,83-5785-B,83-5814-B,83-5843-B,83-5881-B,83-5922-B,83-5963-B,83-5992-B,83-6018-B,83-6038-B,83-6064-B
dielectric	83-6090-B,83-6123-B
diesel	83-6165-B,84-0-B
diet	84-23-B
dietitian	84-53-B
differ	84-103-B,84-135-B,84-173-B,84-211-B
difference	84-246-B,84-276-B,84-300-B,84-333-B,84-354-B,84-381-B,84-408-B,84-438-B,84-468-B,84-501-B,84-531-B,84-561-B,84-591-B,84-621-B,84-651-B
different	84-687-B,84-710-B,84-739-B,84-768-B,84-794-B,84-826-B,84-852-B,84-884-B,84-922-B
differentiation	84-960-B,84-1013-B,84-1051-B,84-1086-B,84-1121-B,84-1156-B
difficult	84-1200-B,84-1229-B,84-1267-B,84-1302-B,84-1337-B,84-1366-B,84-1395-B,84-1424-B,84-1462-B
difficulty	84-1494-B,84-1536-B,84-1578-B,84-1611-B,84-1644-B,84-1689-B,84-1719-B,84-1743-B,84-1773-B,84-1803-B,84-1833-B
diffidence	84-1866-B,84-1893-B,84-1935-B,84-1968-B
diffraction	84-2001-B
diffuse	84-2035-B,84-2065-B,84-2104-B,84-2143-B,84-2179-B
diffusion	84-2215-B,84-2244-B,84-2276-B,84-2308-B,84-2340-B
dig	84-2372-B
digest	84-2392-B,84-2418-B,84-2453-B,84-2491-B,84-2532-B,84-2570-B,84-2596-B,84-2625-B,84-2654-B
digestion	84-2689-B
digestive	84-2721-B
digging	84-2762-B,84-2792-B
digit	84-2822-B,84-2856-B
digital	84-2875-B,84-2899-B
digitalis	84-2920-B
dignity	84-2946-B,84-2970-B,84-3000-B,84-3030-B,84-3057-B,84-3090-B,84-3111-B,84-3132-B,84-3159-B,84-3189-B,84-3216-B,84-3240-B,84-3267-B,84-3294-B,84-3321-B,84-3351-B,84-3378-B,84-3405-B,84-3435-B,84-3465-B,84-3495-B,84-3522-B,84-3549-B,84-3579-B,84-3609-B
digression	84-3636-B,84-3666-B,84-3699-B,84-3726-B,84-3759-B,84-3792-B
dike	84-3825-B,84-3846-B,84-3873-B
dilapidation	84-3903-B
dildo	84-3947-B,84-3966-B,84-3994-B,84-4022-B
dilemma	84-4047-B,84-4068-B,84-4101-B
dilettante	84-4131-B,84-4161-B,84-4194-B,84-4230-B,84-4266-B,84-4308-B,84-4347-B,84-4380-B
diligence	84-4410-B,84-4442-B,84-4474-B,84-4506-B,84-4538-B,84-4570-B,84-4605-B,84-4637-B,84-4669-B,84-4701-B,84-4733-B,84-4765-B,84-4797-B,84-4835-B,84-4873-B,84-4905-B,84-4937-B,84-4972-B,84-5001-B
diligent	84-5033-B,84-5058-B,84-5089-B,84-5120-B
diligently	84-5151-B,84-5175-B,84-5199-B,84-5235-B
dilute	84-5280-B,84-5300-B,84-5323-B
dilution	84-5355-B,84-5386-B
dim	84-5417-B,84-5434-B,84-5463-B,84-5492-B,84-5515-B,84-5538-B,84-5561-B,84-5587-B,84-5613-B,84-5651-B,84-5689-B,84-5715-B,84-5753-B,84-5779-B
dimension	84-5811-B,84-5843-B,84-5875-B
dimensional	307-2796-S
dimensionality	307-2845-S
diminish	84-5904-B,84-5926-B,84-5957-B
diminishing	84-5982-B
diminuendo	84-6016-B
diminutive	84-6049-B
dimly	84-6085-B,84-6104-B,84-6132-B,84-6166-B,85-0-B,85-34-B
dimness	85-68-B,85-107-B
dimple	85-131-B
dimwit	85-154-B,85-183-B,85-215-B,85-253-B,85-285-B
dinghy	85-317-B
dining	85-340-B
dinner	85-363-B,85-383-B,85-415-B,85-441-B,85-476-B,85-508-B,85-534-B,85-569-B,85-604-B,85-633-B
dinosaur	85-662-B,85-699-B
diocese	85-736-B
diode	85-772-B,85-794-B
diorama	85-849-B
dioxin	85-870-B
dip	85-896-B,85-913-B,85-939-B,85-959-B,85-985-B,85-1005-B,85-1028-B
diphtheria	85-1054-B,85-1081-B
diphthong	85-1108-B,85-1155-B,85-1187-B
diploma	85-1228-B,85-1252-B,85-1309-B,85-1342-B,85-1369-B,85-1423-B
diplomacy	85-1459-B
diplomat	85-1491-B,85-1537-B
diplomatic	85-1577-B
dipper	85-1619-B,85-1642-B
direct	85-1671-B,85-1694-B,85-1720-B,85-1740-B,85-1763-B,85-1792-B,85-1824-B,85-1865-B,85-1894-B,85-1929-B,85-1955-B,85-1984-B,85-2010-B,85-2039-B,85-2080-B,85-2121-B,85-2147-B
direction	85-2194-B,85-2220-B,85-2252-B,85-2281-B,85-2310-B,85-2336-B,85-2365-B,85-2388-B,85-2417-B,85-2449-B,85-2481-B,85-2513-B,85-2548-B,85-2580-B,85-2609-B
directive	85-2638-B,85-2670-B,85-2711-B,85-2740-B
directly	85-2772-B,85-2791-B,85-2825-B,85-2853-B
directness	85-2881-B,85-2917-B
director	85-2953-B,85-2978-B,85-3006-B,85-3034-B,85-3080-B,85-3120-B,85-3145-B,85-3179-B,85-3207-B,85-3238-B,85-3272-B,85-3306-B
directory	85-3340-B,85-3369-B,85-3401-B,85-3439-B,85-3480-B,85-3512-B,85-3550-B
dirge	85-3591-B,85-3616-B,85-3644-B
dirk	85-3666-B,85-3693-B,85-3717-B
dirt	85-3744-B,85-3759-B,85-3777-B,85-3795-B,85-3822-B,85-3852-B,85-3876-B
dirtiness	85-3900-B
dirty	85-3932-B,85-3954-B,85-3979-B,85-4019-B,85-4056-B,85-4084-B
disability	85-4109-B,85-4139-B,85-4166-B,85-4199-B,85-4241-B
disablement	85-4271-B,85-4305-B
disadvantage	85-4339-B,85-4368-B,85-4406-B,85-4432-B
disadvantageous	85-4464-B
disaffection	85-4499-B
disagree	85-4531-B,85-4571-B,85-4602-B,85-4642-B
disagreeable	85-4676-B,85-4729-B,85-4755-B,85-4784-B,85-4831-B,85-4875-B,85-4901-B,85-4945-B
disagreement	85-4989-B,85-5027-B,85-5065-B,85-5094-B,85-5129-B,85-5170-B,85-5214-B,85-5246-B,85-5281-B,85-5322-B,85-5357-B,85-5392-B,85-5436-B
disappear	85-5480-B,85-5512-B,85-5550-B,85-5594-B,85-5638-B,85-5670-B,85-5708-B,85-5752-B,85-5787-B,85-5819-B,85-5857-B,85-5895-B,85-5924-B
disappearance	85-5959-B,85-5995-B,85-6031-B
disappearing	85-6073-B,85-6105-B
disappointing	85-6143-B,85-6191-B,85-6239-B,85-6296-B,85-6332-B,85-6380-B
disappointment	85-6428-B,85-6471-B,85-6517-B,85-6566-B,86-0-B,86-37-B,86-83-B,86-135-B,86-169-B,86-218-B
disapproval	86-255-B,86-289-B,86-329-B,86-372-B,86-415-B,86-446-B,86-483-B,86-523-B,86-554-B
disarmament	86-591-B,86-640-B
disassembly	86-677-B
disaster	86-711-B,86-739-B,86-776-B,86-813-B,86-841-B,86-875-B,86-900-B,86-934-B,86-956-B,86-987-B,86-1018-B,86-1049-B,86-1080-B,86-1108-B,86-1136-B,86-1167-B,86-1198-B,86-1226-B
disbandment	86-1257-B
disbelief	86-1291-B
disbursement	86-1320-B
discard	86-1352-B,86-1394-B,86-1433-B
discern	86-1454-B,86-1496-B,86-1532-B
discernment	86-1559-B,86-1593-B,86-1639-B,86-1673-B,86-1707-B,86-1741-B,86-1787-B,86-1821-B,86-1855-B,86-1889-B,86-1923-B,86-1957-B,86-2003-B,86-2037-B,86-2071-B,86-2105-B
discharge	86-2139-B,86-2168-B,86-2200-B,86-2232-B,86-2267-B,86-2299-B,86-2328-B,86-2372-B,86-2413-B,86-2448-B,86-2486-B,86-2518-B,86-2562-B,86-2591-B,86-2626-B,86-2655-B
disciple	86-2687-B,86-2712-B,86-2740-B,86-2765-B,86-2799-B,86-2827-B,86-2864-B
discipline	86-2895-B,86-2928-B,86-2967-B,86-3003-B,86-3042-B,86-3078-B,86-3123-B,86-3156-B,86-3192-B,86-3228-B,86-3279-B,86-3309-B,86-3339-B,86-3369-B,86-3414-B,86-3450-B,86-3483-B,86-3516-B,86-3549-B,86-3585-B,266-4434-S,266-4475-S
disclaimer	86-3621-B
disclose	86-3675-B,86-3718-B,86-3755-B,86-3807-B,86-3835-B
disclosure	86-3875-B,86-3914-B,86-3947-B,86-3977-B,86-4007-B,86-4040-B,86-4085-B
disco	86-4115-B
discoloration	86-4134-B
discolour	86-4173-B,86-4217-B
discomfiture	86-4249-B
discomfort	86-4308-B,86-4338-B
disconnect	86-4374-B,86-4407-B,86-4434-B,86-4467-B,86-4497-B,86-4536-B
disconnection	86-4575-B,86-4611-B
disconsolate	86-4647-B,86-4694-B
discontent	86-4741-B,86-4771-B,86-4801-B,86-4831-B
discontinuance	86-4870-B,86-4907-B,86-4947-B
discontinue	86-4990-B
discontinuity	86-5030-B
discord	86-5072-B,86-5105-B,86-5132-B,86-5177-B,86-5201-B,86-5237-B,86-5273-B,86-5303-B,86-5333-B,86-5378-B,86-5408-B,86-5438-B
discotheque	86-5462-B
discount	86-5496-B,86-5527-B,86-5558-B,86-5589-B,86-5614-B,86-5648-B,86-5685-B,86-5722-B,86-5753-B,86-5787-B,86-5821-B,86-5855-B
discouragement	86-5886-B,86-5929-B,86-5975-B,86-6024-B,86-6058-B
discourse	86-6095-B,86-6118-B
discourtesy	86-6147-B,86-6184-B
discover	86-6221-B,86-6249-B,86-6289-B,86-6335-B,86-6372-B,86-6415-B,86-6452-B,86-6489-B,86-6532-B,86-6566-B,86-6597-B,86-6634-B
discoverer	86-6668-B,86-6701-B
discovery	86-6743-B,86-6775-B,86-6807-B,86-6836-B
discredit	86-6865-B,86-6894-B,86-6932-B,86-6964-B
discreet	86-6996-B,87-0-B
discrepancy	87-46-B,87-83-B,87-117-B,87-148-B,87-179-B,87-222-B,87-262-B
discrete	87-290-B
discretion	87-321-B,87-351-B,87-384-B,87-417-B,87-453-B,87-486-B,87-519-B,87-555-B
discriminate	87-591-B,87-638-B,87-679-B,87-717-B,87-755-B
discrimination	87-790-B,87-824-B,87-861-B,87-907-B,87-944-B,87-981-B,87-1027-B,87-1064-B,87-1098-B,87-1132-B,87-1160-B,87-1197-B,87-1237-B,87-1274-B,87-1311-B,87-1360-B,87-1397-B
discus	87-1434-B
discuss	87-1463-B,87-1502-B,87-1535-B
discussion	87-1568-B,87-1604-B,87-1631-B,87-1664-B,87-1697-B,87-1736-B,87-1766-B,87-1799-B,87-1847-B,87-1880-B,87-1913-B,87-1946-B,87-1976-B,87-2009-B,87-2039-B,87-2081-B,87-2120-B,87-2153-B,87-2177-B,87-2207-B
disdain	87-2237-B,87-2267-B,87-2297-B,87-2324-B,87-2357-B,87-2384-B,87-2417-B
disease	87-2447-B,87-2477-B,87-2507-B,87-2531-B,87-2564-B,87-2594-B
disembarkation	87-2624-B
disenfranchisement	87-2664-B
disfavour	87-2705-B
disfigurement	87-2740-B
disgorge	87-2773-B,87-2798-B,87-2823-B
disgrace	87-2854-B,87-2888-B,87-2919-B,87-2959-B,87-2996-B,87-3033-B,87-3067-B,87-3104-B,87-3135-B,87-3166-B,87-3200-B,87-3240-B,87-3277-B,87-3314-B,87-3345-B,87-3373-B,87-3401-B,87-3432-B,87-3460-B,87-3485-B,87-3519-B
disgraceful	87-3556-B,87-3590-B,87-3630-B,87-3685-B,87-3740-B,87-3780-B
disguise	87-3832-B,87-3860-B,87-3888-B,87-3928-B,87-3959-B,87-3990-B,87-4021-B,87-4049-B,87-4077-B,87-4105-B,87-4136-B
disgust	87-4167-B,87-4194-B,87-4221-B,87-4248-B,87-4275-B,87-4305-B
disgusting	87-4335-B,87-4386-B,87-4407-B,87-4452-B,87-4494-B,87-4536-B,87-4569-B,87-4614-B,87-4659-B
dish	87-4713-B,87-4737-B,87-4764-B
disharmony	87-4782-B
dishonest	87-4821-B,87-4862-B
dishonesty	87-4912-B,87-4942-B,87-4975-B,87-5008-B,87-5047-B,87-5083-B
dishonour	87-5119-B,87-5148-B,87-5177-B
disillusion	87-5206-B
disillusionment	87-5240-B
disinclination	87-5278-B,87-5312-B,87-5346-B
disinfectant	87-5380-B,87-5424-B,87-5471-B
disinfection	87-5518-B,87-5553-B,87-5591-B
disinheritance	87-5626-B,87-5663-B,87-5697-B
disintegration	87-5737-B,87-5774-B
disinterest	87-5808-B
disjunction	87-5842-B
disk	87-5879-B,87-5897-B,87-5924-B
diskette	87-5951-B
dislike	87-5979-B,87-6006-B,87-6033-B,87-6060-B,87-6087-B,87-6120-B,87-6147-B,87-6180-B,87-6207-B,87-6234-B,87-6261-B,87-6288-B
dislocation	87-6315-B,87-6349-B,87-6386-B
dislodge	87-6417-B,87-6448-B,87-6479-B
disloyalty	87-6510-B,87-6543-B,87-6585-B
dismal	87-6615-B
dismantle	87-6656-B
dismantling	87-6697-B,87-6740-B,87-6783-B
dismay	87-6817-B,88-0-B
dismember	88-29-B,88-70-B
dismiss	88-111-B,88-141-B,88-174-B,88-204-B
dismissal	88-237-B,88-266-B,88-289-B,88-321-B,88-356-B,88-391-B,88-423-B,88-455-B,88-484-B,88-516-B,88-548-B,88-577-B,88-609-B,88-644-B,88-673-B,88-708-B,88-743-B
disobedience	88-775-B,88-822-B,88-866-B,88-898-B
disobey	88-930-B,88-957-B
disorder	88-990-B,88-1018-B,88-1049-B,88-1077-B,88-1111-B,88-1142-B,88-1173-B,88-1204-B,88-1241-B,88-1269-B,88-1300-B,88-1331-B,88-1362-B,88-1393-B,88-1424-B,88-1455-B,88-1486-B
disorderliness	88-1520-B
disorderly	88-1557-B,88-1593-B,88-1638-B
disorientation	88-1689-B
disparage	88-1735-B,88-1779-B
disparagement	88-1820-B,88-1853-B
disparity	88-1886-B,88-1924-B,88-1962-B,88-1991-B,88-2035-B,88-2076-B,88-2102-B,88-2131-B
