仕分ける しわける	50-5527-B
代表者 だいひょうしゃ	78-3429-B,250-4558-B
代言 だいげん	7-2882-B,22-1770-B
代言人 だいげんにん	22-1801-B,171-5844-B
代言者 だいげんしゃ	7-3148-B
代講 だいこう	294-5757-B
代謝 たいしゃ	188-1324-B,246-4065-B,249-2134-B
代議員 だいぎいん	78-3472-B,250-4607-B
代議員団 だいぎいんだん	78-3724-B
代金 だいきん	46-4894-B,67-1500-B,215-401-B,230-600-B
令 れい	55-2078-B,83-4637-B,207-141-B
令名 れいめい	114-3262-B
令堂 れいどう	146-2118-B,194-1537-B
令状 れいじょう	329-1648-B
令聞 れいぶん	114-3289-B
以て もって	27-4153-B,39-4033-B
以ての外 もってのほか	2-3851-B,320-3745-B
以上 いじょう	1-6193-B,29-5248-B,108-127-B,209-3689-B,275-0-B
以下 いか	318-0-B
以内 いない	334-2402-B
以前 いぜん	8-6297-B,28-661-B,229-6565-B,275-28-B
以前に いぜんに	8-6320-B,28-687-B,230-158-B,275-53-B
以往 いおう	124-5557-B,144-1207-B
以後 いご	144-1236-B,306-0-B
以心伝心 いしんでんしん	300-6086-B,303-5417-B
以来 いらい	144-197-B,275-84-B
以遠 いえん	29-5277-B
以降 いこう	144-1262-B,306-27-B
仮 か	235-2064-B,304-5062-B
仮 かり	4-5819-B,121-1716-B,158-98-B,162-3924-B,235-2086-B,304-2090-B
仮に かりに	235-2256-B,304-1824-B
仮の名 かりのな	10-413-B
仮令 たとい	11-4932-B,107-5294-B,150-3956-B,306-5636-B
仮令 たとえ	11-4960-B,107-5321-B,150-3978-B,306-5662-B
仮借 かしゃく	34-182-B,212-4535-B
仮出所 かりしゅっしょ	212-6049-B
仮出獄 かりしゅつごく	212-6090-B
仮初 かりそめ	198-850-B,304-1855-B,312-3896-B,314-2794-B
仮初め かりそめ	198-883-B,304-1891-B,312-3929-B,314-2823-B
仮名 かめい	10-444-B,235-4540-B
仮名 かりな	235-4569-B
仮名 けみょう	235-4598-B
仮声 かせい	114-2715-B
仮定 かてい	20-6349-B,149-5408-B,298-1610-B
仮寝 かりね	196-3320-B,273-3920-B
仮小屋 かりごや	33-4557-B,149-2471-B,269-6092-B
仮想 かそう	151-1497-B,298-1641-B
仮拵え かりごしらえ	181-4350-B
仮数 かすう	183-23-B
仮枕 かりまくら	196-3343-B
仮死 かし	19-4982-B
仮漆 かしつ	324-144-B
仮相 かそう	15-5176-B,219-1948-B
仮眠 かみん	92-4036-B,196-3372-B
仮睡 うたたね	196-3395-B,273-3946-B
仮睡 かすい	196-3421-B,273-3975-B
仮粧 けしょう	181-4637-B
仮粧 けわい	181-4666-B
仮納 かのう	80-2265-B
仮納金 かのうきん	80-2292-B
仮装 かそう	87-3832-B,184-441-B
仮言 かげん	253-5271-B
仮言的 かげんてき	149-5597-B
仮託 かたく	229-4851-B,229-5411-B
仮設 かせつ	118-477-B,149-5438-B,235-2111-B,298-1672-B,304-2113-B
仮説 かせつ	118-506-B,149-5468-B,235-2142-B,298-1703-B,304-2142-B
仮面劇 かめんげき	184-406-B
仰々しい ぎょうぎょうしい	33-807-B
仰ぎ望み あおぎのぞみ	254-4135-B
仰ぐ あおぐ	93-5544-B,252-3336-B,254-4019-B,266-15-B,302-298-B
仰しゃる おっしゃる	262-897-B,282-4349-B,302-1660-B,303-5808-B
仰せ おおせ	55-2099-B,287-5382-B
仰せつける おおせつける	16-3379-B,55-2126-B,251-1300-B
仰せられる おおせられる	262-932-B,287-4359-B
仰せ付ける おおせつける	16-3424-B,55-2171-B,251-1345-B
仰っしゃる おっしゃる	262-973-B,282-4386-B,302-1696-B,303-5844-B
仰る おっしゃる	262-1011-B,282-4426-B,302-1735-B,303-5883-B
仰仰しい ぎょうぎょうしい	33-857-B
仰山 ぎょうさん	2-5044-B,223-1074-B
仰有る おっしゃる	262-1040-B,282-4457-B,302-1765-B,303-5913-B
仰望 ぎょうぼう	254-4179-B
仲 なか	247-5319-B,247-5954-B
仲がいい なかがいい	52-1373-B,163-3247-B
仲人 ちゅうにん	133-3886-B,184-4345-B
仲人 なこうど	133-3922-B,184-4381-B
仲介 ちゅうかい	8-3017-B,162-5018-B
仲介物 ちゅうかいぶつ	46-2423-B,162-4837-B,186-3067-B
仲介者 ちゅうかいしゃ	133-3955-B,186-820-B,188-6077-B
仲保 ちゅうほ	162-1154-B,186-200-B
仲保者 ちゅうほしゃ	186-863-B
仲夏 ちゅうか	189-850-B
仲好 なかよし	49-4061-B
仲好し なかよし	49-4088-B
仲居 なかい	328-2150-B
仲断 ちゅうだん	35-3598-B,163-651-B,299-3101-B
仲核 ちゅうかく	66-1159-B,168-1222-B,201-4156-B
仲直り なかなおり	244-3533-B
仲睦まじい なかむつまじい	141-831-B,163-3287-B
仲立ち なかだち	8-3049-B,8-3875-B,133-4000-B,186-232-B,186-903-B,188-6121-B
仲立人 なかだちにん	133-4036-B,186-937-B,188-6156-B
仲良し なかよし	49-4118-B
仲裁 ちゅうさい	17-2664-B,162-1189-B,186-267-B
仲裁々判 ちゅうさいさいばん	17-2701-B
仲裁人 ちゅうさいにん	17-2916-B,186-977-B
仲裁者 ちゅうさいしゃ	17-2961-B,186-1020-B
仲裁裁判 ちゅうさいさいばん	17-2756-B
仲買 なかがい	37-972-B
仲買人 なかがいにん	37-706-B,166-2577-B
仲違い なかたがい	86-5237-B
仲間 ちゅうげん	123-1983-B
仲間 なかま	20-5379-B,54-1916-B,56-4260-B,58-6159-B,117-764-B,137-3028-B,184-4650-B,213-2773-B
仲間内 なかまうち	158-120-B,231-565-B
件 くだん	107-5348-B,227-3749-B
件 けん	43-2194-B,165-4872-B,185-347-B
件名 けんめい	294-126-B,304-5389-B,309-678-B
任 にん	46-4923-B,95-2944-B,202-4042-B,252-5484-B
任じる にんじる	16-3469-B,200-381-B
任す まかす	103-3360-B
任ずる にんずる	200-415-B
任侠 にんきょう	49-344-B,130-5979-B,144-3527-B
任務 にんむ	95-2962-B,128-1493-B,191-1368-B,204-2049-B,302-5112-B
任命 にんめい	16-3725-B,55-5057-B,81-1803-B,200-540-B,207-2989-B
任命式 にんめいしき	164-4042-B
任地 にんち	16-3759-B
任官 にんかん	16-3790-B,164-4085-B
任意 にんい	15-482-B,17-2531-B,87-321-B,206-4848-B,222-5995-B
任用 にんよう	16-3824-B,100-2108-B
任職 にんしょく	207-3022-B
企て くわだて	21-5261-B,221-5546-B,318-4191-B
企てる くわだてる	21-5291-B,63-3478-B,81-1273-B,161-5137-B,221-5573-B,223-1568-B,234-897-B,318-3821-B
企み たくらみ	19-1191-B,81-1308-B,163-5227-B,221-5606-B,314-1692-B
企む たくらむ	62-5847-B,164-1666-B,221-5633-B,263-757-B
企劃 きかく	221-5660-B,222-1093-B
企及 ききゅう	21-5327-B
企図 きと	221-5684-B,232-4451-B,263-786-B
企業 きぎょう	102-5876-B,318-4225-B
企業化 きぎょうか	55-4769-B
企業合併 きぎょうがっぺい	187-5226-B
企業家 きぎょうか	103-3268-B,156-6404-B
企業者 きぎょうしゃ	156-6446-B
企業連合 きぎょうれんごう	43-1307-B,301-1317-B
企画 きかく	222-1121-B,232-4475-B
伉配 こうはい	285-1239-B
伊達 いたて	129-1466-B,272-5356-B,323-1125-B
伊達 だて	129-1495-B,272-5381-B,323-1157-B
伊達女 だておんな	120-4008-B
伊達男 だておとこ	74-1691-B,94-4224-B
伊達者 だてしゃ	74-1725-B,94-4257-B
伊達衆 だてしゅう	74-1756-B,129-1089-B
伍 ご	118-3810-B,175-5399-B
伍長 ごちょう	66-2799-B
伎 き	77-1192-B,276-720-B
伎 ぎ	77-1207-B,276-736-B
伎倆 ぎりょう	1-3559-B,41-4185-B,276-752-B,302-1140-B
伎能 ぎのう	1-3589-B,41-4216-B
伏 ふく	70-5701-B,144-5812-B,290-1574-B
伏して ふして	148-4799-B,252-4123-B
伏せる ふせる	68-2934-B,144-5830-B
伏せ勢 ふせぜい	12-2115-B
伏せ字 ふせじ	21-182-B
伏せ屋 ふせや	149-2500-B
伏せ籠 ふせかご	65-3942-B
伏兵 ふくへい	12-2147-B
伏勢 ふくぜい	12-2176-B
伏勢 ふせぜい	12-2205-B
伏字 ふせじ	21-213-B
伏屋 ふせや	149-2526-B
伏線 ふくせん	228-4592-B
伏魔殿 ふくまでん	211-4988-B
伐 ばつ	21-4507-B,236-3727-B,292-1084-B
伐つ うつ	21-4527-B,236-3747-B,292-1104-B
伐採 ばっさい	78-200-B
伐木 ばつぼく	177-4813-B
休 きゅう	252-5894-B,253-5743-B,277-1240-B
休まる やすまる	250-3889-B
休み やすみ	2-1337-B,146-919-B,243-4164-B,252-4820-B,299-3137-B
休む やすむ	252-5915-B,253-5766-B,277-1262-B
休める やすめる	252-5939-B,299-2701-B
休らう やすらう	247-6638-B,252-5969-B
休会 きゅうかい	6-152-B,243-4190-B
休学 きゅうがく	299-3167-B
休怠 きゅうたい	172-1095-B,198-129-B
休息 きゅうそく	247-6909-B,248-1818-B,252-5999-B
休息所 きゅうそくじょ	177-2044-B,178-5700-B,253-2694-B
休息時間 きゅうそくじかん	243-4222-B
休意 きゅうい	215-819-B,312-699-B
休憩 きゅうけい	35-3629-B,162-5134-B,243-4269-B,252-6029-B
休憩室 きゅうけいしつ	178-5741-B,253-2737-B
休憩所 きゅうけいじょ	178-5782-B,253-2780-B
休憩時間 きゅうけいじかん	162-5172-B
休戚 きゅうせき	331-2922-B
休戦 きゅうせん	18-488-B,315-1664-B
休日 きゅうじつ	146-946-B
休暇 きゅうか	128-3337-B,146-979-B
休業 きゅうぎょう	146-1009-B,273-2008-B
休止 きゅうし	45-3821-B,214-5096-B,252-6059-B
休止符 きゅうしふ	217-2357-B
休眠 きゅうみん	92-1123-B,150-2996-B
休養 きゅうよう	35-3660-B,244-6764-B,252-6086-B
会 え	318-2571-B
会 かい	20-999-B,20-5748-B,52-4709-B,186-4007-B,213-3525-B
会う あう	163-1974-B,186-3695-B
会う約束 あうやくそく	249-1370-B
会する かいする	20-638-B
会則 かいそく	62-7181-B
会合 かいごう	20-1021-B,186-4028-B
会同 かいどう	20-1052-B,186-4058-B
会員 かいいん	187-448-B
会商 かいしょう	198-1678-B
会堂 かいどう	46-3164-B,49-4214-B,301-773-B
会報 かいほう	38-1173-B,250-2716-B
会席料理 かいせきりょうり	25-2970-B
会得 えとく	16-4864-B,58-3638-B,135-4552-B,216-4473-B,318-2595-B
会心 かいしん	61-1306-B,261-4370-B
会戦 かいせん	26-4598-B,101-6259-B
会所 かいしょ	52-4727-B
会派 かいは	56-2349-B,79-4404-B,113-551-B
会社 かいしゃ	56-4287-B,66-2950-B
会社企業 かいしゃきぎょう	66-2984-B
会衆 かいしゅう	22-3999-B,61-2212-B
会見 かいけん	22-4033-B,163-2000-B
会見者 かいけんしゃ	163-2622-B
会計 かいけい	3-6408-B,3-6611-B,30-2000-B,119-81-B,215-345-B,313-3245-B
会計係 かいけいがかり	3-6644-B,43-2729-B
会計係 かいけいけい	3-6689-B,43-2771-B
会計学 かいけいがく	3-6535-B
会計官 かいけいかん	3-6731-B,313-3277-B
会計検査 かいけいけんさ	22-4395-B
会話 かいわ	64-6693-B
会談 かいだん	60-2550-B,64-6725-B,87-1631-B,163-2032-B
会議 かいぎ	20-1083-B,60-2583-B,64-6114-B,67-2580-B,186-4088-B,269-467-B
会議事項 かいぎじこう	8-3410-B
会釈 えしゃく	34-4382-B,136-4778-B,199-4873-B,244-1358-B,261-116-B
会長 かいちょう	45-4770-B
会集 かいしゅう	20-1111-B,22-4064-B,186-4115-B
会食 かいしょく	188-606-B
伜 さい	281-1204-B
伜 せがれ	281-1221-B
伜 そち	281-1241-B
伜 そつ	281-1258-B
伝 つて	162-4884-B
伝 てん	30-3728-B,55-3556-B,56-2104-B,173-2705-B,174-5647-B,311-2120-B
伝う つたう	122-4130-B
伝え つたえ	173-2725-B,311-2143-B
伝える つたえる	29-2516-B,56-1873-B,65-1399-B,152-495-B,233-4356-B,250-2745-B,303-1649-B,303-5946-B,312-6070-B
伝え話 つたえばなし	173-2751-B
伝令 でんれい	188-1017-B,207-1028-B,259-3769-B
伝令者 でんれいしゃ	144-425-B,188-1049-B,207-1058-B
伝動 でんどう	94-260-B,130-3665-B
伝単 でんたん	172-3541-B
伝唱 でんしょう	311-2172-B
伝奇的 でんきてき	173-3053-B
伝家 でんか	143-3190-B
伝導 でんどう	60-1622-B,312-5682-B
伝導体 でんどうたい	60-2008-B,312-6209-B
伝導度 でんどうど	60-1721-B
伝導性 でんどうせい	60-1762-B
伝導率 でんどうりつ	60-1806-B
伝手 つて	61-3457-B,133-4078-B,157-5700-B,162-4910-B
伝承 でんしょう	122-3523-B,173-2789-B,311-2207-B,312-5717-B
伝授 でんじゅ	158-4522-B,161-123-B
伝搬 でんぱん	233-4463-B,285-2239-B,312-5755-B
伝播 でんぱ	49-6039-B,84-2215-B,89-1699-B,233-4497-B,285-2268-B,312-5790-B
伝来 でんらい	13-380-B,144-1523-B
伝染 でんせん	63-2766-B
伝染毒 でんせんどく	131-4054-B,326-4706-B
伝染病 でんせんびょう	103-6008-B
伝法 でんぼう	38-2014-B
伝法 でんぽう	38-2045-B
伝法肌 でんぼうはだ	258-2117-B
伝票 でんぴょう	49-138-B,327-5602-B
伝統 でんとう	64-6144-B,311-2242-B
伝統主義 でんとうしゅぎ	311-3119-B
伝統的 でんとうてき	64-6428-B,311-2928-B
伝習 でんしゅう	172-4670-B
伝聞 でんぶん	142-3387-B,250-2777-B,259-3003-B
伝言 つてごと	259-3031-B,334-5378-B
伝言 でんごん	259-3059-B,334-5405-B
