answer	14-2058-B,14-2087-B,14-2125-B,14-2154-B,14-2186-B,14-2215-B,14-2238-B,14-2264-B,14-2296-B,14-2325-B,14-2348-B,14-2377-B
ant	14-2403-B
antagonism	14-2420-B,14-2453-B,14-2477-B,14-2510-B,14-2543-B,14-2576-B,14-2609-B,14-2660-B,14-2693-B,14-2726-B,14-2777-B
anteater	14-2810-B,14-2841-B
antecedent	14-2875-B
antechamber	14-2908-B,14-2951-B
antelope	14-2988-B
antenna	14-3019-B,14-3040-B,14-3082-B
anteroom	14-3115-B,14-3152-B
anthem	14-3192-B
anthill	14-3221-B
anthology	14-3251-B,14-3280-B,14-3309-B,14-3344-B,14-3376-B,14-3414-B,14-3446-B
anthracite	14-3478-B
anthrax	14-3517-B,14-3556-B
anthropoid	14-3592-B
anthropologist	14-3634-B
anthropology	14-3689-B,14-3733-B
antibacterial	14-3777-B,14-3813-B
antibiotic	14-3858-B
antibody	14-3900-B,14-3940-B
anticipate	14-3971-B,14-4013-B,14-4055-B,14-4094-B,14-4142-B,14-4187-B,14-4238-B,14-4271-B
anticipation	14-4304-B,14-4336-B,14-4371-B,14-4421-B,14-4462-B,14-4503-B,14-4550-B,14-4591-B,14-4623-B
anticoagulant	14-4658-B
anticoagulation	14-4703-B
anticonvulsant	14-4750-B,14-4811-B
antidepressant	14-4866-B,14-4906-B
antidote	14-4955-B,14-4983-B,14-5023-B,14-5057-B,14-5094-B
antifeminism	14-5131-B
antifreeze	14-5172-B,14-5205-B,14-5244-B
antifungal	14-5283-B
antigen	14-5325-B
antihero	14-5355-B
antihistamine	14-5395-B,14-5461-B
antimicrobial	14-5527-B
antimony	14-5563-B
antioxidant	14-5588-B
antiparticle	14-5643-B
antipathy	14-5687-B,14-5719-B
antique	14-5754-B,14-5805-B,14-5829-B,14-5856-B,14-5883-B,14-5910-B,14-5940-B,14-5979-B
antiquity	14-6009-B,14-6041-B,14-6076-B,14-6108-B,14-6137-B,14-6163-B,14-6195-B
antiseptic	14-6227-B
antisocial	14-6272-B,14-6323-B
antithesis	14-6371-B,14-6395-B,14-6425-B,14-6461-B,14-6497-B
antler	14-6530-B
antonym	14-6565-B,14-6589-B,14-6625-B,14-6658-B,14-6685-B
anus	14-6712-B,14-6727-B
anvil	14-6754-B,14-6782-B,14-6813-B,14-6841-B
anxiety	14-6872-B,14-6899-B,14-6935-B,14-6962-B,14-6992-B,14-7031-B,14-7061-B,15-0-B,15-27-B,15-57-B,15-84-B,15-111-B,15-147-B,15-183-B,15-219-B,15-252-B,15-285-B,15-321-B,15-357-B,15-384-B,15-411-B
anxiously	15-435-B
any	15-482-B,15-505-B,15-534-B,15-557-B,15-586-B,15-612-B,15-641-B,15-670-B
anybody	15-699-B,15-732-B,15-765-B
anyhow	15-795-B,15-812-B,15-844-B,15-876-B,15-908-B,15-934-B,15-984-B,15-1034-B,15-1069-B,15-1101-B,15-1139-B,15-1171-B,15-1197-B,15-1220-B
anymore	15-1246-B
anyone	15-1279-B,15-1308-B,15-1346-B,15-1378-B
anything	15-1404-B,15-1438-B
anyway	15-1472-B,15-1504-B,15-1536-B,15-1562-B,15-1591-B,15-1626-B,15-1649-B,15-1699-B,15-1731-B,15-1763-B,15-1801-B,15-1833-B,15-1859-B,15-1882-B
anywhere	15-1908-B,15-1939-B,15-1976-B,15-2019-B,15-2059-B
aorta	15-2105-B
apart	15-2145-B,15-2179-B,15-2225-B
apartheid	15-2259-B,15-2291-B,15-2323-B
apathetic	15-2370-B
apathy	15-2408-B
aperitif	15-2428-B,15-2456-B
aperture	15-2499-B,15-2524-B,15-2555-B,15-2586-B,15-2617-B
apex	15-2654-B,15-2681-B
aphid	15-2705-B
aphorism	15-2733-B,15-2761-B,15-2798-B,15-2829-B
aphrodisiac	15-2857-B,15-2900-B
apiece	15-2931-B
apocalypse	15-2960-B,15-2990-B
apologize	15-3020-B,15-3052-B,15-3081-B
