когорта	54-3409-B
комический	56-1323-B,56-1492-B,141-255-B
комичный	56-1350-B,56-1521-B,230-1918-B
комкать	69-2082-B
комковатый	53-229-B,53-2982-B,173-1595-B
комментарий	56-3059-B,56-3231-B
комментатор	14-5210-B,56-3265-B
комментировать	14-5140-B,56-3090-B
коммерсант	41-1049-B
коммерциализация	56-3519-B
коммерческий	56-3385-B,180-35-B
коммивояжер	250-3290-B
коммодор	56-5107-B
коммуна	57-299-B
коммунальный	57-231-B
коммунизм	57-1166-B
коммуникабельный	270-2467-B
коммуникация	57-804-B
коммунист	57-1195-B
коммунистический	57-1224-B,57-1267-B
коммутатор	57-1571-B,103-934-B,289-2020-B,289-2449-B
коммюнике	57-1136-B
комната	27-3206-S,47-4225-B,246-209-B,247-82-B
комната больного	263-4803-B
комната для игр	214-0-B
комнате	247-238-S
комнатный ледник	142-1460-B
комод	40-2607-B,56-4987-B
комок	53-85-B,53-1687-B,53-2097-B,126-781-B,192-3767-B,319-4343-B
компактность	57-1881-B
компактный	57-1664-B
компанейский	57-2086-B,64-1810-B
компания	40-1232-B,57-2232-B,68-2119-B,110-761-B,121-2715-B,172-1190-B,204-2584-B
компаньон	21-1542-B,57-1918-B,203-2420-B,204-2110-B
компас	57-2946-B
компендиум	57-3590-B
компенсатор	57-4002-B
компенсация	13-1932-B,22-944-B,25-2714-B,57-3966-B,100-659-B,148-2769-B,148-3006-B,195-3668-B,206-550-B,235-3076-B,235-4668-B,237-5744-B,239-2854-B,240-593-B,244-2041-B
компенсировать	57-3778-B,148-2909-B,175-130-B,195-3698-B,235-3110-B,235-4600-B,239-2740-B
компетентно	57-4354-B
компетентность	57-4138-B,57-4212-B,104-5415-B
компетентный	3-2085-B,57-4286-B
компетенция	43-5236-B,57-4178-B,57-4252-B,104-5454-B,253-4257-B
компилировать	57-4790-B,296-4375-B
компилятор	35-1095-B
компиляция	57-4722-B
комплекс	58-648-B
комплексный	58-673-B
комплект	121-2737-B,162-687-B,258-4781-B,285-4965-B
комплектовать	57-6259-B,235-5421-B
комплекция	39-3553-B,210-4397-B
комплимент	58-1360-B
композитор	58-2028-B
композиция	58-2112-B
компонент	58-1608-B
компоновать	58-1741-B
компост	58-2392-B
компостер	227-660-B
компостировать	52-4353-B,227-685-B
компот	58-2541-B
компресс	58-3157-B
компрессия	58-3358-B
компрессор	58-3478-B
компрометировать	58-3632-B
компромисс	58-3676-B,300-3768-B
компьютер	58-4201-B
компьютеризация	58-4229-B
компьютеризировать	58-4276-B
кому	324-867-B,324-1424-B
комфорт	56-607-B,63-5449-B
комфортабельный	56-834-B,56-1187-B
комфортный	56-877-B
конвейер	64-1339-B
конвекция	63-5340-B
конвент	63-5723-B
конвенция	63-5749-B,302-4216-B
конвергентный	63-6310-B
конвергенция	63-6209-B
конверсия	64-154-B
конверт	99-4253-B
конвертер	64-695-B
конвертировать	64-412-B
конвертируемость	64-794-B
конвертируемый	64-842-B
конвертор	64-724-B
конвоировать	64-2184-B,100-5472-B
конвой	64-2216-B,100-5504-B
конвульсивный	64-2456-B
конвульсия	64-2364-B
конгениальный	60-3201-B
конгломерат	60-3562-B
конголезец	1-2059-B
конголезский	1-2090-B
конгрегация	60-3885-B
конгресс	60-4003-B
конгресса	1-2125-S
конгрессмен	60-4049-B
конгруэнтность	60-4084-B
конгруэнтный	60-4270-B
конденсат	59-3536-B
конденсатор	43-5083-B,59-3800-B
конденсация	59-3566-B
конденсированный	59-3728-B
конденсировать	59-3666-B
конденсор	59-3833-B
кондитер	59-5274-B
кондитерская	288-5168-B
кондиционер	10-5250-B
кондиционировать	10-5203-B
кондом	59-4274-B
кондоминиум	59-4173-B,59-4324-B
кондор	59-4359-B
кондуктор	59-4891-B
конек	107-233-B,137-4487-B,137-4542-B,265-4960-B
конек крыши	55-3382-B
конец	53-726-B,53-1571-B,73-609-B,74-867-B,97-3958-B,97-4546-B,112-2255-B,199-19-B,230-500-B,290-2807-B,293-5232-B,298-593-B
конец в конце концов	102-498-B,112-397-B,306-3417-B
конец недели	322-3122-B
конечная станция	293-4793-B,294-87-B
конечно	21-3586-B,47-2048-B,52-1890-B,188-3322-B,287-3121-B,287-3261-B
конечном счете	102-574-S,306-3467-S
конечности	106-2719-B,169-521-B
конечность	169-359-B,179-3281-B
конечный	102-338-B,112-98-B,112-2543-B
конический	60-4550-B,60-4612-B
конкистадор	61-496-B
конклав	59-1538-B
конкордат	59-2629-B
конкретный	59-2849-B
конкреция	59-2905-B
конкурент	57-4631-B,62-5821-B,245-4732-B
конкурентоспособность	57-4572-B
конкурентоспособный	57-4521-B
конкуренты	57-4689-B
конкуренция	57-4389-B,245-4867-B
конкурировать	57-4037-B,245-4757-B
конкурс	57-4424-B,62-5587-B
конница	46-3499-B,139-3687-B
коннотация	61-0-B
конный	185-3913-B
конопатить	46-2069-B
конопля	43-3031-B,136-511-B
коноплянка	169-3371-B
консеквентный	61-1779-B
консенсус	61-1388-B
консервативность	61-2225-B
консервативный	61-2309-B
консерватизм	61-2271-B
консерватор	61-2351-B
консерватория	61-2421-B,61-2462-B
консервация	61-2023-B
консервирование	43-3332-B,61-2059-B,70-1640-B,220-3063-B
консервированный	43-3055-B,217-5291-B,220-3523-B,298-345-B
консервировать	43-1344-B,61-2562-B,217-4066-B,220-3291-B,297-4546-B
консервный нож	196-4114-B
консервы	61-2600-B,220-3329-B,220-3566-B
консистенция	61-3867-B,61-3904-B
консистория	61-4320-B
конский	100-1594-B
конский волос	139-3832-B
консолидация	61-4642-B
консолидировать	61-4568-B,120-471-B
консоль	36-2904-B,43-4170-B,61-4443-B,277-3511-B
консоме	61-4786-B
консонанс	61-4838-B
консорциум	61-5035-B,289-4799-B
конспект	199-2009-B
конспектировать	234-4313-B,234-4406-B
конспиративный	255-3845-B
конспирация	61-5361-B
константа	61-5672-B
константный	61-5700-B
конституции	307-6543-S
конституционный	62-34-B
конституция	61-6267-B,210-4427-B
конструировать	62-611-B,79-1042-B,80-3719-B
конструктивный	62-1080-B,62-1164-B
конструктор	62-1206-B,79-1945-B,90-1563-B,162-708-B
конструкция	62-846-B,79-1078-B,117-341-B,118-669-B,283-638-B
консул	62-1388-B
консульский	62-1408-B
консульство	62-1440-B
консультант	9-388-B,9-469-B,10-4458-B,62-1549-B,66-737-B
консультативный	9-525-B,62-1705-B
консультация	8-5700-B,62-1611-B,62-1789-B,66-519-B
консультировать	9-24-B
консультироваться	62-1473-B
контакт	62-2625-B,62-2706-B,270-2906-B,299-4896-B
контаминация	62-3274-B
контейнер	31-2541-B,45-3051-B,62-3036-B
контекст	62-5945-B
контингент	63-0-B,230-2120-B
контингент избирателей	95-1595-B
континент	62-6154-B
континентальный	62-6208-B
континуум	63-1070-B
контора	40-2625-B,195-2726-B
контрабанда	63-1353-B,269-2631-B
контрабандой	269-2579-S
контракт	10-3574-B,63-1633-B
контральто	12-4392-B,63-2315-B
контрапункт	66-2122-B
контрассигнация	66-2310-B
контраст	15-5577-B,63-2867-B,115-2341-B,197-1682-B
контрастировать	63-2893-B
контрастность	63-2933-B
контратака	66-1361-B
контрацепция	63-1387-B
контргайка	171-25-B
контргруз	66-1396-B,66-2432-B
контрибуция	63-3421-B
контрмера	66-1918-B
контрнаступление	66-1952-B
контролер	49-595-B,63-4562-B,102-4341-B,153-584-B,200-5180-B,286-5730-B
контролировать	49-409-B,63-4045-B,184-1258-B,215-3650-B,286-3857-B,286-5459-B
контролируемый	49-556-B,63-4458-B
контроллер	63-4592-B
контроль	49-444-B,49-686-B,49-712-B,49-836-B,63-4082-B,153-371-B,184-1446-B,286-3960-B,294-2150-B,316-4631-B
контрпредложение	66-2002-B
контрразведка	66-1547-B,66-1871-B
контрреволюция	66-2263-B
контрудар	233-3278-B
контрфорс	4-4579-B,41-2367-B,66-1840-B,211-1652-B
контузить	39-1070-B,63-5115-B
контузия	39-1096-B,63-5142-B
контур	50-4583-B,63-1305-B,199-2034-B,223-1755-B,247-3342-B
конура	89-233-S,161-1346-B,161-1425-S
конус	59-5034-B,291-3377-B
конусность	291-3394-B
конусообразный	60-4577-B,60-4641-B,291-3452-B
конфедерация	59-5304-B,59-5383-B
конферансье	99-1050-B
конференция	59-5620-B
конфета	43-2829-B,56-585-B,126-3676-B,288-4632-B,288-5091-B,288-5203-B
конфигурация	60-495-B
конфигурировать	60-592-B
конфиденциальность	60-411-B
конфиденциальный	60-333-B,222-788-B
конфирмация	60-1050-B
конфирмовать	60-924-B
конфискация	59-3438-B,60-1333-B,256-4014-B,258-1942-B
конфисковать	60-1233-B,145-3647-B,256-3868-B,258-1905-B
конфликт	51-4434-B,60-1481-B
конформист	60-1907-B
конфронтация	60-2171-B
конфуз	96-858-B
конфузить	84-682-B,96-526-B
конца	5-2678-S,6-781-S,62-2146-S
конце концов	102-498-S,112-397-S,306-3417-S
концентрат	58-5291-B
концентрация	58-5592-B,77-3321-B
концентрированный	58-5468-B
концентрировать	47-751-B,47-1148-B,58-5324-B,177-2500-B
концентрический	58-5723-B
концепция	58-5782-B,58-5919-B
концерт	59-596-B,59-746-B
концертино	59-671-B
концертмейстер	59-703-B,165-4424-B
концессионер	59-826-B
концессия	59-770-B
концов	102-498-S,112-397-S,306-3417-S
кончать	53-743-B,97-3973-B,112-2273-B,230-1108-B,280-4707-B,293-4988-B
кончаться	97-3992-B,104-5844-B,112-2295-B,125-4711-B,204-2885-B,242-4666-B,249-1037-B,280-4727-B,293-5013-B
кончик	190-870-B,206-1608-B,215-1702-B,290-2823-B,298-608-B
кончина	73-3536-B,76-5426-B
кончить	97-4015-B,112-2321-B,280-4751-B
конъектура	60-4822-B
конъюгация	60-5107-B
конъюнктива	60-5340-B
конъюнктивит	60-5410-B
конъюнкция	60-5199-B
конь	48-2416-S,139-3708-B,279-1104-B
коньках	266-0-S
конькобежец	142-1386-B,265-5022-B
коньяк	37-175-B,54-2533-B
конюх	129-2515-B,140-318-B,198-4081-B,276-4317-B
конюший	100-1209-B
конюшни	180-4852-B
конюшня	276-4087-B,277-2239-B,283-1731-B
кооператив	64-3657-B
кооперативный	64-3690-B
кооперация	53-3750-B,64-3583-B
кооперироваться	64-3507-B
кооптировать	53-3826-B
координата	53-3858-B,64-3759-B
координатор	64-4008-B
координаты	64-3869-B
координация	64-3902-B
координировать	64-3791-B
копание	82-160-B
копатель	82-108-B
копать	70-4867-B,81-5549-B,253-4045-B,263-450-B,302-5242-B
копаться	130-379-B,171-1580-B,248-4126-B,248-4239-B
копер	211-3685-B
копирка	44-2706-B
копирование	64-4806-B
копировать	64-4640-B,143-4309-B,240-2810-B
копить	10-1460-B,12-5258-B,122-1201-B,137-4107-B,165-2904-B,251-5175-B,252-44-B
копия	64-4666-B,92-3336-B,175-5660-B,211-757-B,240-2716-B,240-2903-B,240-5808-B,301-2463-B,301-2485-B
копна	262-1787-B,276-4419-B
копна сена	134-712-B
копоть	269-1079-B,271-4035-B
копошиться	217-5351-B,288-3226-B
копт	64-4474-B
коптить	269-1098-B
копулировать	64-4508-B
копуляция	64-4578-B
копуша	72-3143-B,268-1857-B,268-1993-B
копченый	269-1226-B,269-1255-B
копчик	54-675-B
копыто	139-1411-B
копье	158-3475-B,163-3769-B,211-3041-B,260-737-B,273-1697-B
кора	26-3639-B,65-4475-B,69-2646-B,245-1716-B
кораблекрушение	45-3595-S,262-1170-B
кораблем	188-4446-S
кораблестроение	262-797-B
кораблестроитель	262-752-B
корабль	27-3887-S,34-1133-B,96-393-S,113-2341-S,175-3296-S,188-4144-B,262-549-B,262-569-S,272-3768-S,272-3899-S,317-714-B,321-635-S
корабль на воздушной подушке	140-2320-B
корабля	36-1483-S,266-2747-S,279-1876-S
