gun cotton	130-4632-B
he	134-1362-B
he cat	134-1370-B
he goat	134-1384-B
head	134-1403-B,134-1431-B,134-1447-B,134-1465-B,134-1485-B,134-1513-B,134-1539-B,134-1565-B,134-1589-B
head off	134-1619-B
headache	134-1647-B
headboard	134-1682-B
headdress	134-1755-B,134-1791-B
headed	25-2945-S,25-2968-S,89-4206-S,96-5767-S,132-5228-S,133-0-S,167-3697-S,168-4112-S
header	134-1818-B,134-1846-B
headfirst	134-1864-B
headgear	134-1902-B
heading	134-1937-B,134-1962-B,134-1989-B,134-2014-B
headlamp	134-2037-B
headland	134-2055-B
headless	134-2071-B
headlight	134-2101-B
headline	134-2120-B,134-2146-B
headlong	134-2174-B,134-2211-B
headman	134-2239-B
headmaster	134-2258-B,134-2286-B
headmistress	134-2322-B
headphone	134-2356-B,134-2381-B
headphones	134-2408-B
headquarters	134-2436-B,134-2460-B
headrest	134-2482-B
headset	134-2514-B
headsman	134-2539-B
headstall	134-2559-B
headstone	134-2588-B
headstrong	134-2636-B,134-2670-B
headwater	134-2696-B
headway	134-2723-B
headword	134-2748-B
heady	134-2787-B,134-2818-B,134-2845-B
heal	134-2870-B,134-2892-B,134-2914-B,134-2940-B,134-2966-B,134-2988-B
heal over	134-3006-B
heal up	134-3033-B
healing	134-3058-B,134-3087-B,134-3114-B,134-3141-B,134-3166-B,134-3191-B
health	134-3222-B
healthful	134-3246-B,134-3273-B
healthy	134-3300-B,134-3325-B,134-3348-B,134-3373-B
heap	134-3398-B,134-3414-B,134-3440-B,134-3456-B,134-3470-B,134-3486-B,134-3510-B,134-3536-B,134-3566-B,134-3594-B
hear	134-3614-B,134-3642-B,134-3670-B,134-3690-B,134-3710-B,134-3732-B
hearer	134-3754-B
hearing	133-107-S,134-3780-B,134-3813-B,134-3855-B,134-3894-B,134-3911-B,134-3936-B
hearsay	134-3970-B,134-3989-B
hearse	134-4006-B
heart	134-4030-B,134-4049-B,134-4076-B,134-4091-B,134-4114-B,134-4131-B,166-961-S,172-799-S
heartache	134-4146-B
heartbeat	134-4175-B,134-4198-B,134-4234-B
heartbreaking	134-4276-B,134-4321-B
heartbroken	134-4371-B
heartburn	134-4407-B
hearted	31-1237-S,107-1608-S,107-1643-S,126-2938-S,126-2980-S,131-3993-S,131-4017-S,131-4057-S,133-27-S,133-65-S,161-4198-S,161-4224-S,164-1507-S,168-4154-S,168-4191-S,168-4228-S,168-4261-S,196-4048-S,281-2151-S,281-2182-S,320-4261-S,320-4293-S
heartedly	168-4290-S
hearten	134-4430-B
heartfelt	134-4455-B,134-4484-B
hearth	134-4527-B,134-4543-B,134-4561-B
hearthrug	134-4577-B
heartily	134-4626-B,134-4646-B,134-4672-B
heartiness	134-4694-B,134-4730-B,134-4758-B
heartland	134-4792-B,134-4826-B
heartless	134-4860-B,134-4889-B
heartlessly	134-4924-B
heartrending	134-4959-B
hearty	134-5003-B,134-5027-B,134-5053-B,134-5075-B,134-5099-B,134-5125-B
heat	135-0-B,135-22-B,135-34-B,135-48-B,135-64-B,135-80-B,135-98-B,135-112-B,135-136-B,135-152-B,135-174-B,135-200-B,135-220-B,135-246-B,135-297-B,135-325-B,135-337-B,135-365-B,135-393-B,135-417-B,135-445-B,135-461-B,135-481-B
heat proof	135-530-B
heat up	135-499-B
heated	135-564-B,135-596-B,135-618-B,135-638-B
heatedly	135-672-B
heater	135-704-B,135-728-B,135-754-B,135-803-B,135-819-B
heath	135-843-B,135-862-B
heathen	135-883-B,135-910-B
heathenish	135-933-B
heather	135-963-B
heating	135-984-B
heatstroke	135-1011-B
heave	135-1048-B,135-1069-B,135-1096-B,135-1121-B,135-1144-B,135-1159-B,135-1184-B,135-1215-B,135-1240-B,135-1257-B,135-1276-B
heaven	135-1297-B,135-1317-B
heavenly	135-1333-B,135-1367-B,135-1393-B
heavens	135-1419-B
heavily	135-1440-B,135-1461-B
heaviness	135-1482-B,135-1507-B
heavy	135-1532-B,135-1553-B,135-1572-B,135-1593-B,135-1612-B,135-1633-B,135-1652-B,135-1673-B,135-1692-B,135-1717-B,135-1740-B,135-1777-B,135-1802-B,135-1821-B,135-1842-B,135-1863-B,135-1884-B,135-1903-B,135-1934-B,135-1955-B
heavy handed	135-1980-B,135-2012-B
heavyset	135-2050-B
heavyweight	135-2074-B
hebdomad	135-2105-B
hebdomadal	135-2127-B
hebraic	1-3679-B
hebrew	1-3718-B,1-3756-B,1-3803-B,1-3821-B,1-3847-B,1-3865-B,135-2163-B,135-2181-B
hectare	135-2207-B
hectic	135-2228-B,135-2260-B
hectometer	135-2292-B
hectometre	135-2322-B
hedge	135-2352-B,135-2386-B,135-2409-B
hedgehog	135-2428-B,135-2454-B
hedgerow	135-2468-B
hedonism	135-2505-B
heed	135-2531-B,135-2553-B
heedful	135-2592-B
heedless	135-2625-B,135-2663-B,135-2697-B
heel	135-2731-B,135-2749-B,135-2767-B,135-2787-B,135-2809-B,135-2827-B,135-2841-B
heft	135-2857-B,135-2869-B,135-2895-B
hefty	135-2915-B,135-2936-B,135-2953-B,135-2982-B,135-3003-B,135-3024-B
hegemony	135-3049-B,135-3077-B
heifer	135-3107-B
height	135-3125-B,135-3141-B,135-3175-B,135-3195-B,135-3211-B,135-3231-B,135-3247-B
heighten	135-3263-B,135-3289-B
heinous	135-3317-B,135-3340-B,135-3377-B
heinousness	135-3400-B
heir	135-3429-B
heiress	135-3453-B
heirloom	135-3482-B
heist	135-3527-B
helical	135-3554-B
helicopter	135-3583-B,135-3611-B
heliocentric	135-3643-B
heliogravure	135-3691-B
heliotrope	135-3729-B
helium	135-3759-B
helix	135-3777-B,135-3798-B
hell	135-3819-B,135-3829-B
hellcat	135-3857-B
hellene	1-3891-B
hellenic	1-3908-B
hellenism	135-3878-B
heller	135-3905-B
hellish	135-3925-B,135-3946-B
hellishly	135-3977-B
hello	135-3998-B,135-4015-B
helm	135-4036-B,135-4056-B,135-4070-B
helmet	135-4084-B,135-4102-B,135-4120-B
helmsman	135-4136-B,135-4160-B
help	135-4184-B,135-4204-B,135-4224-B,135-4246-B,135-4268-B,135-4286-B,135-4306-B,257-705-S
help oneself	135-4340-B
help out	135-4372-B
helper	135-4398-B,135-4424-B
helpful	135-4448-B
helpfulness	135-4473-B
helping	135-4506-B
helpless	135-4527-B,135-4559-B
helplessly	135-4591-B
helplessness	135-4623-B
helpmate	135-4663-B,135-4689-B
helter skelter	135-4713-B,135-4749-B,135-4791-B
helve	135-4823-B,135-4846-B,135-4863-B
hem	135-4884-B,136-0-B,136-15-B,136-38-B,136-59-B,136-82-B,136-105-B
hem about	136-120-B
hem in	136-147-B
hemicycle	136-171-B
hemisphere	136-198-B,136-228-B
hemispherical	136-258-B
hemline	136-303-B
hemoglobin	136-322-B
hemophilia	136-354-B
hemorrhage	136-384-B,136-420-B
hemorrhoid	136-454-B
hemorrhoids	136-482-B
hemp	136-511-B,136-531-B
hemstitch	136-549-B
hen	136-574-B
hence	136-591-B,136-606-B,136-625-B
henceforth	136-658-B,136-682-B
henceforward	136-706-B,136-732-B
henchman	136-758-B,136-790-B,136-820-B
henhouse	136-848-B
henna	136-874-B
hepatitis	136-887-B
her	136-912-B,136-921-B,136-930-B
herald	136-943-B,136-965-B,136-991-B,136-1013-B,136-1037-B,136-1063-B,136-1093-B
heraldic	136-1121-B
heraldry	136-1159-B
herb	136-1189-B
herbage	136-1205-B
herbarium	136-1224-B
herbary	136-1251-B
herbicide	136-1276-B
herbs	136-1303-B
herculean	136-1320-B
herd	136-1359-B,136-1377-B,136-1391-B,136-1407-B,136-1423-B,136-1439-B
herdsman	136-1455-B
herdswoman	136-1477-B
here	136-1505-B,136-1517-B,136-1533-B,136-1547-B
hereafter	136-1559-B,136-1584-B,136-1628-B,136-1663-B,136-1684-B
hereby	136-1728-B,136-1754-B,136-1799-B,136-1813-B
hereditary	136-1829-B,136-1869-B
heredity	136-1907-B
herein	136-1949-B
heresy	136-1967-B
heretic	136-1985-B
heretical	136-2006-B
hereupon	136-2039-B,136-2073-B
herewith	136-2104-B,136-2132-B
heritable	136-2155-B
heritage	136-2194-B,136-2220-B
heritor	136-2250-B
hermaphrodite	136-2277-B,136-2314-B
hermaphroditic	136-2345-B
