соты	139-17-B
старатель	225-1015-B
старательный	21-475-B,44-4223-B,82-1481-B,202-324-B,256-1566-B,283-2251-B,328-3430-B
стараться	256-2612-B,282-4532-B,304-3731-B
старейший	95-1201-B
старейшина	95-1051-B,220-1150-B
старение	10-162-B,10-2320-B,257-3288-B
стареть	9-5592-B,195-5055-B
старик	121-46-B
старикашка	122-2837-B
старина	15-5321-B
старинный	14-1637-B,15-4812-B,15-5142-B
старить	10-0-B
стариться	10-19-B
старомодный	15-4954-B,119-3073-B,195-4898-B,196-89-B,199-2590-B
старость	10-42-B,137-4053-B,257-3420-B
старт	278-2085-B
стартер	278-2316-B
стартовать	278-2102-B
старушка	127-4296-B,127-4373-B,127-4647-B,127-4714-B
старческий	10-118-B,257-3364-B
старший	95-1078-B,95-1227-S,196-19-B,196-40-S,257-3498-B
старший лейтенант	168-1970-B
старший рабочий	116-3059-B
старший самый старший	95-1227-B,196-40-B
старый	10-144-B,14-1664-B,95-1180-B,195-4846-B,196-0-B
старье	248-885-B,248-4201-B
старьевщик	231-1661-B,231-1715-B
стаскивать	226-5030-B
статист	106-833-B,286-2458-B,286-4920-B,320-1754-B
статистик	278-4309-B
статистика	278-4341-B
статистический	278-4229-B,278-4268-B
статический	278-3613-B
статичный	278-3643-B
статус	278-3039-B,278-4578-B
статут	278-4617-B
статуэтка	111-2851-B
статуя	143-3199-B,278-4427-B
стать	28-3328-B,123-2859-B,129-4430-B,281-120-B
стать жертвой	285-1751-S
стать на якорь	14-1304-S
статья	19-4467-B,52-92-B,63-3555-B,68-3683-S,68-3813-S,94-1537-S,99-3766-B,101-601-B,158-664-B,165-4506-S,203-850-B,215-2017-B,255-4718-B
стационарный	278-3669-B,278-4049-B
стачивать	129-1296-B
стачка	282-3186-B
стащить	111-3037-B,190-1788-B,269-4057-B,269-4773-B
стая	30-3961-B,114-1706-B,114-3056-B,121-2809-B,139-2667-B,201-3466-B,221-2991-B,253-2558-B,262-1730-B,288-3287-B,303-4698-B
ствол	26-4540-B,34-3062-B,260-841-B,260-2983-B,277-2004-B,279-1953-B,304-2213-B
створка	166-24-B,315-1697-B,325-1217-B
стебель	134-129-B,260-858-B,260-3000-B,277-2021-B,279-1969-B
стеганое одеяло	230-670-B
стежок	280-2746-B
стекла	81-1669-S
стекло	124-3417-B,174-2148-S
стекловидный	124-3845-B,141-3485-B,318-4901-B
стекловолокно	111-17-B
стеклодув	124-3486-B
стекломасса	180-2925-B
стеклоочиститель	325-2227-B
стеклянная посуда	124-3702-B
стеклянный	124-3436-B,124-3877-B,318-4935-B
стекольный завод	124-3746-B
стекольщик	124-3517-B,124-4181-B
стелить	165-2409-B,275-4274-B
стеллаж	230-3554-B
стелька	152-5806-B,270-3188-B
стена	263-4906-B,320-1882-B
стенание	129-2350-B,129-2409-B,183-1130-B,183-1186-B,213-1047-B
стенать	163-3300-B,320-139-B
стенд	277-3905-B
стенка	263-4922-B,320-1898-B
стенной шкаф	53-1459-B
стенографист	279-2135-B
стенография	262-4744-B,279-2173-B
степени	106-2567-S,127-2395-S,127-2453-S,152-6315-S,164-1736-S,185-914-S,232-4104-S,270-1177-S,271-3093-S,271-3308-S,271-3442-S,297-535-S
степенность	128-2738-B
степенный	128-2156-B,256-836-B,277-1038-B
степень	75-5031-B,88-4705-S,105-5551-B,127-1882-B,167-3495-B,178-3812-B,197-4931-B,212-2611-B,218-1716-B,232-721-B,277-124-B
степень в высшей степени	106-2567-B,185-914-B
степень в значительной степени	164-1736-B
степень до некоторой степени	232-4104-B,271-3093-B,271-3308-B,271-3442-B
степень до такой степени	152-6315-B,270-1177-B,297-535-B
степь	218-3655-B,279-2815-B
стерео	279-2879-B
стереоскопический	279-2899-B,279-2987-B,279-3035-B,296-1157-B
стереотип	213-3282-B,279-3085-B
стереотипный	279-3115-B,279-3181-B
стереофонический	279-2941-B
стеречь	321-3025-B
стержень	47-841-B,64-5553-B,161-1671-B,212-3666-B,246-2014-B,260-879-B,260-3021-B,277-2042-B,279-1989-B,283-1848-B
стерилизатор	279-3608-B
стерилизация	222-3128-B,279-3490-B
стерилизованный	279-3566-B
стерилизовать	279-3529-B
стерильность	150-2229-B,279-3410-B
стерильный	20-1279-B,26-4708-B,279-3352-B
стерня	283-1308-B
стеснение	62-468-B,242-4387-B
стесненный	67-2879-B,236-2016-B,281-4115-B,309-924-B
стеснительный	27-1417-B,67-1066-B,81-5035-B,256-5339-B,263-4084-B,317-1905-B
стеснять	96-641-B,212-516-B,281-4089-B
стетоскоп	279-3767-B
стечение народа	59-2734-B
стиле	2-3693-S,47-3735-S
стиле барокко	26-4207-S
стилизованный	284-54-B
стилизовать	284-23-B
стилист	284-0-B
стиль	81-2848-B,108-4113-B,176-788-B,283-4705-B,299-0-B
стиль в стиле	2-3693-B
стиль жизни	168-2750-B
стильный	283-4773-B
стимул	111-3891-B,126-403-B,126-421-B,144-6565-B,146-5669-B,147-669-B,149-2386-B,185-1785-B,222-4375-B,276-933-B,280-1025-B,280-1495-B
стимулирование	224-1074-B,280-1343-B
стимулировать	147-523-B,149-2274-B,153-1049-B,185-1665-B,229-4536-B,280-1166-B
стимулирующий	225-5920-B,280-1203-B
стимулятор	280-1048-B
стипендиат	110-675-B,117-3841-B,253-2074-B
стипендия	40-4280-B,104-729-B,127-5088-B,253-2168-B,280-2201-B
стиральная машина	321-1396-B
стирание	100-3173-B
стирать	3-4926-B,33-2987-B,43-1743-B,76-309-B,94-2342-B,100-3105-B,161-3252-B,193-4211-B,233-1928-B,248-509-B,248-532-B,321-1135-B,322-1535-B,325-1950-B,325-2026-B,328-3271-B
стирать губкой	275-1168-B
стирка	321-1155-B,321-1562-B
стискивать	52-2393-B,58-3237-B,276-3162-B
стих	215-1119-B,244-2734-B,317-0-B
стихи	215-1305-B
стихийный	95-3027-B,275-1826-B
стихия	95-2898-B
стихотворение	215-1133-B,215-1323-B,244-2749-B,317-15-B
сто	47-568-B,141-761-B
стог	244-3347-B,276-4495-B
стог сена	134-843-B,134-869-B
стоик	280-3765-B
стоимость	48-2345-B,65-5494-B,71-3713-B,77-2554-B,108-2700-B,221-2240-B,227-2443-B,315-1474-B,327-1000-B,327-1144-B
стоимость авиабилета	10-5471-B
стоимость проезда	108-2724-B
стоимость содержания	313-3312-B
стоить	65-5518-B,66-948-B,259-425-B
стоический	280-3782-B,280-3809-B
стой	132-0-B,281-325-B
стойка	26-2030-B,55-3204-B,66-1205-B,211-4305-B,217-3006-B,224-2852-B,230-3574-B,242-3054-B,277-1623-B,277-3402-B,277-3922-B,280-873-B,283-1870-B,313-3918-B
стойка ворот	126-602-B
стойка делать стойку	215-2036-B,277-3941-B
стойка на руках	132-2236-B
стойкий	61-4236-B,92-3770-B,97-5934-B,108-4345-B,133-1397-B,164-3256-B,209-259-B,224-2608-B,241-5756-B,276-4209-B,277-3328-B,278-5323-B,279-358-B,283-4276-B,300-991-B
стойкой	26-3814-S
стойкость	92-3658-B,97-5513-B,108-4991-B,113-1361-B,113-1457-B,117-2070-B
стойку	215-2036-S,277-3941-S
стойло	36-2105-B,139-3810-B,276-4231-B,277-2298-B,277-3987-B
стоймя	97-5977-B
сток	83-5423-B,90-2314-B,199-1974-B
стол	34-728-B,69-4102-B,79-2592-S,79-2661-S,79-2690-B,81-3505-B,85-420-S,213-3419-B,290-796-B,326-3709-S
столб	55-3224-B,163-3732-S,211-1720-B,211-3547-B,211-4325-B,211-4411-S,215-3508-B,217-3024-B,277-1642-B,277-3425-B
столбец	55-3242-B
столбик	55-3264-B,211-3563-B
столбняк	45-4621-B,171-0-B,294-2297-B
столетие	47-665-B,47-1534-B
столетний	47-617-B,47-692-B,47-721-B
столешница	290-1049-B
столица	44-649-B,180-4477-B
столичный	180-4503-B
столкновение	39-1361-B,40-752-B,51-4530-B,55-1510-B,60-1577-B,60-2289-B,67-3605-B,97-2687-B,144-1869-B,145-118-B,268-4704-B
столовая	43-4123-B,236-3167-B
столовая ложка	290-964-B
столовый прибор	113-4489-B
столп	55-3286-B,211-4343-B
столпотворение	202-3694-B,323-1659-B
столько	270-1296-B
столяр	45-202-B,159-2632-B
столярная работа	159-2652-S
столярный столярная работа	159-2652-B
стон	129-2373-B,129-2435-B,183-1152-B,183-1211-B
стонать	129-2388-B,183-1166-B
стопка	211-3583-B
стопор	170-4633-B,281-683-B
стопорить	281-136-B
сторож	44-4867-B,70-4125-B,161-1029-B,320-3337-B,321-3046-B,321-3221-B
сторожевой пес	321-3184-B
сторожить	321-3065-B
сторожка у ворот	122-1078-B,171-627-B
сторона	14-2819-B,20-2600-B,25-73-S,90-3764-S,113-3133-B,131-3973-B,194-3203-S,203-5313-B,204-2643-B,210-617-B,229-1609-B,243-4650-S,264-0-B,317-199-S
сторона в стороне	16-727-B,20-1625-B
сторона в сторону	16-767-B,20-1665-B,264-168-B,264-340-B,264-404-B,264-468-B
сторона на ту сторону	6-3399-B
сторона по ту сторону	6-3447-B,30-5020-B,193-1372-B,200-62-B
стороне	16-727-S,20-1625-S
сторониться	24-882-B,100-5442-B
сторонник	7-3002-B,9-741-B,83-5583-B,115-3144-B,118-4817-B,136-820-B,204-1644-B,224-4894-B,287-1875-B
сторонник абсолютизма	4-1568-B
сторонник автономии	23-5030-B
сторонник левой партии	166-3669-B
сторонники	287-1904-B
сторону	6-3399-S,6-3447-S,16-767-S,20-1665-S,30-5020-S,193-1372-S,200-62-S,264-168-S,264-340-S,264-404-S,264-468-S,306-3248-S
стояк	283-1888-B
стоянка	203-3394-S,203-3528-B,277-4006-B,278-3937-B,278-5179-B
стоять	265-3764-B,277-4027-B
стоять в очереди	229-3952-B,229-3989-B
стоять на коленях	162-1583-B
стоячий	100-3495-B,277-897-B,278-415-B,313-4851-B
стоящий	327-1025-B
страда	133-3462-B
страдалец	285-3130-B
страдание	10-3125-B,10-4740-B,14-3200-B,87-4522-B,103-3387-B,134-4146-B,143-1796-B,202-79-B,285-3177-B
страдательный залог	205-291-B
страдать	285-2956-B
страдающий	285-3206-B
страдающий дальтонизмом	55-2727-S
страж	70-4148-B,130-2055-B,321-3090-B
стража	130-1831-B,321-3107-B
стражу	56-4820-S
страна	52-3999-B,66-2993-B,107-2513-S,163-4122-B,188-1741-B,237-2769-B
страна света	229-1632-B
страна чудес	326-1423-B
странгуляция	281-4922-B
страница	201-4732-B
странник	211-3887-B,247-4701-B,320-2440-B,322-413-B
странно	195-165-B,281-4533-B
странность	70-1788-B,162-291-B,195-109-B,206-3012-B,229-2911-B,281-4558-B,322-4276-B
странный	32-665-B,70-1875-B,93-4146-B,106-1634-B,118-2196-B,120-1274-B,195-0-B,199-1608-B,206-2927-B,229-2840-B,239-512-B,248-3794-B,254-3183-B,265-1942-B,281-4447-B,306-4475-B,313-526-B,322-4253-B,326-1552-B
странствие	159-4129-B,207-4564-B,211-3980-B,300-1368-B
странствовать	207-4525-B,232-229-B,246-541-B,247-4625-B,301-1242-B,302-2303-B,320-2342-B
странствующий	158-886-B,314-4943-B,320-2524-B
