случай во всяком случае	16-185-B,16-473-B
смертный	72-4388-B,185-0-B
смертный смертное ложе	73-645-B
смертоносный	72-4412-B,138-4238-B,161-3435-B,167-2515-B,186-5078-B
смерть	73-626-B,73-3588-B,76-5448-B,93-344-B,128-2137-B,204-1531-B,204-5122-B,298-4322-B
смерч	323-4970-B
смеситель	32-4425-B
смесь	12-4960-B,58-2586-B,155-1691-B,179-797-B,179-2011-B,182-2029-B,183-913-B
смета	101-2170-B
сметливость	242-1057-B
смету	101-2190-S
сметь	72-1108-B
смех	164-4575-B,165-0-B,165-18-B
смехотворность	4-3917-B
смехотворный	56-1396-B,56-1571-B,78-4252-B,108-2593-B,120-1222-B,164-4725-B,173-411-B,244-4357-B,245-4120-B
смешанный	21-2238-B,32-4478-B,56-3599-B,146-1049-B,181-4408-B,182-1970-B,183-864-B,224-295-B
смешение	12-5199-B,30-4485-B,32-4279-B,32-4452-B,56-3629-B,155-1715-B,183-889-B
смешиваемость	182-2400-B
смешивание	32-4302-B,155-1745-B,183-932-B
смешивать	32-4329-B,55-4099-B,56-3570-B,60-2045-B,60-2552-B,155-1223-B,155-1663-B,160-1635-B,160-1685-B,181-4382-B,183-623-B,183-755-B
смешной	4-3762-B,13-4948-B,56-1427-B,56-1604-B,91-2899-B,120-1253-B,141-285-B,164-4760-B,173-446-B,180-1945-B,244-4393-B,245-4153-B
смещать	78-994-B,85-3430-B,86-1138-B,239-2510-B,286-5252-B
смещение	78-1475-B,85-3347-B,86-1380-B,195-3774-B,239-2279-B,267-3627-B
смеяться	164-4590-B
смирение	141-60-B,172-3917-B,241-5073-B
смиренный	140-4418-B,179-934-B
смирно	22-3526-B
смирный	123-529-B,179-958-B
смирять	291-1724-B
смог	269-993-B
смокинг	82-3336-B,305-4271-B,305-4290-B
смола	130-4512-B,212-2573-B,241-5322-B,291-3612-B
смолистый	241-5339-B
смолить	291-3627-B
сморкаться	33-3363-B
смородина	70-2250-B
сморщенный	69-2122-B,263-2665-B,263-2696-B,263-2871-B,326-193-B,327-3478-B
сморщиваться	263-2340-B,263-2632-B
смотр	153-533-B,243-5579-B
смотреть	29-1762-B,122-2564-S,171-3151-B,171-3396-B,181-3747-B,256-1963-B,278-1077-S,286-5556-B,317-3882-B,321-3002-B
смотритель	44-4836-B,70-4094-B,161-1001-B,320-3309-B
смочь	43-1390-B
смрад	279-2071-B,280-1911-B
смуглый	39-970-B
смутный	4-3532-B,13-875-B,82-2097-B,90-5107-B,115-2245-B,134-1320-B,148-2449-B,149-462-B,183-21-B,189-103-B,193-5255-B,235-3439-B,260-530-B,307-4657-B,309-2658-B,314-5125-B
смутьян	112-2957-B,304-498-B
смущать	2-4433-B,29-4478-B,30-4227-B,60-2579-B,84-774-B,87-4094-B,96-616-B,186-2088-B,208-4824-B,209-2574-B,296-3945-B
смущение	2-4586-B,30-4515-B,60-2936-B,85-5162-B,88-319-B,96-920-B,208-5123-B,209-2699-B,228-3667-B
смущенный	2-4520-B,30-4317-B,60-2657-B,84-800-B,96-703-B,291-107-B
смывать	115-1030-B,321-1115-B,321-1193-B,325-2100-B
смываться	55-5357-B
смыкать	169-2974-B
смысл	77-2706-B,145-1232-B,145-2006-B,178-3024-B,215-1985-B,257-3804-B,264-1964-B,264-2305-B,274-2058-B
смышленость	154-1655-B
смышленый	38-1610-B,52-2885-B,88-4310-B,154-1771-B,229-4351-B,268-4308-B
смягчать	11-4359-B,11-5093-B,16-4773-B,22-3816-B,42-4876-B,70-3936-B,71-4416-B,105-5602-B,179-2278-B,179-3056-B,181-3376-B,183-348-B,183-2852-B,184-0-B,202-2158-B,269-1867-B,270-3933-B,271-4131-B,284-710-B,293-563-B,299-44-B,321-3645-B
смягчаться	179-3078-B,270-3957-B
смягчающий	105-5658-B,183-460-B,271-4207-B
смягчение	2-4867-B,11-5153-B,16-4862-B,21-2411-B,183-430-B,183-5250-B,238-2446-B,238-4464-B,270-4015-B
смятение	10-2736-B,57-85-B,60-2963-B,88-343-B,141-1541-B,202-3665-B,209-2729-B,281-1547-B,305-387-B,305-1955-B
снабжать	7-5230-B,76-3614-B,100-1731-B,112-5067-B,113-128-B,113-234-B,120-1910-B,225-4360-B,227-5262-B,258-3178-B,280-3193-B,287-1188-B
снабжать продовольствием	232-4522-B
снабжение	76-3940-B,100-1957-B,120-2064-B,225-5298-B,225-5549-B,228-0-B,287-1212-B,287-1265-B
снайпер	261-197-B,269-4687-B
снаружи	198-4860-B,199-389-B,199-3894-B,199-4738-B,199-4784-B
снаряд	92-999-S,223-4942-B,261-2591-B,299-720-B
снаряжать	5-4862-B,100-1754-B,113-153-B,113-258-B,199-721-B
снаряжение	5-4890-B,100-1779-B,100-1986-B,100-2110-B,162-790-B,186-4843-S,199-747-B,244-4750-B,290-2080-B
снаряжения	199-803-S
снасти	64-5203-B,244-4842-B,290-2108-B
сначала	112-3817-B,151-3626-B,221-3481-B
снашивать	3-4900-B
сне	90-4665-S
снег	270-438-B
снеговик	270-688-B
снегом	267-1540-S
снегопад	270-452-B,270-635-B
снегоступы	270-713-B
снежинка	270-661-B
снежный	270-859-B
снежный ком	270-552-B
снежок	270-583-B
снижать	2-4688-B,38-2650-B,71-173-B,74-2859-B,75-4844-B,93-2733-B,172-3726-B,236-1898-B,265-2656-B,290-4481-B
снижать давление	74-1912-B
снижаться	74-1081-B,78-5132-B,91-3296-B,125-4255-B,265-2676-B,320-2605-B
снижение	2-4896-B,71-574-B,73-1083-B,74-1108-B,74-2883-B,74-3483-B,78-5570-B,82-2715-B,91-3320-B,105-5691-B,167-1505-B,172-3891-B,235-323-B,236-2223-B
снижение ценности	73-1111-B
снизить	172-3747-B
снимать	89-45-B,137-2807-B,168-3126-B,210-3111-B,226-5006-B,235-4370-B,239-2532-B,239-5304-B,282-4320-B,290-3974-B,290-4506-B,290-4760-B,312-1692-B
снимать кожуру	206-4059-B,266-2158-B
снимать обертку	313-2333-B
снимать пену	266-1842-B
снимать показания	233-3625-B
снимать сливки	67-4446-B
снимать фильм	111-4163-B,262-2726-B
снимок	210-2699-B,210-3137-B,269-3145-S
снискать	6-2451-B,121-542-B,123-2811-B,194-2720-B,222-4182-B
снисходительность	52-2276-B,59-3907-B,181-1593-B
снисходительный	59-3862-B,149-2804-B,167-903-B
снисхождение	149-2729-B
сниться	90-4772-B
сноб	269-4817-B
снобизм	270-0-B
снобистский	270-24-B
снова	9-4876-B,9-5369-B,9-5386-S,14-2517-B,190-220-B
снова и снова	9-5386-B
сновидение	90-4793-B
сногсшибательный	233-400-B,283-3476-B
сноп	261-809-B
сноровка	67-2230-B,81-291-B,162-1164-B,266-1469-B,326-4366-B
снос	3-1944-B,77-90-B,166-3579-B
сносить	76-6033-B,226-4871-B,233-1908-B,285-2934-B,287-1670-B,290-4531-B
сноска	116-394-B,236-3617-B
сносно	107-2238-B,204-4253-B,234-2722-B
сносный	28-904-B,97-5280-B,170-1317-B,204-4199-B,234-2442-B,285-3002-B,298-3740-B
сносу домов	327-2720-S
снотворное	271-4822-B
снотворный	271-3534-B,271-3599-B,271-4853-B
сноха	72-2866-B
сношение	154-4784-B,238-1771-B,259-4437-S
снятие	325-3853-B
со взломом	40-3031-S,40-3112-S,40-3152-S
со своры	308-94-S
со снегом	267-1540-S
собака	89-76-B,140-908-S,140-946-B,141-1167-S,243-2006-S
собачий	89-189-B
собачий питомник	161-1386-B
собачка	89-167-B,89-212-B,232-3544-B,303-2202-B
собачья конура	89-233-B,161-1425-B
собеседник	57-1974-B,155-640-B
собиратель	55-1149-B
собиратель древностей	15-4758-B,15-4870-B
собирать	10-1504-B,12-5306-B,20-4537-B,39-3788-B,55-608-B,57-4856-B,60-3598-B,60-3857-B,63-5370-B,64-1995-B,69-4193-B,100-3422-B,113-284-B,122-1309-B,123-3773-B,153-1479-B,187-1265-B,210-5133-B,214-3578-B,228-2596-B,231-2881-B,231-3372-B,286-1044-B
собирать урожай	133-3424-B
собираться	20-4563-B,63-5395-B,123-3803-B,179-1254-B,179-1372-B,231-3395-B
соблазн	25-1886-B,99-1962-B,173-2013-B,256-1400-B,293-1796-B
соблазнитель	256-1336-B,293-1851-B
соблазнительный	12-1914-B,99-1988-B,156-5485-B,256-1497-B,293-1914-B
соблазнять	12-1778-B,99-1872-B,156-2908-B,256-1282-B,293-1714-B
соблюдать	139-263-B,139-727-B,161-502-B,194-950-B,242-1302-B
соблюдение	7-2903-B,194-455-B,194-695-B
собой	58-1903-S,220-2105-S,271-1656-S
соболезнование	56-3782-B,59-4202-B,289-4142-B
соболь	249-3402-B
собор	46-1507-S,46-1553-B,182-57-S
собора	73-221-S
собрание	20-4437-B,20-4865-B,55-801-B,60-3947-B,63-5837-B,64-1943-B,122-1435-B,179-1515-B,231-3422-B,243-2934-B
собранный	55-633-B
собрат	39-550-B
собственник	138-1232-B,201-1831-B,217-2465-B,224-5781-B
собственно говоря	282-2614-B
собственного достоинства	257-551-S
собственности	201-1993-S,298-2214-S
собственность	201-2041-B,217-2368-B,224-4164-B,224-5873-B,293-4451-B
собственный	201-1729-B,206-2895-B,224-3812-B
событие	102-269-B,132-3916-B,194-3743-B
событиями	309-2255-S
сова	201-1636-B
совать	215-3195-B,216-3139-B,263-346-B,279-4578-B,296-5036-B
совершать	5-2904-B,56-4707-B,88-3975-B,174-5144-B,208-743-B,208-4334-B,301-2078-B,326-3285-B
совершать кражу со взломом	40-3031-B,40-3152-B
совершаться	132-3800-B,194-5051-B,204-3622-B
совершение	5-3296-B,119-4383-B
совершенно	4-1311-B,11-3770-B,12-4520-B,58-50-B,58-375-B,62-2320-B,90-742-B,99-2276-B,119-4804-B,199-3528-B,207-5554-B,214-4196-B,227-2866-B,230-1477-B,245-28-B,278-1326-B,295-4061-B,296-3501-B,299-4478-B,314-3413-B,323-22-B
совершенно необычно	106-1424-B
совершеннолетие	174-4460-B
совершеннолетний	8-2945-B
совершенный	4-1115-B,5-3074-B,58-80-B,62-2254-B,99-2064-B,142-2141-B,198-4942-B,199-3558-B,207-5111-B,295-3698-B,314-3171-B
совершенство	62-2428-B,102-5232-B,207-5360-B,215-4175-B
совершенствование	80-4276-B,98-2468-B,207-5396-B
совершенствовать	80-3959-B,145-5975-B,207-5142-B,236-3902-B
совестливый	61-669-B,254-4419-B
совесть	61-600-B
совет	8-5732-B,66-422-B,66-581-B,130-2712-B
советник	9-419-B,9-500-B,10-4508-B,62-1583-B,66-468-B,66-600-B,66-709-B,66-770-B
советовать	9-128-B,235-2714-B,285-4043-B
советоваться	62-1516-B
советчик	9-444-B
совещание	8-5750-B,59-5654-B,62-1673-B,66-441-B,66-625-B,66-652-B,258-4375-B
совещательный	9-565-B,62-1749-B,76-1144-B
совещаться	9-156-B,59-5562-B,76-878-B
совместимость	57-3335-B,61-4025-B
совместимый	57-3376-B,61-4202-B,235-3150-B
совместная работа	54-4345-B
совместно	60-4994-B,159-3093-B,187-2629-B
совместный	55-917-B,56-5478-B,59-640-B,60-4964-B,65-1011-B,159-2921-B,187-2522-B,310-3271-B
совмещать	55-4126-B
совмещение	286-4982-B
совокупление	54-3887-B,54-3940-B,66-3592-B
совокупляться	64-4542-B
совокупность	10-1531-B,58-727-B
совокупный	10-1566-B,70-170-B,299-4105-B
совпадать	54-3697-B,59-3135-B,90-112-B,112-5088-B,177-4326-B,291-1354-B
совпадающий	54-3798-B
совпадение	54-3765-B,59-3191-B,60-4124-B,60-4377-B,61-3772-B
совращать	73-1691-B,256-1310-B,293-1741-B
совращение	256-1425-B
современник	54-2108-B,62-4024-B
современный	6-4933-B,54-2138-B,62-4060-B,70-2359-B,72-2392-B,183-3167-B,220-2250-B,220-2368-B,297-3990-B,313-2704-B
совсем	4-1343-B,11-3795-B,12-4552-B,160-3702-B,199-3590-B,214-4223-B,230-1504-B,245-55-B,299-4507-B,314-3442-B
согласие	5-3462-B,5-3570-B,7-3084-B,10-3624-B,13-2738-B,17-4067-B,17-4487-B,20-4996-B,58-985-B,59-2383-B,59-2470-B,59-3224-B,61-1417-B,61-1543-B,61-4868-B,110-4889-B,127-5011-B,127-5034-S,133-2346-B,193-1458-B,195-4559-B,232-1756-B,308-4277-B,310-2554-B,310-2831-B,310-3505-B,328-1215-B
согласие давать согласие	127-5034-B
согласно	5-3663-B,41-3273-B,196-1037-B,207-3200-B,227-4794-B
согласный	5-3634-B,10-3457-B,59-2536-B,61-4924-B,233-5164-B,324-4218-B
согласный звук	61-4953-B
согласование	10-3651-B,59-2408-B,60-4156-B,60-4408-B,64-3938-B,177-4617-B,235-3303-B
согласованность	59-3253-B,60-1939-B,60-4192-B,61-1444-B,61-4064-B,133-2371-B
согласовывать	5-1755-B,10-3294-B,64-3831-B,133-2269-B,259-1971-B
согласовываться	10-3327-B,60-1747-B,65-2889-B,276-2159-B
согласующийся	59-2566-B
соглашаться	4-5207-B,5-184-B,10-3364-B,20-5020-B,58-1555-B,59-3161-B,61-1568-B,138-4699-B,159-1168-B
соглашение	5-2081-B,5-3486-B,10-3686-B,19-2039-B,26-3368-B,57-1760-B,59-2441-B,63-5865-B,66-5325-B,72-4869-B,201-4209-B,259-2712-B,264-1674-S,280-2257-B,302-4242-B,308-4308-B
согнутый	30-1380-B
согревать	135-393-B,320-4144-B
согреваться	135-417-B,320-4168-B
согрешить	265-202-B
сода	188-2619-B,270-3394-B
содействие	3-959-B,10-430-B,10-4378-B,21-1343-B,63-3521-B,120-2895-B,153-4654-B,224-1043-B
содействовать	3-893-B,21-1249-B,63-3295-B,104-3605-B,106-4724-B,109-1600-B,109-1988-B,120-2732-B,224-845-B,236-1563-B,287-1693-B
содержание	11-3282-B,11-3457-B,62-4776-B,62-5474-B,138-1420-B,161-526-B,174-3942-B,178-612-B,207-3643-S,284-4589-B,313-3284-B
содержание под арестом	80-1072-B
содержания	313-3312-S
содержатель	138-1262-B,201-1860-B,217-2498-B,224-5815-B
содержательный	295-4721-B
содержать	58-3604-B,62-2978-B,96-1757-B,96-2059-B,147-1868-B,161-552-B,174-3580-B,249-397-B,287-1728-B
содержать в исправности	174-3608-B
содержащий известь	42-1822-B
содержимое	62-4805-B,62-5504-B
содомия	30-2716-B,39-3449-B,270-3510-B
содрогание	262-1556-B,263-3035-B
содрогаться	263-3064-B
содружество	56-5812-B,57-1422-B,110-849-B
соевый боб	272-3316-B,272-3353-B
соединение	21-1953-B,34-4053-B,53-4355-B,55-3869-B,57-928-B,58-2606-B,60-5255-B,60-6136-B,60-6287-B,66-3626-B,120-3658-B,154-4643-B,159-2795-B,159-2948-B,160-2489-B,160-2557-B,169-2994-B,169-3156-B,177-425-B,179-1540-B,274-4310-B,297-2006-B,310-2577-B,310-2999-B,310-3382-B
соединения	159-2824-S
соединенный	21-1772-B,310-3299-B
соединять	12-2172-B,12-5067-B,21-1652-B,55-4153-B,58-2636-B,60-4892-B,60-5937-B,66-3408-B,120-3496-B,147-5560-B,155-530-B,159-2558-B,159-2975-B,169-3020-B,180-1359-B,228-2565-B,228-2626-B,274-4338-B,310-3147-B,328-1957-B
сожаление	58-3900-B,237-3844-B,239-1779-B,240-1884-B,248-1913-B,272-76-B
сожаление к сожалению	309-4660-B
сожалению	309-4660-S
сожаления	212-2765-S
сожалеть	30-4051-B,78-230-B,212-3545-B,237-3870-B,240-1802-B,248-1936-B
сожжение	55-4540-B
созвездие	61-5852-B
созвучие	5-3514-B,61-4896-B,133-2410-B
созвучный	133-2089-B
создавать	39-3605-B,62-679-B,67-4828-B,100-3445-B,101-1057-B,117-3633-B,156-3076-B,174-5168-B,182-135-B,183-4565-B,185-2882-B,198-2132-B,222-5245-B,260-3197-B
создавать новые слова	54-3581-B
создание	54-3649-B,68-118-B,68-408-B,80-4323-B,117-438-B,175-843-B,295-2331-B
создатель	23-2352-B,68-285-B,175-475-B,198-2346-B
созерцание	62-3781-B,179-575-B
созерцательный	62-3851-B
созерцать	29-1786-B,62-3612-B
созидательный	68-200-B,198-2186-B
сознавать	6-1402-B,234-703-B,235-2320-B,256-1984-B
сознаваться	24-1086-B,59-5904-B
сознание	61-895-B,110-58-B,204-3940-S,235-2167-B,257-3821-B
сознание без сознания	257-3984-B
сознания	107-1515-S,257-3984-S
сознательно	61-860-B,76-970-B,162-3629-B
сознательность	61-926-B
сознательный	61-706-B,61-796-B,242-2647-B,319-2450-B
созначение	61-33-B
сознающий	24-1901-B,61-831-B,257-4560-B
созревание	178-727-B
созревать	178-905-B,179-2302-B,245-3320-B
созыв	42-4184-B,63-5897-B,64-1972-B
созывать	20-4593-B,63-5424-B,64-2020-B,286-1068-B
соизволение	214-1111-B
соизмеримый	56-2827-B,57-2421-B
соискатель	20-3199-B
сойка	158-3526-B
сок	50-3853-S,160-1314-B,164-4021-S,251-1985-B
сокамерник	46-5391-B
сокол	107-3219-B,134-538-B
сокращать	2-5125-B,3-5216-B,24-2674-B,24-2747-B,52-4445-B,70-3104-B,71-192-B,71-373-B,82-2475-B,88-4423-B,171-5132-B,203-2729-B,203-2815-B,226-859-B,236-1920-B,243-1525-B,262-4533-B,263-2372-B,266-4847-B,304-1929-B
сокращаться	93-164-B,263-2398-B
сокращение	2-5223-B,3-5354-B,3-5387-B,63-1790-B,70-3189-B,70-3221-B,71-215-B,71-599-B,71-1296-B,82-2743-B,116-3510-B,226-907-B,236-2250-B,243-1609-B,262-4503-B,262-4651-B,263-2476-B,263-2553-B
сокращенный	3-5322-B,262-4618-B,304-2017-B
сокровенность	255-3788-B
сокровенный	69-3220-B,151-5796-B,194-4224-B
сокровище	137-4126-B,159-788-B,302-3514-B
сокровищница	281-1287-B,302-3694-B
сокрушаться	163-3270-B
сокрушительный	69-2551-B,267-66-B,267-926-B
сокрытие	58-4834-B,84-6501-B,287-2436-B
солдат	271-40-B
соленая вода	38-2266-B
соленый	38-3271-B,250-3551-B,250-3904-B,250-4095-B,250-4167-B
солидарность	271-1269-B
солидность	271-1573-B
солидный	177-2899-B,271-1139-B
солист	271-2052-B
солить	211-209-B,250-3924-B
солнечная ванна	286-1373-B
солнечные часы	286-1694-B
солнечный	262-504-B,270-4721-B,286-2038-B
солнечный ожог	286-1518-B
солнечный свет	286-1324-B,286-1955-B,286-2213-B
солнечный удар	152-5767-B,286-2287-B
солнца	203-1988-S,286-1730-S,286-2063-S,286-2120-S,286-2173-S,286-2343-S
солнце	270-4640-B,286-1356-B,286-2250-S
солнцезащитный щиток	318-4308-B,319-332-B
солнцестояние	271-2073-B
соло	271-2038-B
соловей	190-2409-B
солод	175-2911-B
соломинка	282-348-B
солонка	250-4041-B
соль	192-3444-B,215-2002-B,250-2571-B,250-3869-S,250-3942-B
солярий	270-4746-B,286-2097-B
сом	46-1338-B
сомали	2-2647-B
соматический	271-2749-B
сомкнутый	258-2890-B
сомневаться	83-4009-B,87-5360-B,89-4397-B,182-5588-B,229-3526-B
сомневающийся	89-4721-B
сомнение	83-3982-B,89-4426-B,92-369-B,144-2929-B,229-3558-B,254-4284-B
сомнительность	89-4679-B
сомнительный	89-4599-B,92-454-B,100-2751-B,112-4393-B,148-4009-B,166-3611-B,218-4690-B,229-2809-B,229-3656-B,260-634-B,260-1737-B,288-1727-B,307-3811-B
сон	90-4820-B,267-1139-B,268-2644-B
сонар	271-3711-B
соната	271-3728-B
сонет	271-3855-B
сонливость	91-3950-B,91-4004-B,267-1252-B,271-3567-B
сонливый	90-1245-B,91-4054-B,267-1476-B,271-3630-B
сонная артерия	44-5406-B
сонный	90-1267-B,91-4078-B,167-2664-B,267-1500-B,268-2678-B,271-3657-B
соня	267-1520-B
соображать	252-1051-B
соображение	61-3468-B,234-2156-B,295-4525-B
сообразительность	6-5624-B,7-226-B,250-1798-B
сообразительный	38-1636-B,71-799-B,250-1667-B,260-4484-B,263-1837-B,268-4333-B
сообща	159-3120-B,298-3461-B
сообщать	6-2034-B,8-5291-B,9-184-B,15-0-B,57-614-B,64-1149-B,144-2282-B,150-5398-B,240-3435-B,292-5325-B
сообщение	15-204-B,57-705-B,57-963-B,150-5731-B,158-640-B,180-2550-B,190-362-B,192-860-B,192-1241-B,238-1801-B,240-3459-B,258-3643-B,300-4278-B
сообщество	57-1455-B,57-2282-B,110-883-B
сообщить	8-5318-B,9-208-B,15-26-B,57-643-B,150-5422-B,240-3485-B
сообщник	3-1049-B,5-2558-B
сооружать	39-3630-B,62-708-B,98-1753-B,100-3470-B,165-2361-B,234-1341-B
сооружение	39-3961-B,62-948-B,94-1196-B,100-3701-B,106-3809-B,153-1649-B,283-700-B
соответственно	5-3852-B,56-2988-B,242-1910-B
соответственный	56-2864-B,65-3174-B,65-3219-B,138-4773-B,238-1971-B
соответствие	5-3538-B,5-3598-B,7-2504-B,17-4244-B,17-5535-B,59-2499-B,60-1825-B,60-1981-B,60-4234-B,60-4443-B,65-3053-B,65-3093-B,104-3375-B,104-3455-B,113-381-B,203-997-B,203-3283-B,285-4708-B
соответствие в соответствии с	5-3693-B
соответствии с	5-3693-S
соответствовать	10-3393-B,15-1902-B,54-3725-B,60-1786-B,65-2931-B,90-140-B,112-5111-B,159-1196-B,177-4351-B,179-1280-B,285-4474-B,291-1379-B
соответствующий	7-2636-B,17-1936-B,17-4201-B,17-5331-B,56-2908-B,60-4336-B,60-4509-B,65-3264-B,92-1254-B,112-5146-B,138-4815-B,224-3842-B,238-3788-B,242-1868-B,285-4825-B
соотносительный	65-2778-B
соотношение	65-2675-B,238-1556-B,238-1833-B
сопереживание	96-4192-B
соперник	8-4823-B,15-2323-B,57-4661-B,62-4591-B,62-5881-B,245-4815-B
соперничать	62-4359-B,62-5670-B,245-4838-B,317-3468-B
соперничество	245-4898-B
сопеть	269-4510-B
соплеменник	303-640-B
сопли	270-331-B
сопливый	270-347-B
сопло	159-570-B,192-3343-B,198-1307-B
сопоставимый	57-2455-B
сопоставление	55-233-B,60-2248-B,63-3103-B,160-4498-B
сопоставлять	54-5056-B,57-2700-B,60-2137-B,63-3139-B,177-4388-B
сопрано	271-4884-B,302-4292-B
соприкосновение	62-2667-B,300-172-B
сопровождать	5-2336-B,22-2902-B,64-2236-B,100-5596-B,115-3047-B,126-288-B
сопровождающий	5-2408-B,22-3251-B,59-2303-B
сопровождение	5-2186-B,64-2268-B,100-5628-B
сопротивление	197-1828-B,241-5367-S,241-5649-B,277-3830-B
сопротивляемость	241-5687-B
сопротивляться	197-1309-B,241-5543-B,325-4501-B
сопряжение	66-3656-B,169-3185-B,169-3342-B
сопутствовать	5-2371-B,22-2934-B,64-2302-B,100-5662-B
сопутствующий	5-2450-B,22-3290-B,59-2344-B
сор	83-689-B,121-3687-B,248-870-B
соразмерность	7-2538-B,56-2783-B,224-5009-B,289-3854-B
соразмерный	56-2952-B,224-5162-B,323-1183-B
соратник	58-4348-B
сорванец	173-4881-B,246-4084-B
сорвиголова	174-0-B,246-4106-B
соревнование	57-4451-B,62-5045-B,62-5701-B,177-4419-B
соревнования	135-246-S
соревноваться	57-4072-B,62-4390-B,97-38-B
сорная трава	322-2986-B
сорняк	322-3015-B
сородич	303-673-B
сорок	117-2673-B
сорока	174-2576-B
сороковой	117-1850-B
сорокопут	263-2168-B
сорочка	261-3761-B,262-1363-B
сорт	37-13-B,51-4823-B,79-83-B,106-574-S,127-1838-B,161-4142-B,174-5192-B,176-752-B,188-3443-B,197-4887-B,229-542-B,272-475-B,277-2989-B,281-3745-B,283-4690-B,315-4326-B
сортир	34-2013-B
сортировать	21-2208-B,127-1853-B,256-4281-B,258-568-B,272-489-B
сортировка	272-697-B
сосать	285-1903-B
соседи	189-3447-B
соседний	7-3446-B,7-3720-B,189-3532-B,189-3725-B,190-830-B
соседство	189-3473-B,189-3601-B,189-3664-B,317-2780-B,317-2862-B
сосиска	26-656-B,118-1118-B,251-4578-B,322-3272-B
соска	56-1068-B,92-2682-B,190-3464-B,201-2961-B,292-3044-B
соскабливать	100-3074-B
соскабливать чешую	252-2405-B
соскакивать	160-1946-B
соскребать	254-1051-B
сослагательное наклонение	284-1770-B
сословие	101-1619-B,278-2991-B,278-4528-B
сослуживец	55-324-B
сосна	212-790-B
сосок	92-1411-B,190-3482-B,202-4781-B,292-3060-B,298-1853-B
сосредоточение	5-5749-B,20-4465-B,58-5631-B
сосредоточенно изучать	216-4224-B
сосредоточенность	58-5674-B
сосредоточенный	58-5548-B
сосредоточивать	47-1210-B,58-5425-B,115-1888-B,177-2576-B
состав	42-942-S,58-2213-B,58-2664-B,61-4107-B,61-6344-B,175-369-B,175-657-B,176-1345-S,209-1232-S,276-4548-S,280-3216-B,319-432-S
составитель	57-4935-B
составитель документа	90-1596-B,90-2988-B
составление	57-4755-B,58-2238-B,61-6370-B,90-1531-B,117-465-B
составление таблиц	290-1425-B
составлять	13-3456-B,20-4619-B,28-78-B,57-4881-B,58-1818-B,58-2686-B,61-6205-B,62-737-B,90-3679-B,165-2384-B,174-5206-B,174-5486-B,175-231-B
составлять план	213-1406-B,214-2980-B,223-4842-B,253-1561-B
составлять проект	223-4880-B
составлять смету	101-2190-B
составляющая	61-6028-B
составная часть	58-1637-B,61-6065-B,95-2860-B,151-1328-B,221-5262-B
