aver	24-3186-B
bagful	26-2137-B
baggage	26-2156-B,26-2172-B,26-2187-B,26-2205-B
baggy	26-2223-B
bagman	26-2237-B,26-2253-B
bagpipe	26-2266-B
baguette	26-2279-B
bail	26-2295-B,26-2306-B,26-2334-B,26-2353-B,26-2365-B,26-2378-B
bailee	26-2392-B,26-2411-B,26-2430-B
bailiff	26-2448-B
bailiwick	26-2476-B
bailment	26-2500-B,26-2522-B,26-2540-B
bailor	26-2559-B,26-2575-B,26-2592-B
bairn	26-2609-B
bait	26-2622-B
baize	26-2636-B
bake	26-2674-B,26-2685-B,26-2696-B,26-2708-B,26-2720-B
bakehouse	26-2735-B
baker	26-2754-B
bakery	26-2767-B,26-2786-B
baking	26-2802-B,26-2823-B,26-2839-B,26-2858-B
baksheesh	26-2878-B,26-2897-B,26-2918-B
balaclava	26-2937-B
balalaika	26-2953-B
balance	26-2973-B,26-2992-B,26-3008-B,26-3027-B,26-3044-B,26-3064-B,26-3083-B,26-3110-B,26-3126-B,26-3140-B,26-3159-B,26-3186-B,26-3206-B,26-3223-B,26-3243-B,26-3263-B,26-3282-B,26-3303-B,26-3323-B,26-3341-B,26-3359-B
balancer	26-3385-B
balancing	26-3407-B,26-3431-B,26-3455-B,26-3477-B,26-3508-B,26-3529-B,26-3553-B
balbriggan	26-3575-B
balcony	26-3604-B,26-3619-B
bald	26-3638-B,26-3654-B,26-3665-B,26-3676-B,26-3699-B,26-3717-B,26-3732-B
balderdash	26-3748-B
baldhead	27-0-B
baldly	27-19-B,27-37-B
baldness	27-51-B,27-72-B,27-88-B
baldric	27-108-B
baldrick	27-126-B
bale	27-145-B
baleen	27-155-B
baleful	27-179-B,27-196-B
balk	27-213-B,27-230-B,27-244-B,27-260-B
ball	27-274-B,27-284-B,27-295-B,27-309-B,27-320-B,27-333-B,27-343-B
ballad	27-355-B
ballade	27-369-B
ballast	27-384-B,27-399-B,27-417-B
ballerina	27-434-B
ballet	27-454-B
balletic	27-467-B
ballistic	27-485-B
balloon	27-507-B,27-521-B,27-537-B,27-552-B,27-569-B,27-584-B
balloonist	27-600-B
ballot	27-625-B,27-651-B,27-670-B,27-690-B
ballpoint	27-713-B
ballroom	27-732-B
balls up	27-746-B
bally	27-762-B,27-782-B,27-804-B,27-822-B
ballyhoo	27-840-B
balm	27-866-B
balmy	27-879-B,27-893-B
baloney	27-909-B
balsa	27-925-B,27-947-B
balsam	27-968-B
balsamic	27-983-B,27-1004-B
baluster	27-1021-B,27-1038-B
balustrade	27-1068-B
bambino	27-1091-B,27-1110-B
bamboo	27-1129-B
bamboozle	27-1143-B
ban	27-1160-B,27-1171-B,27-1187-B,27-1204-B,27-1218-B,27-1231-B
banal	27-1242-B,27-1258-B,27-1275-B
banality	27-1290-B,27-1308-B,27-1328-B
banana	27-1347-B
band	27-1361-B,27-1372-B,27-1382-B,27-1394-B,27-1406-B,27-1420-B,27-1430-B,27-1440-B,27-1452-B,27-1464-B,27-1476-B,27-1489-B,27-1500-B,27-1512-B,27-1523-B
bandage	27-1535-B,27-1552-B
bandanna	27-1566-B
bandbox	27-1583-B
bandeau	27-1599-B
bandit	27-1623-B,27-1638-B,27-1654-B
banditry	27-1673-B
bandleader	27-1694-B
bandmaster	27-1715-B
bandoleer	27-1736-B
bandsman	27-1756-B
bandstand	27-1778-B
bandwagon	27-1796-B
bandwidth	27-1812-B
bandy	27-1838-B
bane	27-1858-B,27-1873-B
baneful	27-1885-B
bang	27-1902-B,27-1913-B,27-1928-B,27-1944-B,27-1960-B,27-1977-B,27-1988-B,27-2000-B,27-2017-B,27-2030-B,27-2042-B,27-2057-B
banger	27-2068-B,27-2083-B
banging	27-2097-B
bangle	27-2114-B
banish	27-2130-B,27-2147-B,27-2161-B,27-2177-B
banishment	27-2192-B,27-2215-B
banister	27-2239-B
banjo	27-2259-B
bank	27-2273-B,27-2284-B,27-2299-B,27-2310-B,27-2322-B,27-2337-B,27-2349-B,27-2366-B,27-2379-B
bankable	27-2389-B
banker	27-2414-B
banking	27-2430-B,27-2452-B,27-2470-B,27-2492-B,27-2515-B
banknote	27-2538-B
bankroll	27-2556-B
bankrupt	27-2576-B,27-2593-B,27-2614-B,27-2633-B
bankruptcy	27-2650-B,27-2669-B,27-2691-B,27-2710-B,27-2732-B,27-2749-B
banner	27-2768-B,27-2784-B,27-2798-B
banneret	27-2817-B
banning	27-2835-B,27-2856-B
banns	27-2876-B
banquet	27-2892-B,27-2907-B,27-2923-B,27-2936-B,27-2952-B
banquette	27-2968-B
banshee	27-3000-B
bantam	27-3015-B
bantamweight	27-3031-B
banter	27-3061-B,27-3080-B,27-3100-B,27-3119-B,27-3136-B
banyan	27-3153-B
banzai	27-3168-B
baobab	27-3182-B
bap	27-3196-B
baptise	27-3210-B
baptism	27-3228-B
baptismal	27-3243-B
baptistry	27-3263-B
baptize	27-3286-B,27-3302-B
bar	27-3320-B,27-3334-B,28-0-B,28-17-B,28-29-B,28-42-B,28-51-B,28-60-B,28-72-B,28-81-B,28-92-B,28-104-B,28-117-B,28-132-B,28-144-B
barb	28-157-B,28-168-B,28-179-B
barbarian	28-189-B,28-206-B
barbaric	28-227-B
barbarism	28-247-B,28-269-B
barbarity	28-291-B,28-313-B,28-331-B
barbarous	28-352-B
barbarously	28-373-B
barbecue	28-395-B
barbel	28-412-B
barbell	28-425-B
barbeque	28-454-B,28-481-B
barber	28-511-B
barberry	28-525-B
barbershop	28-546-B
barbican	28-569-B
barbiturate	28-596-B
barcarolle	28-620-B
bard	28-641-B,28-651-B,28-662-B
bardic	28-674-B
bare	28-703-B,28-714-B,28-725-B,28-736-B,28-747-B,28-763-B,28-777-B,28-792-B,28-805-B,28-818-B,28-830-B,28-843-B,28-858-B
bareback	28-872-B
barefoot	28-891-B,28-904-B,28-919-B
barely	28-935-B,28-948-B,28-964-B
bareness	28-978-B,28-994-B
barf	28-1010-B
bargain	28-1021-B,28-1039-B,28-1060-B,28-1075-B,28-1097-B,28-1117-B,28-1140-B,28-1165-B,28-1190-B
bargainer	28-1215-B
bargaining	28-1242-B,28-1265-B
barge	28-1291-B,28-1324-B,28-1345-B,28-1360-B
bargee	28-1382-B
baritone	28-1398-B,28-1415-B
barium	28-1436-B
bark	28-1450-B,28-1462-B,28-1473-B,28-1491-B,28-1505-B,28-1521-B,28-1535-B
barker	28-1552-B
barley	28-1571-B,28-1586-B
barleycorn	28-1601-B
barm	28-1626-B
barmaid	28-1640-B
barman	28-1657-B
barmy	28-1671-B,28-1685-B,28-1704-B
barn	28-1724-B
barnacle	28-1737-B,28-1756-B
barnyard	28-1779-B
barometer	28-1794-B,28-1813-B
barometric	28-1833-B
baron	28-1858-B,28-1870-B
baronage	28-1884-B,28-1906-B
baroness	28-1924-B,28-1942-B
baronetcy	28-1959-B
baronial	28-1977-B
barony	28-1996-B,28-2014-B
baroque	28-2034-B,28-2051-B
barque	28-2066-B,28-2080-B
barrack	28-2097-B,28-2112-B,28-2129-B
barracuda	28-2149-B
barrage	28-2168-B,28-2188-B,28-2202-B
barrel	28-2220-B,28-2233-B,28-2246-B,28-2261-B,28-2275-B,28-2286-B,28-2311-B
barren	28-2325-B,28-2340-B,28-2357-B,28-2375-B,28-2392-B
barrenness	28-2406-B,28-2428-B
barricade	28-2447-B
barrier	28-2467-B,28-2484-B,28-2501-B,28-2519-B,28-2539-B
barrio	28-2556-B,28-2584-B
barrister	28-2619-B
barrow	28-2638-B,28-2655-B,28-2671-B,28-2684-B,28-2698-B
bars	159-1228-S
bartender	28-2713-B
barter	28-2734-B,28-2748-B,28-2765-B,28-2791-B,28-2825-B,28-2843-B
baryon	28-2868-B
barytes	28-2882-B
basal	28-2896-B,28-2912-B
basalt	28-2929-B
basaltic	28-2944-B
bascule	28-2965-B
base	28-2981-B,28-2992-B,28-3013-B,28-3031-B,28-3043-B,28-3056-B,28-3069-B,28-3084-B,28-3098-B,28-3113-B,28-3125-B,28-3138-B,28-3155-B,28-3168-B,28-3183-B,28-3199-B,28-3212-B
baseball	28-3225-B,28-3243-B
baseboard	28-3265-B
baseless	28-3293-B,28-3319-B
baseline	28-3342-B,28-3361-B
basement	28-3388-B,28-3407-B,28-3425-B,28-3442-B
baseness	28-3460-B,29-0-B
bash	29-18-B,29-30-B,29-44-B,29-55-B,29-68-B
bashful	29-80-B
bashfully	29-98-B
bashfulness	29-117-B
basic	29-134-B,29-149-B,29-169-B,29-183-B,29-197-B,29-214-B,29-231-B
basically	29-247-B
basil	29-269-B
basilica	29-283-B
basilisk	29-301-B
basin	29-321-B,29-334-B,29-348-B,29-360-B,29-372-B,29-386-B,29-400-B,29-413-B,29-428-B
basis	29-444-B,29-456-B,29-472-B,29-486-B,29-501-B,29-519-B,29-533-B
bask	29-549-B,29-564-B
basket	29-583-B,29-595-B,29-610-B
basketball	29-624-B,29-645-B,29-670-B
basketful	29-693-B,29-723-B
basketry	29-747-B
basophilic	29-773-B
bass	29-795-B,29-804-B,29-814-B,29-827-B,29-842-B
basset	29-853-B,29-866-B
bassinet	29-884-B
basso	29-903-B,29-913-B
bassoon	29-927-B
bassoonist	29-941-B
basswood	29-962-B
bast	29-977-B
bastard	29-988-B,29-1004-B,29-1021-B,29-1036-B,29-1056-B,29-1075-B,29-1090-B,29-1108-B,29-1137-B,29-1159-B
bastardy	29-1176-B
baste	29-1199-B,29-1212-B,29-1241-B
bastille	29-1270-B,29-1287-B,29-1304-B
bastion	29-1322-B
bat	29-1337-B,29-1347-B,29-1360-B,29-1371-B
batch	29-1385-B,29-1398-B,29-1414-B,29-1430-B,29-1441-B,29-1455-B,29-1466-B,29-1477-B,29-1490-B,29-1503-B
bate	29-1517-B,29-1531-B
bath	29-1543-B,29-1562-B,29-1574-B,29-1589-B,29-1601-B,29-1614-B,29-1624-B
bathe	29-1638-B,29-1651-B,29-1667-B,29-1682-B
bather	29-1700-B
bathetic	29-1714-B
bathhouse	29-1744-B
bathing	29-1771-B
bathrobe	29-1789-B
bathroom	29-1805-B,29-1821-B,29-1839-B
bathtub	29-1856-B,29-1878-B
batik	29-1891-B,29-1904-B
batiste	29-1923-B
batman	29-1938-B,29-1965-B
baton	29-1981-B,29-1994-B,29-2008-B
batsman	29-2022-B
battalion	29-2039-B,29-2058-B,29-2078-B
batten	29-2095-B,29-2108-B,29-2124-B
batter	29-2146-B,29-2163-B,29-2178-B,29-2194-B,29-2210-B,29-2225-B,29-2239-B,29-2253-B
battery	29-2270-B,29-2290-B,29-2310-B,29-2326-B,29-2347-B,29-2366-B,29-2382-B,29-2411-B,29-2442-B
batting	29-2468-B
battle	29-2489-B,29-2505-B,29-2518-B,29-2533-B,29-2548-B,29-2564-B,29-2578-B,29-2594-B
battle axe	29-2610-B
battledore	29-2631-B
battlefield	29-2653-B
battlefront	29-2675-B
battleground	29-2702-B
battlement	29-2725-B
battler	29-2746-B
battleship	29-2764-B
batty	29-2789-B
bauble	29-2807-B
baud	29-2820-B
baulk	29-2830-B,29-2847-B,29-2865-B
bauxite	29-2880-B,29-2895-B
bawd	29-2914-B
bawdiness	29-2928-B,29-2950-B
bawdy	29-2969-B
bawl	29-2984-B,29-2998-B,29-3009-B,29-3023-B
bay	29-3035-B,29-3047-B,29-3060-B,29-3071-B,29-3084-B,29-3098-B,29-3107-B,29-3118-B
bayonet	29-3130-B,29-3146-B
bayou	29-3161-B
bazaar	29-3188-B
bazooka	29-3201-B,29-3228-B
be	29-3246-B,29-3254-B,42-989-S,377-2264-S
beach	29-3267-B,29-3280-B
beachcomber	30-0-B,30-25-B
beachhead	30-55-B,30-71-B
beachwear	30-93-B
beachy	30-120-B
beacon	30-141-B,30-155-B,30-182-B
bead	30-208-B,30-219-B,30-233-B,30-247-B,30-261-B,30-270-B,30-282-B,30-297-B
beadle	30-314-B
beady	30-327-B
beagle	30-347-B
beak	30-374-B
beaker	30-386-B,30-402-B
beam	30-418-B,30-431-B,30-444-B,30-464-B,30-477-B,30-490-B,30-501-B,30-515-B,30-528-B
beamish	30-541-B
beamy	30-560-B,30-575-B
bean	30-592-B,30-601-B,30-613-B
beano	30-625-B
beanstalk	30-640-B
bear	30-664-B,30-678-B,30-691-B,30-706-B,30-717-B,30-728-B,30-740-B,30-753-B,30-764-B,30-778-B,30-790-B,30-803-B,30-815-B,30-827-B,30-841-B
bearable	30-853-B
bearcat	30-871-B,30-889-B
beard	30-909-B,30-922-B,30-937-B,30-948-B
beardless	30-960-B
bearer	30-980-B,30-998-B,30-1014-B,30-1029-B,30-1043-B,30-1058-B
bearing	30-1071-B,30-1086-B,30-1103-B,30-1119-B,30-1137-B,30-1155-B
bearish	30-1173-B
bearskin	30-1211-B
beast	30-1237-B,30-1250-B,30-1263-B,30-1277-B
beastliness	30-1291-B,30-1314-B,30-1335-B
beastly	30-1360-B,30-1379-B,30-1395-B,30-1411-B,30-1429-B
beat	30-1445-B,30-1459-B,30-1471-B,30-1481-B,30-1493-B,30-1506-B,30-1525-B,30-1537-B,30-1548-B,30-1558-B,30-1569-B,30-1578-B,30-1589-B,30-1601-B,30-1613-B,30-1627-B,30-1639-B,30-1650-B
beat up	30-1663-B
beaten	30-1682-B,30-1696-B,371-2342-S,371-2376-S
beater	377-795-S
beatific	30-1714-B
beatification	30-1733-B,30-1759-B
beating	30-1788-B,30-1802-B,30-1820-B,30-1832-B,30-1847-B
beatitude	30-1865-B,30-1903-B
beatnik	30-1924-B,30-1940-B
beau	30-1957-B,30-1970-B,30-1982-B,30-1995-B,30-2006-B,30-2022-B
beaut	30-2036-B,30-2051-B
beauteous	30-2067-B
beautician	30-2083-B,30-2103-B
beautiful	30-2126-B,30-2145-B
beautifully	30-2168-B
beautify	30-2189-B
beauty	30-2209-B,30-2226-B,30-2240-B,30-2255-B
beaver	30-2271-B,30-2283-B
bebop	30-2297-B,30-2309-B
because	30-2326-B,30-2343-B,30-2358-B,30-2377-B,30-2394-B
bechamel	30-2406-B
beck	30-2424-B
beckon	30-2441-B,30-2457-B
become	30-2470-B,30-2485-B
becoming	30-2501-B,30-2521-B,30-2542-B
becomingly	30-2561-B,30-2583-B
bedbug	30-2604-B
bedchamber	30-2621-B
bedclothes	30-2653-B
bedcover	30-2680-B
bedder	30-2710-B
bedding	30-2727-B,30-2751-B,30-2771-B,30-2791-B,30-2811-B,30-2831-B,30-2847-B
bedevil	30-2872-B,30-2892-B,30-2909-B
bedfellow	30-2924-B,30-2946-B
bedlam	30-2973-B,30-2990-B
bedpan	30-3004-B
bedpost	30-3025-B
bedridden	30-3049-B
bedrock	30-3080-B,30-3092-B
bedroll	30-3118-B
bedroom	30-3145-B
bedside	30-3162-B
bedsitter	30-3180-B
bedspread	30-3209-B
bedstead	30-3239-B
bedstraw	30-3263-B
bedtime	30-3280-B
